X,SEA FOOD,DAIRY PRODUCTS,CITRUS FRUITS,SALTED FOOD,A,B,C,D,E,F,G,H,I,J,K
SEA FOOD,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
DAIRY PRODUCTS,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
CITRUS FRUITS,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
SALTED FOOD,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1
A,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
B,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1
C,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
D,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
E,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
F,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1
G,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
H,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1
I,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
J,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
K,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
