code,name,regn,thia,ribf,nia,pantac,vitb6c,biot,folsum,vitc
A001,"Amaranth seed, black (Amaranthus cruentus)",1,0.04,0.04,0.45,0.24,0.50,1.92,27.44,
A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,0.04±0.007,0.04±0.007,0.52±0.05,0.28±0.03,0.33±0.023,1.87±0.24,24.65±3.21,
A003,Bajra (Pennisetum typhoideum),6,0.25±0.044,0.20±0.038,0.86±0.10,0.50±0.05,0.27±0.009,0.64±0.05,36.11±5.05,
A004,Barley (Hordeum vulgare),6,0.36±0.059,0.18±0.030,2.84±0.08,0.14±0.02,0.31±0.026,2.38±0.11,31.58±3.79,
A005,Jowar (Sorghum vulgare),6,0.35±0.039,0.14±0.014,2.10±0.09,0.27±0.02,0.28±0.023,0.70±0.06,39.42±3.13,
A006,"Maize, dry (Zea mays)",6,0.33±0.032,0.09±0.009,2.69±0.06,0.34±0.03,0.34±0.017,0.49±0.05,25.81±1.44,
A007,"Maize, tender, local (Zea mays)",6,0.17±0.024,0.12±0.021,1.13±0.02,0.35±0.04,0.45±0.033,1.70±0.27,62.96±5.66,4.26±0.55
A008,"Maize, tender, sweet (Zea mays)",4,0.10±0.008,0.14±0.007,1.14±0.02,0.32±0.04,0.38±0.084,1.91±0.30,59.71±7.70,5.72±0.76
A009,Quinoa (Chenopodium quinoa),1,0.83,0.22,1.70,0.62,0.21,0.62,173,
A010,Ragi (Eleusine coracana),5,0.37±0.041,0.17±0.008,1.34±0.02,0.29±0.19,0.05±0.007,0.88±0.05,34.66±4.97,
A011,Rice flakes (Oryza sativa),6,0.12±0.020,0.04±0.006,1.60±0.09,0.48±0.06,0.02±0.002,0.39±0.09,8.46±0.93,
A012,Rice puffed (Oryza sativa),6,0.11±0.018,0.04±0.017,1.87±0.10,0.38±0.03,0.07±0.005,1.26±0.08,,
A013,"Rice, raw, brown (Oryza sativa)",6,0.27±0.023,0.06±0.011,3.40±0.12,0.61±0.04,0.37±0.035,1.38±0.21,11.51±1.69,
A014,"Rice, parboiled, milled (Oryza sativa)",6,0.17±0.023,0.06±0.018,2.51±0.49,0.55±0.06,0.22±0.017,0.31±0.02,9.75±2.10,
A015,"Rice, raw, milled (Oryza sativa)",6,0.05±0.019,0.05±0.006,1.69±0.13,0.57±0.05,0.12±0.012,0.60±0.12,9.32±1.93,
A016,Samai (Panicum miliare),6,0.26±0.042,0.05±0.008,1.29±0.02,0.60±0.07,0.04±0.005,6.03±0.57,36.20±7.04,
