code,name,regn,al,as,cd,ca,cr,co,cu,fe,pb,li
A001,"Amaranth seed, black (Amaranthus cruentus)",1,3.32,,,181,1.227,0.059,0.81,9.33,0.013,0.028
A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,2.73±0.47,,0.001±0.000,162±15.7,0.092±0.045,0.021±0.005,0.56±0.09,8.02±0.93,0.018±0.012,0.008±0.008
A003,Bajra (Pennisetum typhoideum),6,2.21±0.78,0.97±0.24,0.003±0.001,27.35±2.16,0.025±0.006,0.030±0.015,0.54±0.11,6.42±1.04,0.008±0.002,0.003±0.001
A004,Barley (Hordeum vulgare),6,,,,28.64±3.49,0.029±0.009,0.027±0.010,0.43±0.17,1.56±0.15,,
A005,Jowar (Sorghum vulgare),6,2.56±0.59,1.53±0.04,0.002±0.002,27.60±3.71,0.010±0.003,0.012±0.007,0.45±0.11,3.95±0.94,0.008±0.003,0.001±0.001
A006,"Maize, dry (Zea mays)",6,2.82±0.16,,,8.91±0.61,0.010±0.006,0.010±0.003,0.45±0.23,2.49±0.32,,0.002±0.001
A007,"Maize, tender, local (Zea mays)",6,0.12±0.05,,,6.35±0.89,0.004±0.003,,0.18±0.06,0.71±0.06,0.001±0.000,
A008,"Maize, tender, sweet (Zea mays)",4,0.11±0.02,,,6.37±1.07,0.002±0.001,0.001±0.000,0.11±0.02,0.54±0.07,,
A009,Quinoa(Chenopodium quinoa),1,,0.03,0.002,198,0.004,,0.48,7.51,,
A010,Ragi (Eleusine coracana),5,3.64±0.69,,0.004±0.004,364±58.0,0.032±0.019,0.022±0.009,0.67±0.22,4.62±0.36,0.005±0.002,0.003±0.003
A011,Rice flakes (Oryza sativa ),6,2.44±0.60,,0.002±0.001,9.19±1.33,0.050±0.027,0.007±0.003,0.26±0.05,4.46±0.81,0.005±0.003,0.002±0.002
A012,Rice puffed (Oryza sativa ),6,2.41±0.61,,0.004±0.003,15.09±2.92,0.028±0.007,0.007±0.002,0.25±0.05,4.55±1.03,0.013±0.006,0.004±0.002
A013,"Rice, raw, brown (Oryza sativa )",6,0.60±0.18,,0.002±0.001,10.93±1.79,0.005±0.002,0.011±0.003,0.37±0.14,1.02±0.35,0.002±0.001,
A014,"Rice, parboiled, milled (Oryza sativa )",6,0.20±0.06,,0.002±0.003,8.11±1.01,0.005±0.002,0.003±0.001,0.27±0.12,0.72±0.20,0.006±0.002,0.005±0.002
A015,"Rice, raw, milled (Oryza sativa )",6,0.44±0.30,,0.002±0.002,7.49±1.26,0.005±0.003,0.003±0.002,0.23±0.06,0.65±0.11,0.005±0.004,0.002±0.002
A016,Samai (Panicum miliare),6,,0.49±0.15,0.001±0.000,16.06±1.54,0.016±0.006,0.001±0.000,0.34±0.08,1.26±0.44,,
A017,Varagu (Setaria italica),5,1.07±0.83,,,15.27±1.28,0.021±0.027,0.005±0.003,0.26±0.05,2.34±0.46,,0.027±0.003
A018,"Wheat flour, refined (Triticum aestivum)",6,0.94±0.33,,0.001±0.000,20.40±2.46,0.005±0.002,0.001±0.001,0.17±0.02,1.77±0.38,0.004±0.002,0.003±0.003
A019,"Wheat flour, atta (Triticum aestivum)",6,1.54±0.53,,0.001±0.001,30.94±3.65,0.006±0.005,0.006±0.003,0.48±0.11,4.10±0.67,0.006±0.003,0.002±0.001
A020,"Wheat, whole (Triticum aestivum)",6,0.55±0.23,,0.002±0.001,39.36±5.65,0.006±0.003,0.003±0.002,0.49±0.12,3.97±0.78,,0.005±0.004
A021,"Wheat, bulgur (Triticum aestivum)",6,0.43±0.16,0.40±0.18,0.001±0.001,27.09±1.62,0.007±0.002,0.001±0.000,0.40±0.07,3.86±0.34,0.008±0.011,
A022,"Wheat, semolina (Triticum aestivum)",6,0.64±0.19,,0.002±0.001,29.38±2.11,0.006±0.003,0.003±0.002,0.46±0.11,2.98±0.34,0.004±0.000,0.002±0.002
A023,"Wheat, vermicelli (Triticum aestivum)",6,1.15±0.38,,0.001±0.001,19.42±1.74,0.006±0.005,0.002±0.001,0.19±0.03,2.02±0.41,0.008±0.002,0.001±0.001
A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,1.20±0.16,,0.001±0.000,22.63±3.46,0.007±0.002,0.003±0.002,0.22±0.05,2.09±0.42,0.009±0.008,0.001±0.000
