code,name,regn,cho,starch,frus,glus,sucs,mals,fsugar,lactose
A001,"Amaranth seed, black (Amaranthus cruentus)",1,56.71,55.83,0.1,0.22,0.46,0.1,0.88,
A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,60.13±1.30,59.33±1.31,0.10±0.01,0.22±0.04,0.48±0.04,,0.80±0.07,
A003,Bajra (Pennisetum typhoideum),6,56.02±2.57,55.21±2.57,0.21±0.01,0.60±0.02,,,0.81±0.01,
A004,Barley (Hordeum vulgare),6,72.73±2.93,72.67±2.92,,0.06±0.02,,,0.06±0.02,
A005,Jowar (Sorghum vulgare),6,60.96±1.70,59.70±1.70,0.57±0.07,0.10±0.01,0.60±0.04,,1.27±0.05,
A006,"Maize, dry (Zea mays)",6,61.01±0.76,59.35±0.83,0.16±0.03,0.80±0.01,0.70±0.03,,1.66±0.04,
A007,"Maize, tender, local (Zea mays)",6,17.35±2.78,15.88±2.80,0.27±0.03,0.80±0.06,0.40±0.04,,1.47±0.05,
A008,"Maize, tender, sweet (Zea mays)",4,12.11±0.64,7.45±0.68,0.91±0.04,0.97±0.02,2.79±0.03,,4.67±0.05,
A009,Quinoa (Chenopodium quinoa),1,49.82,48.41,,1.41,,,1.41,
A010,Ragi (Eleusine coracana),5,62.47±1.24,62.13±1.31,,0.25±0.06,0.12±0.02,,0.34±0.06,
A011,Rice flakes (Oryza sativa ),6,68.40±1.67,68.06±1.81,,0.20±0.07,0.14±0.02,,0.34±0.06,
A012,Rice puffed (Oryza sativa ),6,69.89±2.19,69.25±2.16,,0.49±0.07,0.15±0.03,,0.64±0.08,
A013,"Rice, raw, brown (Oryza sativa )",6,72.00±1.87,71.31±1.91,,0.55±0.08,0.14±0.02,,0.69±0.08,
A014,"Rice, parboiled, milled (Oryza sativa )",6,76.80±5.71,76.14±5.73,,0.51±0.24,0.16±0.06,,0.67±0.25,
A015,"Rice, raw, milled (Oryza sativa )",6,76.39±2.76,75.70±2.70,,0.54±0.25,0.15±0.06,,0.69±0.28,
A016,Samai (Panicum miliare),6,56.43±4.09,56.07±4.12,,0.24±0.10,0.13±0.01,,0.37±0.09,
A017,Varagu (Setaria italica),5,66.25±2.90,64.96±2.93,,0.89±0.11,0.40±0.02,,1.29±0.10,
A018,"Wheat flour, refined (Triticum aestivum)",6,71.82±1.07,70.03±1.01,0.64±0.03,0.75±0.02,0.40±0.05,,1.79±0.08,
A019,"Wheat flour, atta (Triticum aestivum)",6,58.62±2.68,56.82±2.69,0.72±0.03,0.78±0.05,0.30±0.02,,1.80±0.06,
A020,"Wheat, whole (Triticum aestivum)",6,59.30±1.86,57.53±1.86,0.74±0.11,0.73±0.08,0.30±0.09,,1.77±0.15,
A021,"Wheat, bulgur (Triticum aestivum)",6,61.74±3.52,60.54±3.62,0.32±0.34,0.55±0.13,0.33±0.08,,1.20±0.24,
A022,"Wheat, semolina (Triticum aestivum)",6,59.85±2.99,58.20±2.95,0.60±0.04,0.55±0.03,0.50±0.04,,1.65±0.08,
A023,"Wheat, vermicelli (Triticum aestivum)",6,56.99±1.91,55.31±1.93,0.60±0.02,0.58±0.02,0.50±0.02,,1.68±0.03,
A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,56.69±2.10,54.55±2.05,0.63±0.16,1.01±0.02,0.50±0.05,,2.14±0.17,
B001,"Bengal gram, dal (Cicer arietinum)",6,41.52±0.87,40.49±0.83,0.10±0.02,0.10±0.01,0.63±0.23,0.20±0.03,1.03±0.23,
B002,"Bengal gram, whole (Cicer arietinum)",6,36.68±3.62,35.69±3.63,0.10±0.01,0.10±0.01,0.69±0.16,0.10±0.01,0.99±0.16,
B003,"Black gram, dal (Phaseolus mungo)",6,48.73±1.91,47.89±1.90,0.20±0.03,0.20±0.02,0.44±0.14,,0.84±0.15,
B004,"Black gram, whole (Phaseolus mungo)",6,42.64±5.56,42.19±5.52,0.10±0.01,0.10±0.02,0.30±0.02,,0.45±0.24,
B005,"Cowpea, brown (Vigna catjang)",6,47.09±0.79,45.49±0.66,0.30±0.19,0.61±0.24,0.68±0.20,,1.60±0.38,
B006,"Cowpea, white (Vigna catjang)",1,47.51,46.33,0.13,0.39,0.67,,1.18,
B007,"Field bean, black (Phaseolus vulgaris)",1,41.22,40.07,0.2,0.53,0.42,,1.15,
B008,"Field bean, brown (Phaseolus vulgaris)",1,43.47,42.3,0.2,0.29,0.68,,1.17,
B009,"Field bean, white (Phaseolus vulgaris)",5,44.32±1.37,42.25±0.52,0.10±0.01,0.41±0.06,0.56±0.23,,1.07±0.28,
B010,"Green gram, dal (Phaseolus aureus)",6,42.01±0.79,41.06±0.64,0.10±0.01,0.30±0.02,0.55±0.20,,0.95±0.41,
B011,"Green gram, whole (Phaseolus aureus)",6,39.75±5.41,39.21±5.42,0.10±0.02,0.14±0.02,0.30±0.11,,0.54±0.11,
B012,"Horse gram, whole (Dolicus biflorus)",6,48.31±1.68,47.96±1.68,0.10±0.03,0.15±0.03,0.10±0.01,,0.35±0.05,
B013,Lentil dal (Lens culinaris),6,46.39±2.28,44.44±2.17,0.80±0.16,0.30±0.01,0.85±0.02,,1.95±0.17,
B014,"Lentil whole, brown (Lens culinaris)",6,43.03±1.05,41.41±0.92,0.78±0.22,0.15±0.06,0.71±0.11,,1.63±0.33,
B015,"Lentil whole, yellowish (Lens culinaris)",2,43.58,42.08,0.5,0.23,0.77,,1.5,
B016,Moth bean (Vigna aconitifolia),6,48.00±0.72,46.64±0.76,0.10±0.01,0.62±0.03,0.64±0.11,,1.36±0.11,
