code,name,regn,f10d0,f12d0,f14d0,f16d0,f18d0,f20d0,f22d0,f24d0,f14d1,f16d1c,f18d1cn9
A001,"Amaranth seed, black (Amaranthus cruentus)",1,,,15.64,1043,155,38,16.07,12.14,,,1020
A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,,,10.68±1.35,891±54.5,172±14.1,36.02±2.68,15.61±1.31,13.51±2.06,,,1030±64.3
A003,Bajra (Pennisetum typhoideum),6,,,,729±21.3,128±19.6,18.21±2.78,,,,6.97±0.45,1040±39.8
A004,Barley (Hordeum vulgare),6,,,,209±9.4,23.35±2.74,,,,,,90.79±5.63
A005,Jowar (Sorghum vulgare),6,,,,149±5.6,14.22±0.79,,,,,,314±13.7
A006,"Maize, dry (Zea mays)",6,,,,363±4.6,42.45±2.76,7.14±0.95,,,,,700±17.9
A007,"Maize, tender, local (Zea mays)",6,,,,96.13±3.97,10.88±1.55,2.37±0.63,,,,,145±6.5
A008,"Maize, tender, sweet (Zea mays)",4,,,,106±2.4,14.36±0.59,2.95±0.08,,,,,174±6.1
A009,Quinoa(Chenopodium quinoa),1,,,82.76,434,52.88,,,,44.41,56.79,1323
A010,Ragi (Eleusine coracana),5,,,,290±15.4,27.86±2.43,,,,,,585±36.3
A011,Rice flakes (Oryza sativa ),6,,,,261±20.2,23.68±1.50,,,,,,425±11.4
A012,Rice puffed (Oryza sativa ),6,,,,43.29±5.23,3.55±0.45,,,,,,39.77±5.05
A013,"Rice, raw, brown (Oryza sativa )",6,1.39±0.31,,30.42±3.15,273±14.9,33.01±4.34,3.09±0.21,1.98±0.21,2.49±0.38,,2.77±0.46,197±15.4
A014,"Rice, parboiled, milled (Oryza sativa )",6,0.63±0.21,,13.22±1.52,120±8.0,13.83±1.67,1.31±0.18,0.91±0.18,0.93±0.24,,1.19±0.21,84.09±6.47
A015,"Rice, raw, milled (Oryza sativa )",6,0.85±0.30,,13.19±3.00,143±28.0,14.50±3.27,1.46±0.40,1.98±1.49,1.14±0.35,,1.49±0.47,109±21.2
A016,Samai (Panicum miliare),6,,,,487±26.1,102±11.9,,,,,,868±24.2
A017,Varagu (Setaria italica),5,,,,211±0.9,28.40±1.22,3.84±0.78,2.22±0.24,,,3.21±0.11,291±7.2
A018,"Wheat flour, refined (Triticum aestivum)",6,,,,91.24±1.50,7.31±0.73,,,,,,50.64±2.98
A019,"Wheat flour, atta (Triticum aestivum)",6,,,,191±5.6,14.55±3.10,,,,,,149±7.5
A020,"Wheat, whole (Triticum aestivum)",6,,,,176±7.4,14.83±2.25,,,,,,141±9.4
A021,"Wheat, bulgur (Triticum aestivum)",6,,,,179±4.2,17.41±2.78,,,,,,152±5.8
A022,"Wheat, semolina (Triticum aestivum)",6,,,,81.63±4.28,7.24±1.49,,,,,,67.34±3.25
A023,"Wheat, vermicelli (Triticum aestivum)",6,,,,59.43±4.42,5.15±0.65,,,,,,36.06±2.43
A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,,,,46.97±4.72,2.98±0.21,,,,,,28.84±1.22
B001 ,"Bengal gram, dal (Cicer arietinum) ",6,,,,405±6.6 ,51.90±2.23 ,11.55±1.42 ,,,,7.89±0.99 ,855±18.9
B002,"Bengal gram, whole (Cicer arietinum)",6,,,,382±4.6,58.02±6.35,13.29±2.64,,,,7.87±1.06,871±25.1
B003,"Black gram, dal (Phaseolus mungo)",6,,,,221±9.9,54.60±2.89,,,,,,186±8.1
B004,"Black gram, whole (Phaseolus mungo)",6,,,,211±12.2,47.37±6.75,,,,,,161±7.1
B005,"Cowpea, brown (Vigna catjang)",6,,,,227±5.6,33.10±1.30,6.84±0.76,11.52±0.79,4.43±0.43,,,57.69±6.88
B006,"Cowpea, white (Vigna catjang)",1,,,,228,34.43,6.34,12.19,4.05,,,67.63
B007,"Field bean, black (Phaseolus vulgaris)",1,,,,142,36.97,3.33,2.61,2.68,,,80.07
B008,"Field bean, brown (Phaseolus vulgaris)",1,,,,149,39.16,3.66,3.01,3.04,,,127
B009,"Field bean, white (Phaseolus vulgaris)",5,,,,142±6.0,37.22±1.84,2.81±0.22,2.31±0.48,1.92±0.26,,,61.57±6.06
B010,"Green gram, dal (Phaseolus aureus)",6,,,,208±6.3,39.24±4.70,,,,,,35.85±4.30
B011,"Green gram, whole (Phaseolus aureus)",6,,,,233±7.6,41.32±4.98,,,,,,27.22±5.09
B012,"Horse gram, whole (Dolicus biflorus)",6,,,,114±2.1,13.59±0.76,,4.45±0.21,2.65±0.19,,,68.89±1.85
B013,Lentil dal (Lens culinaris),6,,,,79.74±3.82,11.28±0.91,,,,,,112±7.6
B014,"Lentil whole, brown (Lens culinaris)",6,,,,70.01±2.45,11.20±0.99,,,,,,102±5.3
B015,"Lentil whole, yellowish (Lens culinaris)",2,,,,66.76,9.41,,,,,,92.18
B016,Moth bean (Vigna aconitifolia),6,,,,320±7.9,97.75±3.22,7.94±0.27,4.79±0.50,2.83±0.28,,,72.25±5.74
B017,"Peas, dry (Pisum sativum)",6,,,,193±10.2,48.50±3.39,,,,,,398±31.2
B018,"Rajmah, black (Phaseolus vulgaris)",2,,,,216,21.97,,,,,,105
B019,"Rajmah, brown (Phaseolus vulgaris)",6,,,,215±13.1,26.74±3.42,,,,,,91.76±2.33
B020,"Rajmah, red (Phaseolus vulgaris)",3,,,,225±6.0,30.51±5.16,,,,,,87.84±14.82
B021,"Red gram, dal (Cajanus cajan)",6,,,,222±11.6,35.22±3.19,,,,,,89.94±4.43
B022,"Red gram, whole (Cajanus cajan)",6,,,,236±11.0,40.95±3.31,,,,,,78.55±6.71
B023,Ricebean (Vigna umbellata ),1,,,,50.69,14.81,17.97,28.06,18.26,,,357
B024,"Soya bean, brown (Glycine max)",6,,,,2381±26.3,566±54.7,47.10±6.29,67.89±4.22,29.84±4.91,,22.79±2.11,4499±230
B025,"Soya bean, white (Glycine max)",1,,,,2338,523.44,43.3,65.49,30.95,,25.35,4723
C001,Agathi leaves (Sesbania grandiflora),1,,,,346,74.53,23.95,24.96,20.61,,16.91,40.76
C002,"Amaranth leaves, green (Amaranthus gangeticus)",6,,,18.47±4.66,143±5.4,16.15±1.99,2.57±0.38,4.74±1.26,9.09±1.70,,16.05±2.51,31.26±2.04
C003,"Amaranth leaves, red (Amaranthus gangeticus)",1,,,20.33,159,17.75,2.24,3.99,7.01,,14.48,31.48
C004,"Amaranth leaves, red and green (Amaranthus gangeticus)",4,,,18.37±3.07,144±12.5,19.16±3.23,2.83±0.36,5.03±1.01,7.93±1.14,,12.28±3.08,32.72±2.99
C005,"Amaranth spinosus, leaves, green (Amaranthus spinosus)",4,,,8.28±1.05,63.62±3.29,6.89±0.47,0.85±0.09,2.22±0.40,3.27±0.17,,7.88±0.67,7.79±0.32
C006,"Amaranth spinosus, leaves, red and green (Amaranthus spinosus)",2,,,9.54,64.58,6.35,0.7,1.61,3.19,,9.5,7.36
C007,Basella leaves (Basella alba),2,,,,89.46,11.97,,,,,12.32,38.96
C008,Bathua leaves (Chenopodium album),2,,,1.87,96.94,7.52,3.51,7.48,2.74,,8.61,
C009,Beet greens (Beta vulgaris),6,,,5.11±0.11,160±0.6,11.83±0.23,,5.65±0.19,5.17±0.18,,7.13±0.22,72.38±0.41
