code,name,regn,f20d1n9f,f22d1n9,f24d1c,f18d2cn6,f20d2,f18d3n3,f20d4n6,fasat,fams,fapu
A001,"Amaranth seed, black (Amaranthus cruentus)",1,12.62,,,2259,,20.91,,1280,1033,2279
A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,12.71±1.56,,,2223±129,,43.03±2.70,,1140±70.5,1043±65.8,2266±132
A003,Bajra (Pennisetum typhoideum),6,,,,1844±56.7,,140±5.8,,875±34.5,1047±39.9,1984±55.0
A004,Barley (Hordeum vulgare),6,,,,549±21.6,,26.32±3.35,,232±11.9,90.79±5.63,575±18.6
A005,Jowar (Sorghum vulgare),6,,,,508±18.3,,16.54±1.31,,163±6.2,314±13.7,524±18.3
A006,"Maize, dry (Zea mays)",6,6.62±0.74,,,1565±18.2,,40.76±2.43,,413±5.6,706±17.4,1606±18.5
A007,"Maize, tender, local (Zea mays)",6,1.85±0.61,,,337±4.9,,10.46±0.74,,109±4.4,147±6.8,347±5.2
A008,"Maize, tender, sweet (Zea mays)",4,2.05±0.22,,,292±10.3,,7.65±0.33,,123±2.9,176±6.3,300±10.3
A009,Quinoa (Chenopodium quinoa),1,,,,2203,,204,,570,1424,2406
A010,Ragi (Eleusine coracana),5,,,,362±15.3,,68.58±11.85,,317±17.0,585±36.3,431±20.7
A011,Rice flakes (Oryza sativa ),6,,,,553±38.2,,24.37±4.81,,284±20.6,425±11.4,577±36.4
A012,Rice puffed (Oryza sativa ),6,,,,43.42±5.98,,1.39±0.19,,46.84±5.55,39.77±5.05,44.80±6.15
A013,"Rice, raw, brown (Oryza sativa )",6,1.89±0.25,,0.89±0.22,490±33.2,,16.10±0.92,,346±20.3,203±15.7,506±33.6
A014,"Rice, parboiled, milled (Oryza sativa )",6,0.89±0.14,,0.49±0.16,209±12.8,,7.18±0.56,,150±10.2,86.66±6.38,216±13.2
A015,"Rice, raw, milled (Oryza sativa )",6,1.54±0.44,,0.75±0.36,234±45.8,,9.51±1.09,,184±8.9,117±6.6,253±13.2
A016,Samai (Panicum miliare),6,,,,1230±42.9,,47.20±5.17,,589±31.9,868±24.2,1277±47.5
A017,Varagu (Setaria italica),5,2.75±0.89,,,576±17.8,,21.02±1.20,,246±2.3,297±6.8,597±18.4
A018,"Wheat flour, refined (Triticum aestivum)",6,,,,325±6.8,,17.45±1.21,,98.55±1.87,50.64±2.98,343±7.8
A019,"Wheat flour, atta (Triticum aestivum)",6,,,,697±19.4,,44.93±1.64,,206±8.2,149±7.5,742±19.2
A020,"Wheat, whole (Triticum aestivum)",6,,,,616±22.1,,38.51±3.88,,191±8.0,141±9.4,654±23.7
A021,"Wheat, bulgur (Triticum aestivum)",6,,,,657±9.0,,42.69±3.34,,196±2.6,152±5.8,700±11.3
