code,name,regn,f11d0,f12d0,f14d0,f15d0,f16d0,f18d0,f20d0,f22d0,f24d0
M001,"Egg, poultry, whole, raw",6,,,35.05±2.25,,2167±44.9,596±28.9,10.22±0.56,137±7.4,11.99±1.23
M002,"Egg, poultry, white, raw",6,,,,,,,,,
M003,"Egg, poultry, yolk, raw",6,,,95.82±2.85,,6236±107,1797±151,30.51±2.96,385±21.2,36.31±2.27
M004,"Egg, poultry, whole, boiled",6,,,40.12±3.58,,2524±112,713±54.2,13.50±0.80,157±12.4,16.48±2.66
M005,"Egg, poultry, white, boiled",6,,,,,,,,,
M006,"Egg, poultry, yolk, boiled",6,,,105±7.6,,6448±64.3,1800±130,30.23±4.27,401±33.5,34.76±2.89
M007,"Egg, poultry, omlet",3,,,39.43±1.66,,2335±26.9,653±9.5,10.40±0.57,126±12.8,14.05±0.64
M008,"Egg, country hen, whole, raw",1,,,35.26,,2730,1020,6.51,,
M009,"Egg, country hen, whole, boiled",1,,,33.61,,2917,1117,5.89,,
M010,"Egg, country hen, omlet",1,,,47.23,,3463,1366,9.59,,
M011,"Egg, duck, whole, boiled",1,1.12,3.38,37.51,1.14,2791,713,33.49,17.38,
M012,"Egg, duck, whole, raw",1,1.12,4.51,38.65,1.14,2640,632,36.95,18.54,
M013,"Egg, duck, whole, omlet",1,1.2,6.03,42.55,1.22,2983,775,40.76,21.07,
M014,"Egg, quial, whole, raw",1,0.93,1.87,71.59,2.79,2049,637,9.57,14.4,
M015,"Egg, quial, whole, boiled",1,0.93,1.97,73.73,2.18,2083,535,11.52,15.42,
N001,"Chicken, poultry, leg, skinless",4,,,22.52±2.93,,827±51.7,272±9.5,5.66±0.88,13.14±0.97,17.23±2.74
N002,"Chicken, poultry, thigh, skinless",6,,,22.25±2.82,,794±18.8,234±16.5,4.84±1.24,7.97±1.11,7.88±1.00
N003,"Chicken, poultry, breast, skinless",5,,,14.36±3.18,,586±17.1,189±6.3,3.66±0.24,11.95±0.32,11.21±1.47
N004,"Chicken, poultry, wing, skinless",5,,,24.51±2.38,,914±38.4,274±24.8,5.68±1.37,11.85±1.68,10.85±1.73
N005,"Poultry, chicken, liver",1,,,,,677,651,,,
