code,name,regn,f14d1,f16d1,f18d1,f20d1,f22d1,f24d1,f18d2cn6,f20d2,f18d3n3
M001,"Egg, poultry, whole, raw",6,,318±10.3,3090±36.1,24.55±2.12,,47.43±8.16,1022±45.8,,28.06±3.24
M002,"Egg, poultry, white, raw",6,,,,,,,,,
M003,"Egg, poultry, yolk, raw",6,,941±43.1,8919±58.8,68.58±3.61,,139±22.6,2919±127,,64.43±7.92
M004,"Egg, poultry, whole, boiled",6,,333±29.3,3573±92.5,26.62±1.90,,58.25±7.43,1169±90.3,,29.40±4.07
M005,"Egg, poultry, white, boiled",6,,,,,,,,,
M006,"Egg, poultry, yolk, boiled",6,,897±51.9,9525±182,70.89±2.46,,150±23.7,3009±147,,63.64±8.26
M007,"Egg, poultry, omlet",3,,291±14.7,4247±26.5,30.49±0.64,,46.96±1.69,2679±18.3,,34.36±6.04
M008,"Egg, country hen, whole, raw",1,,254,4765,42.32,,,1518,17.36,39.95
M009,"Egg, country hen, whole, boiled",1,,273,5433,41.19,,,1401,15.3,29.28
M010,"Egg, country hen, omlet",1,,338,6031,54.81,,,1773,23.29,47.72
M011,"Egg, duck, whole, boiled",1,7.95,445,5623,5.77,16.22,,1495,,45.95
M012,"Egg, duck, whole, raw",1,10.22,399,5638,5.77,10.43,,1453,,45.94
M013,"Egg, duck, whole, omlet",1,9.72,488,5963,7.41,14.87,,1579,,61.43
M014,"Egg, quial, whole, raw",1,18.83,446,3717,24.87,3.84,,2112,,42.84
M015,"Egg, quial, whole, boiled",1,21.73,427,3919,21.12,2.89,,2137,,41.07
N001,"Chicken, poultry, leg, skinless",4,,205±27.5,1342±88.5,13.35±0.81,,,627±35.4,,25.97±5.33
N002,"Chicken, poultry, thigh, skinless",6,,185±11.5,1263±43.6,12.79±1.77,,,490±21.1,,22.52±6.11
N003,"Chicken, poultry, breast, skinless",5,,120±6.3,862±32,9.10±0.31,,,346±13.8,,12.63±0.88
N004,"Chicken, poultry, wing, skinless",5,,238±14.9,1524±63,15.00±1.25,,,623±20.6,,27.64±5.06
N005,"Poultry, chicken, liver",1,,,681,,,,680,,140
N006,"Poultry, chicken, gizzard",1,,98,604,13.85,,,342,,
N007,"Country hen, leg, with skin",1,,59,616,5.59,,,273,3.45,11.45
N008,"Country hen, thigh, with skin",1,,57,687,6.05,,,287,,12.91
N009,"Country hen, breast, with skin",1,,28,422,3.65,,,182,,7.26
N010,"Country hen, wing, with skin",1,,65,763,7.94,,,305,,14.03
N011,"Duck, meat, with skin",1,,1467,748,,,,217,,86.54
N012,"Emu, meat, skinless",1,,20,221,1,,,90,,7.97
