code,name,regn,ala,arg,asp,glu,gly,pro,ser,tyr
A001,"Amaranth seed, black (Amaranthus cruentus)",1,4.26,7.77,12.57,16.12,8.5,3.76,7.79,2.85
A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,3.83±0.64,7.21±0.91,12.70±2.25,17.39±1.68,8.28±0.35,3.83±0.45,7.27±0.46,3.10±0.34
A003,Bajra (Pennisetum typhoideum),6,7.68±1.01,4.54±0.62,7.77±1.29,17.42±1.69,3.52±0.17,5.30±0.26,4.44±0.41,2.67±0.51
A004,Barley (Hordeum vulgare),6,4.20±0.79,5.22±0.20,6.51±0.61,26.75±1.15,4.03±0.61,9.79±0.87,4.80±0.55,2.68±0.41
A005,Jowar (Sorghum vulgare),6,9.19±1.12,3.96±0.43,7.09±0.86,21.54±2.81,3.08±0.25,6.99±0.92,4.02±0.43,3.61±0.25
A006,"Maize, dry (Zea mays)",6,7.73±0.46,4.20±0.24,6.55±0.59,19.39±0.70,3.27±0.15,7.88±0.71,4.58±0.44,3.71±0.18
A007,"Maize, tender, local (Zea mays)",6,9.90±5.07,3.05±0.42,9.24±1.45,20.05±2.14,4.50±2.09,7.91±0.97,6.07±0.91,3.15±0.37
A008,"Maize, tender, sweet (Zea mays)",4,7.61±0.20,3.63±0.21,8.55±1.21,18.72±1.81,4.65±0.37,8.60±0.11,5.62±0.12,3.26±0.22
A009,Quinoa(Chenopodium quinoa),1,4.35,7.85,8.4,13.75,4.8,5.67,4.56,1.98
A010,Ragi (Eleusine coracana),5,6.71±0.80,4.33±0.48,6.40±0.53,20.22±0.73,3.59±0.35,5.42±0.42,4.81±0.57,3.37±0.80
A011,Rice flakes (Oryza sativa ),6,6.34±0.96,7.62±0.40,9.20±0.82,18.60±1.02,4.35±0.30,4.27±0.36,4.78±0.93,3.75±0.51
A012,Rice puffed (Oryza sativa ),6,6.19±1.01,7.04±0.50,8.79±1.05,17.96±0.97,4.03±0.39,4.04±0.55,4.62±0.55,4.13±0.54
A013,"Rice, raw, brown (Oryza sativa )",6,6.60±0.75,7.69±0.37,8.68±0.46,18.75±1.03,4.28±0.19,4.33±0.39,4.64±0.62,4.36±0.36
A014,"Rice, parboiled, milled (Oryza sativa )",6,5.60±0.10,7.95±0.10,8.51±0.29,19.22±0.24,4.19±0.14,4.04±0.10,4.60±0.09,4.43±0.09
A015,"Rice, raw, milled (Oryza sativa )",6,5.51±0.40,7.72±0.55,8.73±0.80,18.92±1.76,4.18±0.16,4.31±0.78,4.95±0.21,4.36±0.41
A016,Samai (Panicum miliare),6,8.60±0.10,5.96±0.11,5.51±0.29,20.22±0.24,3.43±0.33,6.04±0.10,5.60±0.09,3.43±0.09
A017,Varagu (Setaria italica),5,11.00±0.36,3.18±0.19,5.61±0.88,18.25±1.87,3.12±0.29,7.33±0.53,5.50±0.31,3.87±0.38
A018,"Wheat flour, refined (Triticum aestivum)",6,2.98±0.37,3.49±0.28,4.63±0.39,31.57±1.80,3.21±0.20,9.23±0.64,4.77±0.39,2.62±0.15
A019,"Wheat flour, atta (Triticum aestivum)",6,3.88±1.11,4.70±0.21,5.06±0.16,29.61±2.08,3.76±0.56,10.27±0.84,4.73±0.49,2.10±0.06
A020,"Wheat, whole (Triticum aestivum)",6,3.64±0.21,5.13±0.33,5.44±0.33,27.06±1.76,4.19±0.23,10.25±1.49,4.80±0.14,3.12±0.31
A021,"Wheat, bulgur (Triticum aestivum)",6,3.48±0.42,5.36±0.54,5.15±0.19,30.48±5.06,4.27±0.19,10.49±0.52,4.87±0.17,2.46±1.23
A022,"Wheat, semolina (Triticum aestivum)",6,3.46±0.35,4.34±0.20,4.94±0.21,31.05±1.75,3.50±0.11,9.49±0.84,4.44±0.67,3.00±0.24
A023,"Wheat, vermicelli (Triticum aestivum)",6,3.59±0.13,2.98±0.43,5.39±0.97,31.96±1.20,4.54±1.77,9.89±1.65,5.33±0.62,2.18±0.76
A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,3.74±0.55,2.84±0.49,4.78±0.75,34.08±0.60,4.35±0.47,9.43±0.72,5.35±0.41,1.92±0.82
B001 ,"Bengal gram, dal (Cicer arietinum) ",6,4.11±0.36 ,8.83±0.53 ,11.73±0.80 ,16.52±0.10 ,3.46±0.24 ,3.53±0.25 ,4.56±0.45 ,2.72±0.29
B002,"Bengal gram, whole (Cicer arietinum)",6,4.67±0.56,8.59±0.58,11.78±1.60,17.27±1.08,3.95±0.16,3.74±0.19,5.10±0.65,2.88±0.15
B003,"Black gram, dal (Phaseolus mungo)",6,4.73±0.57,6.25±0.47,11.96±0.71,18.38±1.37,3.38±0.26,3.73±0.28,5.54±0.61,3.04±0.23
B004,"Black gram, whole (Phaseolus mungo)",6,4.64±0.82,6.06±0.49,13.12±1.60,19.00±1.10,3.80±0.41,4.03±0.13,5.29±0.69,3.06±0.17
B005,"Cowpea, brown (Vigna catjang)",6,4.24±0.57,7.10±1.36,10.11±1.15,19.02±2.19,4.69±0.51,4.60±0.28,4.44±0.18,2.83±0.26
B006,"Cowpea, white (Vigna catjang)",1,5.06,7.44,11.01,18.2,4.09,4.05,4.8,3.25
B007,"Field bean, black (Phaseolus vulgaris)",1,5.47,7.49,10.47,17.14,4.74,4.43,5.76,4
B008,"Field bean, brown (Phaseolus vulgaris)",1,5.37,7.71,10.07,17.28,4.25,4.43,5.61,3.85
B009,"Field bean, white (Phaseolus vulgaris)",5,5.19±0.37,7.01±0.73,10.61±0.60,16.59±2.32,4.04±0.28,4.24±0.31,5.51±0.40,3.84±0.21
B010,"Green gram, dal (Phaseolus aureus)",6,4.59±0.33,6.51±0.58,12.10±2.16,17.43±2.22,3.70±0.53,3.67±0.67,5.01±0.53,2.95±0.44
B011,"Green gram, whole (Phaseolus aureus)",6,4.94±0.77,6.62±0.30,10.99±0.94,18.59±1.15,3.78±0.39,4.07±0.49,5.50±0.82,2.83±0.27
B012,"Horse gram, whole (Dolicus biflorus)",6,4.60±0.75,5.87±0.27,11.24±1.19,18.54±1.69,4.03±0.34,3.72±0.34,5.19±0.75,3.18±0.26
B013,Lentil dal (Lens culinaris),6,4.45±0.70,7.92±0.44,12.69±1.67,18.31±0.61,3.67±0.26,3.63±0.31,4.90±0.64,2.95±0.21
B014,"Lentil whole, brown (Lens culinaris)",6,5.75±0.61,7.44±2.06,12.48±1.70,17.25±1.68,4.78±0.08,5.01±1.49,5.51±0.21,2.40±0.77
B015,"Lentil whole, yellowish (Lens culinaris)",2,5.59,7.74,12.93,16.48,4.89,4.5,5.68,2.81
B016,Moth bean (Vigna aconitifolia),6,5.00±0.42,7.68±0.76,10.54±0.81,16.89±1.33,3.68±0.31,3.95±0.48,5.04±0.38,2.92±0.37
B017,"Peas, dry (Pisum sativum)",6,4.51±0.44,8.09±0.30,11.34±0.72,17.52±0.81,4.19±0.16,3.73±0.19,4.83±0.38,3.25±0.19
B018,"Rajmah, black (Phaseolus vulgaris)",2,4.68,5.81,12.96,18.89,3.42,3.23,5.1,3.1
