code,name,regn,dhbenzac34,hbenzal3,pcathac,vanlac,gallac,cinmac,coumaco,coumacp,caffac
A001,"Amaranth seed, black (Amaranthus cruentus)",1,1.28,,0.21,0.06,,,,0.06,0.03
A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,1.23±0.05,,0.26±0.03,0.04±0.02,,,,0.04±0.03,0.03±0.02
A003,Bajra (Pennisetum typhoideum),6,0.03±0.01,0.11±0.02,,,,,,0.07±0.02,0.25±0.01
A004,Barley (Hordeum vulgare),6,,,0.43±0.14,0.06±0.01,,,,1.70±0.11,0.05±0.01
A005,Jowar (Sorghum vulgare),6,0.02±0.01,0.02±0.01,0.07±0.01,1.76±0.11,0.06±0.02,,,1.84±0.46,1.69±0.39
A006,"Maize, dry (Zea mays)",6,0.07±0.02,,2.93±0.42,2.96±0.44,,,,2.84±0.36,2.91±0.32
A007,"Maize, tender, local (Zea mays)",6,0.04±0.03,,1.24±0.14,2.85±0.43,,,,0.55±0.09,0.55±0.27
A008,"Maize, tender, sweet (Zea mays)",4,0.03±0.01,,1.09±0.19,1.43±0.16,,,,0.50±0.05,0.51±0.27
A009,Quinoa(Chenopodium quinoa),1,6.7,0.44,9.7,4.9,,0.11,0.02,,0.13
A010,Ragi (Eleusine coracana),5,,,2.38±0.35,0.34±0.06,1.38±0.36,,,,
A011,Rice flakes (Oryza sativa ),6,0.05±0.02,,0.03±0.01,0.03±0.02,,,,0.05±0.01,0.06±0.01
A012,Rice puffed (Oryza sativa ),6,0.04±0.01,,0.02±0.01,0.05±0.02,,,,0.04±0.01,0.05±0.02
A013,"Rice, raw, brown (Oryza sativa )",6,0.04±0.01,,0.02±0.01,0.05±0.02,,,,0.04±0.01,0.05±0.02
A014,"Rice, parboiled, milled (Oryza sativa )",6,0.07±0.02,,0.06±0.01,0.05±0.02,,,,0.06±0.02,0.06±0.02
A015,"Rice, raw, milled (Oryza sativa )",6,0.05±0.02,,0.04±0.01,0.05±0.01,,,,0.05±0.02,0.06±0.02
A016,Samai (Panicum miliare),6,,,0.16±0.04,0.05±0.03,,,,0.37±0.04,0.67±0.03
A017,Varagu (Setaria italica),5,,,,0.02±0.01,,,,,
A018,"Wheat flour, refined (Triticum aestivum)",6,0.23±0.09,,0.09±0.01,0.13±0.01,0.63±0.10,,,0.06±0.02,0.07±0.02
A019,"Wheat flour, atta (Triticum aestivum)",6,0.68±0.19,,0.62±0.11,0.26±0.08,2.79±0.37,,,0.38±0.09,0.78±0.07
A020,"Wheat, whole (Triticum aestivum)",6,0.71±0.14,,0.74±0.35,0.40±0.31,2.44±0.25,,,0.67±0.15,0.68±0.12
A021,"Wheat, bulgur (Triticum aestivum)",6,0.68±0.10,,0.71±0.12,0.40±0.09,2.75±0.62,,,0.63±0.07,0.66±0.13
A022,"Wheat, semolina (Triticum aestivum)",6,0.25±0.05,,0.12±0.01,0.18±0.05,0.23±0.07,,,0.05±0.02,0.14±0.02
A023,"Wheat, vermicelli (Triticum aestivum)",6,0.21±0.03,,0.04±0.03,0.15±0.05,0.11±0.02,,,0.04±0.01,0.02±0.01
A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,0.20±0.04,,0.02±0.01,0.07±0.03,0.06±0.01,,,0.02±0.01,0.03±0.01
B001 ,"Bengal gram, dal (Cicer arietinum) ",6,0.02±0.01 ,,0.02±0.01 ,,,,,,0.69±0.03
B002,"Bengal gram, whole (Cicer arietinum)",6,0.11±0.02,,0.02±0.01,,,,,,5.63±0.34
B003,"Black gram, dal (Phaseolus mungo)",6,,,,0.06±0.02,,,,0.59±0.10,
B004,"Black gram, whole (Phaseolus mungo)",6,,,,0.48±0.11,,,,4.06±0.58,
B005,"Cowpea, brown (Vigna catjang)",6,,,,,,,,0.45±0.09,0.28±0.12
B006,"Cowpea, white (Vigna catjang)",1,,,,,,,,0.52,0.41
B007,"Field bean, black (Phaseolus vulgaris)",1,3.18,,,,,,,3.87,0.59
B008,"Field bean, brown (Phaseolus vulgaris)",1,2.67,,,,,,,2.68,0.64
B009,"Field bean, white (Phaseolus vulgaris)",5,2.56±0.30,,,,,,,3.97±1.00,0.60±0.14
B010,"Green gram, dal (Phaseolus aureus)",6,,,,0.75±0.15,,,,1.54±0.22,
B011,"Green gram, whole (Phaseolus aureus)",6,,,,2.31±0.45,,,,4.06±0.64,
B012,"Horse gram, whole (Dolicus biflorus)",6,,,4.61±0.46,,,,,,0.39±0.17
B013,Lentil dal (Lens culinaris),6,0.13±0.03,,0.07±0.03,,1.52±0.41,0.11±0.02,,0.03±0.01,0.02±0.01
B014,"Lentil whole, brown (Lens culinaris)",6,0.35±0.02,,0.28±0.05,,2.72±0.72,0.28±0.09,,0.25±0.09,0.08±0.02
B015,"Lentil whole, yellowish (Lens culinaris)",2,0.43,,0.25,,2.65,0.23,,0.07,
B016,Moth bean (Vigna aconitifolia),6,,,,,,,,0.09±0.01,0.55±0.13
B017,"Peas, dry (Pisum sativum)",6,0.07±0.01,,,,0.11±0.07,,,0.08±0.03,0.07±0.01
B018,"Rajmah, black (Phaseolus vulgaris)",2,,,,,,,,4.7,2.69
