code,name,regn,chlrac,ferac,apigen,apigen6cgls,apigen7onshps,luteol,kaemf,querce,querce3bdgls,querce3ortns
A001,"Amaranth seed, black (Amaranthus cruentus)",1,0.21,2.13,,,,,,,,
A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,0.10±0.05,0.59±0.76,,,,,,,,
A003,Bajra (Pennisetum typhoideum),6,0.08±0.01,1.39±0.24,,,,1.11±0.38,0.14±0.02,,,
A004,Barley (Hordeum vulgare),6,2.75±0.25,0.60±0.07,,,,,,,,
A005,Jowar (Sorghum vulgare),6,4.04±0.99,1.59±0.23,0.07±0.01,,,,,,,
A006,"Maize, dry (Zea mays)",6,1.01±0.45,1.43±0.09,,,,,,,,
A007,"Maize, tender, local (Zea mays)",6,0.92±0.04,0.38±0.12,,,,,,,,
A008,"Maize, tender, sweet (Zea mays)",4,0.87±0.02,1.39±0.14,,,,,,,,
A009,Quinoa(Chenopodium quinoa),1,,,,,0.13,0.19,3.6,1.9,3.4,4.4
A010,Ragi (Eleusine coracana),5,,,2.58±0.49,,10.45±1.17,,,,,
A011,Rice flakes (Oryza sativa ),6,0.70±0.06,0.07±0.01,,,,,,,,
A012,Rice puffed (Oryza sativa ),6,0.06±0.01,0.02±0.01,,,,,,,,
A013,"Rice, raw, brown (Oryza sativa )",6,0.06±0.01,0.02±0.01,,,,,,,,
A014,"Rice, parboiled, milled (Oryza sativa )",6,0.28±0.07,0.62±0.18,,,,,,,,
A015,"Rice, raw, milled (Oryza sativa )",6,0.65±0.10,0.59±0.09,,,,,,,,
A016,Samai (Panicum miliare),6,2.79±0.75,0.39±0.03,,,,,,,,
A017,Varagu (Setaria italica),5,,,,,,,0.07±0.01,,,
A018,"Wheat flour, refined (Triticum aestivum)",6,0.16±0.02,0.04±0.01,,0.07±0.02,,,,,,
A019,"Wheat flour, atta (Triticum aestivum)",6,0.71±0.13,0.14±0.01,,0.31±0.08,,,,,,
A020,"Wheat, whole (Triticum aestivum)",6,0.76±0.11,0.15±0.02,,0.30±0.06,,,,,,
A021,"Wheat, bulgur (Triticum aestivum)",6,0.73±0.13,0.15±0.01,,0.26±0.02,,,,,,
A022,"Wheat, semolina (Triticum aestivum)",6,0.28±0.07,0.05±0.02,0.03±0.01,0.04±0.01,,,,,,
A023,"Wheat, vermicelli (Triticum aestivum)",6,0.24±0.03,0.03±0.01,,0.03±0.01,,,,,,
A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,0.03±0.02,0.03±0.02,,0.03±0.01,,,,,,
B001 ,"Bengal gram, dal (Cicer arietinum) ",6,,1.59±0.46 ,,,4.25±1.21,,,,,
B002,"Bengal gram, whole (Cicer arietinum)",6,,4.17±0.95,,,10.48±1.14,,,,,
B003,"Black gram, dal (Phaseolus mungo)",6,0.36±0.03,0.14±0.01,2.43±0.38,0.29±0.03,0.09±0.02,1.40±0.32,0.05±0.02,,1.69±0.26,
B004,"Black gram, whole (Phaseolus mungo)",6,2.71±0.55,0.91±0.06,5.64±0.22,2.56±0.36,1.83±0.16,4.79±0.53,3.12±0.67,,12.37±0.93,
B005,"Cowpea, brown (Vigna catjang)",6,1.30±0.32,,,,,,,,0.27±0.12,
B006,"Cowpea, white (Vigna catjang)",1,1.64,,,,,,,,0.52,
B007,"Field bean, black (Phaseolus vulgaris)",1,6.47,,,,,,,,,
B008,"Field bean, brown (Phaseolus vulgaris)",1,5.14,,,,,,,,,
B009,"Field bean, white (Phaseolus vulgaris)",5,5.52±0.50,,,,,,,,,
B010,"Green gram, dal (Phaseolus aureus)",6,,,0.04±0.01,,0.40±0.23,,0.08±0.01,0.04±0.02,,
B011,"Green gram, whole (Phaseolus aureus)",6,,,3.76±0.55,,0.76±0.11,,4.29±0.71,0.36±0.10,,
B012,"Horse gram, whole (Dolicus biflorus)",6,,,,,,3.32±0.37,,,,
B013,Lentil dal (Lens culinaris),6,0.23±0.05,0.07±0.03,0.02±0.01,0.12±0.01,0.13±0.02,0.02±0.01,0.32±0.20,0.87±0.09,,0.76±0.08
B014,"Lentil whole, brown (Lens culinaris)",6,,0.08±0.01,0.72±0.07,0.20±0.04,0.24±0.08,0.12±0.01,0.84±0.13,1.42±0.19,,1.28±0.09
B015,"Lentil whole, yellowish (Lens culinaris)",2,2.56,0.12,0.05,0.17,0.22,0.09,0.61,1.46,,1.21
B016,Moth bean (Vigna aconitifolia),6,2.56±0.86,,,,,,,,,
B017,"Peas, dry (Pisum sativum)",6,2.08±0.54,,,,,1.68±0.32,,,,
B018,"Rajmah, black (Phaseolus vulgaris)",2,5.66,,,,28.35,5.9,2.3,,,
B019,"Rajmah, brown (Phaseolus vulgaris)",6,6.12±1.25,,,,,4.86±0.82,2.58±0.17,,,
B020,"Rajmah, red (Phaseolus vulgaris)",3,5.93±0.22,,,,,4.76±0.96,2.76±0.33,,,
B021,"Red gram, dal (Cajanus cajan)",6,,0.05±0.01,0.40±0.13,,,0.05±0.01,,,,2.87±0.16
B022,"Red gram, whole (Cajanus cajan)",6,,0.12±0.02,1.50±0.23,,,1.16±0.25,,,,8.32±0.85
B023,Ricebean (Vigna umbellata ),1,,0.32,0.01,,,0.01,,,,
B024,"Soya bean, brown (Glycine max)",6,2.52±0.28,8.23±0.11,1.77±0.33,,,,1.67±0.20,1.47±0.57,1.47±0.09,6.51±0.25
B025,"Soya bean, white (Glycine max)",1,2.45,7.42,2.47,,,,1.47,1.41,1.58,5.93
C001,Agathi leaves (Sesbania grandiflora),1,10.9,0.35,0.84,,,0.25,0.42,0.51,,
C002,"Amaranth leaves, green (Amaranthus gangeticus)",6,1.82±0.76,1.59±0.50,,,,,,,7.93±0.95,
C003,"Amaranth leaves, red (Amaranthus gangeticus)",1,1.25,2.41,,,,,,,7.91,
C004,"Amaranth leaves, red and green (Amaranthus gangeticus)",4,2.07±0.30,1.69±0.36,,,,,,,8.35±0.49,
C005,"Amaranth spinosus, leaves, green (Amaranthus spinosus)",4,1.97±0.77,,,,,,0.74±0.20,1.47±0.10,,
C006,"Amaranth spinosus, leaves, red and green (Amaranthus spinosus)",2,2.67,,,,,,0.89,1.7,,
C007,Basella leaves (Basella alba),2,1.12,0.41,2.65,,,,,,,
C008,Bathua leaves (Chenopodium album),2,0.31,0.01,,,,,,,,2.88
C009,Beet greens (Beta vulgaris),6,,,,,,0.24±0.00,,0.41±0.00,,
C010,"Betel leaves, big (kolkata) (Piper betle)",6,6.79±0.24,0.64±0.11,,,,,,,,
C011,"Betel leaves, small (Piper betle)",4,0.91±0.06,0.16±0.01,,,,,,,,
C012,Brussels sprouts (Brassica oleracea var. gemmifera),1,,,,,,1.25,1.02,0.82,,
C013,"Cabbage, Chinese (Brassica rupa)",1,,,,,,,,,,
C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",1,2.64,,1.57,,,0.98,0.67,1.42,,
C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",6,2.52±0.34,,1.48±0.16,,,1.79±0.33,2.66±0.21,0.35±0.09,,
C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",2,2.81,,1.67,,,1.71,2.75,0.39,,
C017,Cauliflower leaves (Brassica oleracea var. botrytis),6,,1.70±0.60,,,,0.26±0.02,0.59±0.03,0.60±0.01,,
C018,"Colocasia leaves, green (Colocasia anti-quorum)",6,,0.06±0.01,,,,0.03±0.01,0.02±0.01,0.04±0.01,,
C019,Drumstick leaves (Moringa oleifera),3,0.58±0.02,0.07±0.00,,,,,,,,
C020,Fenugreek leaves (Trigonella foenum graecum),5,1.57±0.23,0.58±0.12,0.58±0.05,0.15±0.02,,,1.80±0.08,,1.43±0.33,2.46±0.46
C021,Garden cress (Lepidium sativum),2,0.45,0.02,,,,,0.6,,,
C022,"Gogu leaves, green (Hibiscus cannabinus)",4,0.19±0.03,2.72±0.58,,,,,,0.36±0.11,1.60±0.25,0.62±0.10
C023,"Gogu leaves, red (Hibiscus cannabinus)",1,0.18,3.61,,,,,,0.32,1.71,0.53
C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",2,0.08,,0.39,,,,,,,
C025,Lettuce (Lactuca sativa),3,3.61±0.20,,1.19±0.09,,,2.77±0.31,0.12±0.02,0.07±0.01,0.20±0.02,0.05±0.02
C026,Mustard leaves (Brassica juncea),3,0.31±0.09,2.68±0.38,,,,,1.74±0.07,1.44±0.17,,
C027,Pak Choi leaves(Brassica rapa var. Chinensis),1,,,,,,,,,,
C028,Parsley (Petroselinum crispum),3,1.52±0.31,0.33±0.02,16.14±1.41,,,,0.01±0.01,,,
C029,Ponnaganni (Alternanthera sessilis),2,4.31,,0.31,,,4.98,0.75,0.56,,
C030,"Pumpkin leaves, tender (Cucurbita maxima)",6,0.19±0.01,0.28±0.05,,,,,,0.54±0.06,,
C031,Radish leaves (Raphanus sativus),6,,0.58±0.04,,,,3.26±0.59,8.23±0.66,69.50±2.60,,4.57±0.45
C032,Rumex leaves (Rumex patientia ),2,3.83,0.41,,,,,10.73,86.33,,
C033,Spinach (Spinacia oleracea),6,3.09±0.40,,2.55±0.86,,2.70±1.03,0.35±0.06,0.08±0.02,0.49±0.03,,
C034,"Tamarind leaves, tender (Tamarindus indica)",3,,,,,,,,,,
D001 ,Ash gourd (Benincasa hispida) ,6,,,,,,,,,,
D002,"Bamboo shoot, tender (Bambusa vulgaris)",1,0.25,,,,,,,,,
D003,"Bean scarlet, tender (Phaseolus coccineus)",5,0.10±0.00,,2.15±0.00,,,0.52±0.00,1.52±0.00,3.52±0.00,,
D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",6,,,,,,,,,,
D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",4,,,,,,,,,,
D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1,,,,,,,,,,
D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",6,2.47±0.49,,,,,,,,,
D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",5,2.72±0.26,,,,,,,,,
D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",1,2.48,,,,,,,,,
D010,Brinjal-1 (Solanum melongena),1,,0.77,,,1.47,,,,,
D011,Brinjal-2 (Solanum melongena),1,,0.65,,,1.43,,,,,
D012,Brinjal-3 (Solanum melongena),2,,0.81,,,1.5,,,,,
D013,Brinjal-4 (Solanum melongena),4,,0.85±0.08,,,1.56±0.07,,,,,
D014,Brinjal-5 (Solanum melongena),3,,0.83±0.09,,,1.32±0.04,,,,,
D015,Brinjal-6 (Solanum melongena),2,,0.9,,,1.35,,,,,
D016,Brinjal-7 (Solanum melongena),1,,0.77,,,1.26,,,,,
D017,Brinjal-8(Solanum melongena),3,,0.79±0.04,,,1.46±0.09,,,,,
D018,Brinjal-9(Solanum melongena),2,,0.69,,,1.43,,,,,
