code,name,regn,querce3bgls,isormt,myrct,rsvrtol,hespt,narng,hespd,daidzn,gnstein,epicatec
A001,"Amaranth seed, black (Amaranthus cruentus)",1,,,,,,,,,,
A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,,,,,,,,,,
A003,Bajra (Pennisetum typhoideum),6,,0.30±0.04,,,,,,,,
A004,Barley (Hordeum vulgare),6,,,,,,,,,,
A005,Jowar (Sorghum vulgare),6,,,,,,,,,,
A006,"Maize, dry (Zea mays)",6,,,,,,,,,,
A007,"Maize, tender, local (Zea mays)",6,,,,,,,,,,
A008,"Maize, tender, sweet (Zea mays)",4,,,,,,,,,,
A009,Quinoa(Chenopodium quinoa),1,4.3,,,,,,,,,
A010,Ragi (Eleusine coracana),5,,,,,,,,,,
A011,Rice flakes (Oryza sativa ),6,,,,,,,,,,
A012,Rice puffed (Oryza sativa ),6,,,,,,,,,,
A013,"Rice, raw, brown (Oryza sativa )",6,,,,,,,,,,
A014,"Rice, parboiled, milled (Oryza sativa )",6,,,,,,,,,,
A015,"Rice, raw, milled (Oryza sativa )",6,,,,,,,,,,
A016,Samai (Panicum miliare),6,,,,,,,,,,
A017,Varagu (Setaria italica),5,,,,,,,,,,
A018,"Wheat flour, refined (Triticum aestivum)",6,,,,,,,,,,
A019,"Wheat flour, atta (Triticum aestivum)",6,,,,,,,,,,
A020,"Wheat, whole (Triticum aestivum)",6,,,,,,,,,,
A021,"Wheat, bulgur (Triticum aestivum)",6,,,,,,,,,,
A022,"Wheat, semolina (Triticum aestivum)",6,,,,,,,,,,
A023,"Wheat, vermicelli (Triticum aestivum)",6,,,,,,,,,,
A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,,,,,,,,,,
B001 ,"Bengal gram, dal (Cicer arietinum) ",6,,0.84±0.02 ,1.49±0.25 ,,,,,0.01±0.01 ,0.07±0.01,
B002,"Bengal gram, whole (Cicer arietinum)",6,,6.53±0.22,8.85±2.56,,,,,,,
B003,"Black gram, dal (Phaseolus mungo)",6,,,1.53±0.01,,,,,0.03±0.01,,
B004,"Black gram, whole (Phaseolus mungo)",6,,,3.12±0.67,,,,,1.34±0.19,,
B005,"Cowpea, brown (Vigna catjang)",6,,,,,,,,0.04±0.01,0.06±0.01,
B006,"Cowpea, white (Vigna catjang)",1,,,,,,,,0.05,0.08,
B007,"Field bean, black (Phaseolus vulgaris)",1,,,,,,,,,,
B008,"Field bean, brown (Phaseolus vulgaris)",1,,,,,,,,,,
B009,"Field bean, white (Phaseolus vulgaris)",5,,,,,,,,,,
B010,"Green gram, dal (Phaseolus aureus)",6,,0.14±0.02,,,,,,,,
B011,"Green gram, whole (Phaseolus aureus)",6,,5.52±0.86,,,,,,,,
B012,"Horse gram, whole (Dolicus biflorus)",6,,,,,,,,,,
B013,Lentil dal (Lens culinaris),6,,1.14±0.42,,,,,0.02±0.01,0.02±0.01,0.02±0.01,0.06±0.02
B014,"Lentil whole, brown (Lens culinaris)",6,,1.76±0.15,,,,,0.09±0.01,0.02±0.01,0.05±0.01,0.10±0.01
B015,"Lentil whole, yellowish (Lens culinaris)",2,,,1.53,,,,0.07,0.06,0.06,0.12
B016,Moth bean (Vigna aconitifolia),6,,,,,,,,,,
B017,"Peas, dry (Pisum sativum)",6,,,,,,,,,,
B018,"Rajmah, black (Phaseolus vulgaris)",2,,,,,,,,,,2.25
B019,"Rajmah, brown (Phaseolus vulgaris)",6,,,,,,,,,,2.11±0.49
B020,"Rajmah, red (Phaseolus vulgaris)",3,,,,,,,,,,2.10±0.55
B021,"Red gram, dal (Cajanus cajan)",6,,,,,,,,0.01±0.01,0.10±0.01,0.05±0.01
B022,"Red gram, whole (Cajanus cajan)",6,,,,,,,,,,0.54±0.13
B023,Ricebean (Vigna umbellata ),1,,,,,,,,,,0.22
B024,"Soya bean, brown (Glycine max)",6,,,,,,,,31.71±1.94,56.30±2.41,
B025,"Soya bean, white (Glycine max)",1,,,,,,,,28.53,47.81,
C001,Agathi leaves (Sesbania grandiflora),1,,1.21,1.01,,,,,,,
C002,"Amaranth leaves, green (Amaranthus gangeticus)",6,,,,,,,,,,
C003,"Amaranth leaves, red (Amaranthus gangeticus)",1,,,,,,,,,,
C004,"Amaranth leaves, red and green (Amaranthus gangeticus)",4,,,,,,,,,,
C005,"Amaranth spinosus, leaves, green (Amaranthus spinosus)",4,,,,,,,,,,
C006,"Amaranth spinosus, leaves, red and green (Amaranthus spinosus)",2,,,,,,,,,,
C007,Basella leaves (Basella alba),2,,,4.01,,,,,,,
C008,Bathua leaves (Chenopodium album),2,,,,,,,,,,
C009,Beet greens (Beta vulgaris),6,,,,,,,,,,
C010,"Betel leaves, big (kolkata) (Piper betle)",6,,,,,,,,,,
C011,"Betel leaves, small (Piper betle)",4,,,,,,,,,,
C012,Brussels sprouts (Brassica oleracea var. gemmifera),1,,,,,,,,,,
C013,"Cabbage, Chinese (Brassica rupa)",1,,,,,,,,,,
C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",1,,,,,,,,,,
C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",6,,,,,,,,,,
C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",2,,,,,,,,,,
C017,Cauliflower leaves (Brassica oleracea var. botrytis),6,,,,0.50±0.01,,,,,,
C018,"Colocasia leaves, green (Colocasia anti-quorum)",6,,,0.02±0.01,,,,,,,
C019,Drumstick leaves (Moringa oleifera),3,,,,,,,,,,
C020,Fenugreek leaves (Trigonella foenum graecum),5,,0.04±0.01,,,,,,,,
C021,Garden cress (Lepidium sativum),2,,12.21,,,,,,,,
C022,"Gogu leaves, green (Hibiscus cannabinus)",4,,,,,,,,,,
C023,"Gogu leaves, red (Hibiscus cannabinus)",1,,,,,,,,,,
C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",2,,,0.42,,,,,,,
C025,Lettuce (Lactuca sativa),3,3.07±0.08,,0.07±0.01,,,,,,,
C026,Mustard leaves (Brassica juncea),3,,0.03±0.01,,,,,,,,
C027,Pak Choi leaves(Brassica rapa var. Chinensis),1,,,,,,,,,,
C028,Parsley (Petroselinum crispum),3,,,,,,,,,,
C029,Ponnaganni (Alternanthera sessilis),2,,,,,,,,,,
C030,"Pumpkin leaves, tender (Cucurbita maxima)",6,,,,,,,,,,
C031,Radish leaves (Raphanus sativus),6,,,,,,,,,,
C032,Rumex leaves (Rumex patientia ),2,,,,,,,,,,
C033,Spinach (Spinacia oleracea),6,,,1.36±0.32,,,,,,,
C034,"Tamarind leaves, tender (Tamarindus indica)",3,,,,,,,,,,
D001 ,Ash gourd (Benincasa hispida) ,6,,,,,,,,,,
D002,"Bamboo shoot, tender (Bambusa vulgaris)",1,,,,,,,,,,
D003,"Bean scarlet, tender (Phaseolus coccineus)",5,,,,,,,,,,
D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",6,,,,,,,,,,
D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",4,,,,,,,,,,
D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1,,,,,,,,,,
