code,name,regn,epicategc,epicatgc3gal,catec,galcatecgal,galcatec,syrgac,sinpac,ellgac,polyph
A001,"Amaranth seed, black (Amaranthus cruentus)",1,,,,,,,,,12.5
A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,,,,,,,,,11.75±2.48
A003,Bajra (Pennisetum typhoideum),6,,,,,,,,,67.71±5.89
A004,Barley (Hordeum vulgare),6,,,1.28±0.05,,,,,,23.47±2.30
A005,Jowar (Sorghum vulgare),6,,,,,,,,,23.25±2.00
A006,"Maize, dry (Zea mays)",6,,,,,,,,,32.92±3.85
A007,"Maize, tender, local (Zea mays)",6,,,,,,,,,19.00±2.52
A008,"Maize, tender, sweet (Zea mays)",4,,,,,,,,,1.54±0.34
A009,Quinoa(Chenopodium quinoa),1,,,,,,,65.72,,74
A010,Ragi (Eleusine coracana),5,,,15.52±0.90,,,,0.28±0.02,,135±2.2
A011,Rice flakes (Oryza sativa ),6,,,,,,0.07±0.01,0.06±0.02,,3.16±0.24
A012,Rice puffed (Oryza sativa ),6,,,,,,0.03±0.02,0.07±0.02,,2.76±0.63
A013,"Rice, raw, brown (Oryza sativa )",6,,,,,,0.03±0.02,0.07±0.02,,2.81±0.69
A014,"Rice, parboiled, milled (Oryza sativa )",6,,,,,,0.56±0.15,0.11±0.02,,6.93±1.07
A015,"Rice, raw, milled (Oryza sativa )",6,,,,,,0.07±0.03,0.08±0.05,,3.14±0.44
A016,Samai (Panicum miliare),6,,,,,,,,,14.24±0.89
A017,Varagu (Setaria italica),5,,,,,,,,,0.53±0.26
A018,"Wheat flour, refined (Triticum aestivum)",6,,,,,,0.02±0.01,0.06±0.02,,5.17±0.24
A019,"Wheat flour, atta (Triticum aestivum)",6,,,,,,0.04±0.01,0.13±0.02,,13.98±2.54
A020,"Wheat, whole (Triticum aestivum)",6,,,,,,0.07±0.01,0.12±0.02,,14.33±1.76
A021,"Wheat, bulgur (Triticum aestivum)",6,,,,,,0.06±0.02,0.11±0.01,,9.53±1.40
A022,"Wheat, semolina (Triticum aestivum)",6,,,,,,0.03±0.01,0.04±0.01,,6.50±1.30
A023,"Wheat, vermicelli (Triticum aestivum)",6,,,,,,0.03±0.01,0.03±0.01,,5.55±0.34
A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,,,,,,0.02±0.00,0.02±0.01,,7.37±0.57
