code,name,regn,rafs,stas,vers,ajgs,camt,stgstr,stostrb,phytac,sapon
A001,"Amaranth seed, black (Amaranthus cruentus)",1,,,,,1.75,8.24,61.36,393,1.42
A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,,,,,1.58±0.15,8.51±0.37,60.15±1.49,341±13.9,1.28±0.21
A003,Bajra (Pennisetum typhoideum),6,0.08±0.039,0.01±0.004,,,15.84±1.36,4.97±0.25,75.87±2.25,485±12.1,
A004,Barley (Hordeum vulgare),6,0.06±0.013,0.01±0.002,,,6.16±0.03,1.17±0.10,42.83±0.84,386±18.2,
A005,Jowar (Sorghum vulgare),6,0.02±0.005,0.01±0.004,,,21.59±0.72,5.31±0.18,38.27±1.04,549±27.2,
A006,"Maize, dry (Zea mays)",6,,,,,12.49±0.24,4.22±0.18,87.70±2.61,646±19.4,
A007,"Maize, tender, local (Zea mays)",6,,,,,5.78±0.14,2.91±0.05,43.81±0.99,148±8.1,
A008,"Maize, tender, sweet (Zea mays)",4,,,,,5.63±0.06,2.63±0.06,41.71±0.52,221±17.1,
A009,Quinoa (Chenopodium quinoa),1,,,,,0.91,1.89,46.1,120,
A010,Ragi (Eleusine coracana),5,0.02±0.006,,,,5.67±0.15,2.55±0.03,57.36±1.80,306±6.9,
A011,Rice flakes (Oryza sativa ),6,,,,,3.48±0.32,2.15±0.05,21.26±0.88,474±21.1,
A012,Rice puffed (Oryza sativa ),6,,,,,2.72±0.07,1.52±0.07,16.61±0.85,115±12.3,
A013,"Rice, raw, brown (Oryza sativa )",6,0.08±0.058,,,,3.22±0.03,1.73±0.04,17.21±0.79,742±14.5,
A014,"Rice, parboiled, milled (Oryza sativa )",6,0.08±0.016,,,,2.83±0.06,1.85±0.06,20.68±0.77,274±10.6,
A015,"Rice, raw, milled (Oryza sativa )",6,,,,,2.68±0.16,1.75±0.14,21.86±0.71,266±9.6,
A016,Samai (Panicum miliare),6,0.01±0.000,,,,10.70±0.23,3.07±0.07,73.44±2.02,265±20.1,0.44±0.04
A017,Varagu (Setaria italica),5,0.02±0.027,,,,3.08±0.02,4.40±0.13,37.03±1.56,452±6.5,
A018,"Wheat flour, refined (Triticum aestivum)",6,0.35±0.016,,,,3.77±0.12,0.53±0.03,25.63±0.90,123±16.0,
A019,"Wheat flour, atta (Triticum aestivum)",6,0.47±0.100,0.04±0.005,,,6.21±0.20,0.77±0.03,36.60±2.69,632±15.9,
A020,"Wheat, whole (Triticum aestivum)",6,0.47±0.171,0.05±0.030,,,9.73±0.15,1.42±0.12,55.25±2.06,638±29.2,
A021,"Wheat, bulgur (Triticum aestivum)",6,0.35±0.062,,,,4.14±0.02,0.75±0.03,25.41±0.18,679±14.9,
A022,"Wheat, semolina (Triticum aestivum)",6,0.47±0.194,0.05±0.003,,,10.36±0.26,1.36±0.04,54.28±2.53,549±11.7,
A023,"Wheat, vermicelli (Triticum aestivum)",6,,,,,2.80±0.08,0.40±0.02,22.37±0.28,168±14.6,
A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,,,,,3.23±0.02,0.47±0.01,25.58±0.15,165±12.9,
B001 ,"Bengal gram, dal (Cicer arietinum) ",6,0.23±0.048 ,0.61±0.153 ,,,8.03±0.59 ,3.61±0.16 ,90.28±2.92 ,450±23.2 ,1.10±0.16
B002,"Bengal gram, whole (Cicer arietinum)",6,0.23±0.059,0.58±0.131,,,7.10±0.68,6.26±0.60,85.27±1.44,578±11.2,1.70±0.20
B003,"Black gram, dal (Phaseolus mungo)",6,0.03±0.013,0.17±0.053,1.13±0.158,0.06±0.030,3.45±0.33,11.21±0.45,42.37±2.23,579±11.8,1.20±0.05
B004,"Black gram, whole (Phaseolus mungo)",6,0.02±0.009,0.17±0.054,1.00±0.125,0.04±0.022,3.08±0.11,13.39±0.63,41.57±0.73,679±12.4,1.82±0.15
B005,"Cowpea, brown (Vigna catjang)",6,0.14±0.011,1.24±0.075,0.01±0.000,,6.56±0.08,32.19±1.27,62.19±1.80,550±8.7,2.99±0.15
B006,"Cowpea, white (Vigna catjang)",1,0.12,1.13,0.01,,6.86,32.64,65.43,573,2.98
B007,"Field bean, black (Phaseolus vulgaris)",1,0.12,0.38,0.01,,2.51,42.15,51.63,759,1.63
B008,"Field bean, brown (Phaseolus vulgaris)",1,0.16,0.31,0.01,,2.8,46.17,51.14,773,1.71
B009,"Field bean, white (Phaseolus vulgaris)",5,0.13±0.015,0.33±0.046,0.01±0.001,,2.47±0.18,43.19±2.38,53.83±1.78,791±15.8,1.75±0.18
B010,"Green gram, dal (Phaseolus aureus)",6,0.07±0.014,0.32±0.057,0.90±0.121,0.02±0.019,3.29±0.22,12.19±0.37,55.33±1.51,170±15.0,1.08±0.08
B011,"Green gram, whole (Phaseolus aureus)",6,0.11±0.053,0.30±0.076,1.57±0.308,0.03±0.018,3.03±0.11,12.38±0.97,51.77±0.25,375±12.3,1.28±0.07
