code,name,regn,tf14d1,tf16d1c,tf18d1tn9,tf18d1cn9,tf20d1n9f,tf22d1n9,tf18d2cn6,tf18d3n3,tfasat,tfams,tfapu
T001,Coconut oil,1,,,,7.24±0.25,,,1.90±0.14,,90.86±0.33,7.24±0.25,1.90±0.14
T002,Corn oil,1,,1.7,,31.97,,,48.97,0.76,16.6,33.67,49.74
T003,Cotton seed oil,1,,1.84,,17.82,,,51.81,0.35,28.17,19.66,52.16
T004,Gingelly oil,6,,0.27±0.09,,40.87±0.54,0.27±0.04,,41.96±0.87,0.39±0.08,16.25±0.73,41.41±0.62,42.34±0.89
T005,Groundnut oil,5,,,,53.89±1.08,,,27.17±0.99,,18.94±1.26,53.89±1.08,27.17±0.99
T006,Mustard oil,6,,0.16±0.04,,10.18±0.48,5.45±0.25,51.30±0.96,15.55±0.15,11.64±0.34,5.72±0.09,67.09±0.48,27.19±0.44
T007,Palm oil,4,,0.27±0.03,,43.26±0.42,,,11.18±0.28,0.30±0.03,44.98±0.67,43.53±0.40,11.49±0.29
T008,Rice bran oil,5,,0.28±0.03,,43.84±0.76,,,31.56±0.65,0.56±0.13,23.76±0.58,44.12±0.74,32.12±0.68
T009,Safflower oil,1,,0.24±0.02,,13.80±0.62,0.17±0.02,,76.58±1.10,0.13±0.03,9.19±0.58,14.04±0.60,76.78±1.15
T010,Safflower oil (blended),4,,0.24±0.04,,37.37±1.68,,,42.09±1.94,0.78±0.23,19.53±0.54,37.61±1.71,42.86±2.16
T011,Soyabean oil,6,,,,24.06±1.75,,,54.78±1.45,5.20±0.33,15.96±0.37,24.06±1.75,59.98±1.57
T012,Sunflower oil,6,,,,25.96±1.54,,,62.65±1.56,,11.39±0.10,25.96±1.54,62.65±1.56
T013,Ghee,6,0.95±0.17,1.86±0.16,0.44±0.09,23.19±1.46,,,2.00±0.62,0.55±0.11,71.02±4.13,26.44±1.88,2.54±0.73
T014,Vanaspati,6,,,4.68±0.92,29.19±1.35,,,4.69±0.56,,61.44±1.60,33.87±1.42,4.69±0.56
