code,name,regn,water,protcnt,ash,fatce,fibtg,fibins,fibsol,choavldf,enerc,fasat,fams,fapu,lactose,ca,ergcal,chocal,fe,glus,oxalt,citac,vitc,category
A001,"Amaranth seed, black (Amaranthus cruentus)",1,9.89,14.59,2.78,5.74,7.02,5.76,1.26,59.98,1490,1280,1033,2279,0,181,58.67,0,9.33,0.22,226,8.64,0,Grains
A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,9.2,13.27,3.05,5.56,7.47,5.8,1.67,61.46,1489,1140,1043,2266,0,162,53.98,0,8.02,0.22,209,7.93,0,Grains
A003,Bajra (Pennisetum typhoideum),6,8.97,10.96,1.37,5.43,11.49,9.14,2.34,61.78,1456,875,1047,1984,0,27.35,5.65,0,6.42,0.6,53.13,0,0,Grains
A004,Barley (Hordeum vulgare),6,9.77,10.94,1.06,1.3,15.64,9.98,5.66,61.29,1321,232,90.79,575,0,28.64,0,0,1.56,0.06,10.98,0,0,Grains
A005,Jowar (Sorghum vulgare),6,9.01,9.97,1.39,1.73,10.22,8.49,1.73,67.68,1398,163,314,524,0,27.6,3.96,0,3.95,0.1,28.38,0,0,Grains
A006,"Maize, dry (Zea mays)",6,9.26,8.8,1.17,3.77,12.24,11.29,0.94,64.77,1398,413,706,1606,0,8.91,33.6,0,2.49,0.8,15.26,0,0,Grains
A007,"Maize, tender, local (Zea mays)",6,68.29,3.57,0.38,1.4,3.67,3.23,0.43,22.69,502,109,147,347,0,6.35,42.34,0,0.71,0.8,5.2,0,4.26,Grains
A008,"Maize, tender, sweet (Zea mays)",4,74.4,4.16,0.36,1.35,3.3,2.71,0.59,16.42,405,123,176,300,0,6.37,16.94,0,0.54,0.97,1.67,0,5.72,Grains
A009,Quinoa (Chenopodium quinoa),1,10.43,13.11,2.65,5.5,14.66,10.21,4.46,53.65,1374,570,1424,2406,0,198,0,0,7.51,1.41,82.94,0,0,Grains
A010,Ragi (Eleusine coracana),5,10.89,7.16,2.04,1.92,11.18,9.51,1.67,66.82,1342,317,585,431,0,364,41.46,0,4.62,0.25,39.58,0,0,Grains
A011,Rice flakes (Oryza sativa),6,10.36,7.44,0.85,1.14,3.46,2.65,0.81,76.75,1480,284,425,577,0,9.19,0,0,4.46,0.2,10.97,0,0,Grains
A012,Rice puffed (Oryza sativa ),6,9.4,7.47,1.28,1.62,2.56,1.76,0.8,77.68,1514,46.84,39.77,44.8,0,15.09,0,0,4.55,0.49,6.27,0,0,Grains
A013,"Rice, raw, brown (Oryza sativa )",6,9.33,9.16,1.04,1.24,4.43,3.6,0.82,74.8,1480,346,203,506,0,10.93,0,0,1.02,0.55,12.06,0,0,Grains
A014,"Rice, parboiled, milled (Oryza sativa )",6,10.09,7.81,0.65,0.55,3.74,2.98,0.76,77.16,1471,150,86.66,216,0,8.11,0,0,0.72,0.51,5.02,0,0,Grains
A015,"Rice, raw, milled (Oryza sativa )",6,9.93,7.94,0.56,0.52,2.81,1.99,0.82,78.24,1491,184,117,253,0,7.49,0,0,0.65,0.54,1.92,0,0,Grains
A016,Samai (Panicum miliare),6,11.36,10.13,1.34,3.89,7.72,5.45,2.27,65.55,1449,589,868,1277,0,16.06,3.75,0,1.26,0.24,6.74,0,0,Grains
A017,Varagu (Setaria italica),5,14.23,8.92,1.72,2.55,6.39,4.29,2.11,66.19,1388,246,297,597,0,15.27,0,0,2.34,0.89,3.48,0,0,Grains
A018,"Wheat flour, refined (Triticum aestivum)",6,11.34,10.36,0.51,0.76,2.76,2.14,0.62,74.27,1472,98.55,50.64,343,0,20.4,6.73,0,1.77,0.75,20.22,0,0,Grains
A019,"Wheat flour, atta (Triticum aestivum)",6,11.1,10.57,1.28,1.53,11.36,9.73,1.63,64.17,1340,206,149,742,0,30.94,13.43,0,4.1,0.78,52.38,0,0,Grains
A020,"Wheat, whole (Triticum aestivum)",6,10.58,10.59,1.42,1.47,11.23,9.63,1.6,64.72,1347,191,141,654,0,39.36,17.49,0,3.97,0.73,52.46,0,0,Grains
A021,"Wheat, bulgur (Triticum aestivum)",6,8.61,10.84,1.23,1.45,8.81,6.56,2.25,69.06,1430,196,152,700,0,27.09,6.27,0,3.86,0.55,40.23,0,0,Grains
A022,"Wheat, semolina (Triticum aestivum)",6,8.94,11.38,0.8,0.74,9.72,8.16,1.55,68.43,1396,88.87,67.34,325,0,29.38,8.19,0,2.98,0.55,28.43,0,0,Grains
A023,"Wheat, vermicelli (Triticum aestivum)",6,9.59,9.7,0.6,0.45,9.28,7.53,1.75,70.39,1392,64.59,36.06,220,0,19.42,4.06,0,2.02,0.58,23.84,0,0,Grains
A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,7.61,10.37,0.56,0.49,9.55,7.79,1.76,71.42,1423,49.95,28.84,170,0,22.63,3.21,0,2.09,1.01,21.91,0,0,Grains
B001,"Bengal gram, dal (Cicer arietinum)",6,9.18,21.55,2.1,5.31,15.15,12.67,2.48,46.72,1377,469,876,2476,0,46.32,1.75,0,6.08,0.1,6.49,0,0,Legumes
B002,"Bengal gram, whole (Cicer arietinum)",6,8.56,18.77,2.78,5.11,25.22,22.7,2.52,39.56,1201,453,890,2337,0,150,1.93,0,6.78,0.1,7.14,0,0,Legumes
B003,"Black gram, dal (Phaseolus mungo)",6,9.16,23.06,3.17,1.69,11.93,7.58,4.35,51,1356,276,186,742,0,55.67,8.42,0,4.67,0.2,43.78,0,0,Legumes
B004,"Black gram, whole (Phaseolus mungo)",6,8.7,21.97,3.35,1.58,20.41,15.47,4.94,43.99,1219,258,161,718,0,86.18,16.84,0,5.97,0.1,56.25,0,0,Legumes
B005,"Cowpea, brown (Vigna catjang)",6,9.42,20.36,2.9,1.15,11.54,8.75,2.8,54.62,1340,283,60.58,550,0,81.73,0.92,0,5.9,0.61,14.34,0,0,Legumes
B006,"Cowpea, white (Vigna catjang)",1,9.32,21.25,2.83,1.14,11.7,8.91,2.79,53.77,1340,285,70.12,557,0,84.1,0.93,0,5.04,0.39,17.23,0,0,Legumes
B007,"Field bean, black (Phaseolus vulgaris)",1,9.57,19.93,2.73,0.92,23.4,17.99,5.41,43.46,1155,188,80.07,468,0,78.16,4.35,0,4.5,0.53,1.28,0,0,Legumes
B008,"Field bean, brown (Phaseolus vulgaris)",1,8.74,19.9,2.74,0.98,22.4,17.32,5.08,45.24,1184,198,127,460,0,75.2,4.24,0,4.99,0.29,1.26,0,0,Legumes
B009,"Field bean, white (Phaseolus vulgaris)",5,8.61,19.84,3.09,0.94,22.99,17.45,5.54,44.53,1173,186,61.57,503,0,77.24,4.26,0,5.5,0.41,1.23,0,0,Legumes
B010,"Green gram, dal (Phaseolus aureus)",6,9.77,23.88,3.04,1.35,9.37,7.75,1.62,52.59,1363,247,35.85,534,0,43.13,2.05,0,3.93,0.3,2.46,0,0,Legumes
B011,"Green gram, whole (Phaseolus aureus)",6,9.95,22.53,3.22,1.14,17.04,14.59,2.44,46.13,1229,274,27.22,611,0,92.43,3.15,0,4.89,0.14,12.29,0,0,Legumes
B012,"Horse gram, whole (Dolicus biflorus)",6,9.28,21.73,3.24,0.62,7.88,6.22,1.66,57.24,1379,135,68.89,258,0,269,1.8,0,8.76,0.15,181,0,0,Legumes
B013,Lentil dal (Lens culinaris),6,9.71,24.35,2.23,0.75,10.43,8.6,1.83,52.53,1349,91.02,112,336,0,44.32,1.31,0,7.06,0.3,10.46,0,0,Legumes
