,code,name,regn,thia,ribf,nia,pantac,vitb6c,biot,folsum,vitc
0,A001,"Amaranth seed, black (Amaranthus cruentus)",1,0.04,0.04,0.45,0.24,0.50,1.92,27.44,0
1,A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,0.04,0.04,0.52,0.28,0.33,1.87,24.65,0
2,A003,Bajra (Pennisetum typhoideum),6,0.25,0.20,0.86,0.50,0.27,0.64,36.11,0
3,A004,Barley (Hordeum vulgare),6,0.36,0.18,2.84,0.14,0.31,2.38,31.58,0
4,A005,Jowar (Sorghum vulgare),6,0.35,0.14,2.10,0.27,0.28,0.70,39.42,0
5,A006,"Maize, dry (Zea mays)",6,0.33,0.09,2.69,0.34,0.34,0.49,25.81,0
6,A007,"Maize, tender, local (Zea mays)",6,0.17,0.12,1.13,0.35,0.45,1.70,62.96,4.26
7,A008,"Maize, tender, sweet (Zea mays)",4,0.10,0.14,1.14,0.32,0.38,1.91,59.71,5.72
8,A009,Quinoa (Chenopodium quinoa),1,0.83,0.22,1.70,0.62,0.21,0.62,173,0
9,A010,Ragi (Eleusine coracana),5,0.37,0.17,1.34,0.29,0.05,0.88,34.66,0
10,A011,Rice flakes (Oryza sativa),6,0.12,0.04,1.60,0.48,0.02,0.39,8.46,0
11,A012,Rice puffed (Oryza sativa),6,0.11,0.04,1.87,0.38,0.07,1.26,0,0
12,A013,"Rice, raw, brown (Oryza sativa)",6,0.27,0.06,3.40,0.61,0.37,1.38,11.51,0
13,A014,"Rice, parboiled, milled (Oryza sativa)",6,0.17,0.06,2.51,0.55,0.22,0.31,9.75,0
14,A015,"Rice, raw, milled (Oryza sativa)",6,0.05,0.05,1.69,0.57,0.12,0.60,9.32,0
15,A016,Samai (Panicum miliare),6,0.26,0.05,1.29,0.60,0.04,6.03,36.20,0
16,A017,Varagu (Setaria italica),5,0.29,0.20,1.49,0.63,0.07,1.49,39.49,0
17,A018,"Wheat flour, refined (Triticum aestivum)",6,0.15,0.06,0.77,0.72,0.08,0.58,16.25,0
18,A019,"Wheat flour, atta (Triticum aestivum)",6,0.42,0.15,2.37,0.87,0.25,0.76,29.22,0
19,A020,"Wheat, whole (Triticum aestivum)",6,0.46,0.15,2.68,1.08,0.26,1.03,30.09,0
20,A021,"Wheat, bulgur (Triticum aestivum)",6,0.24,0.12,2.05,0.84,0.24,2.50,26.30,0
21,A022,"Wheat, semolina (Triticum aestivum)",6,0.29,0.04,1.13,0.75,0.11,0.44,25.68,0
22,A023,"Wheat, vermicelli (Triticum aestivum)",6,0.13,0.01,0.86,0.52,0.03,2.00,14.35,0
23,A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,0.12,0.01,0.67,0.49,0.03,1.34,13.21,0
24,B001,"Bengal gram, dal (Cicer arietinum)",6,0.35,0.15,1.87,1.60,0.19,0.81,182,0
25,B002,"Bengal gram, whole (Cicer arietinum)",6,0.37,0.24,2.10,2.38,0.36,0.93,233,0
26,B003,"Black gram, dal (Phaseolus mungo)",6,0.21,0.09,1.76,2.95,0.22,0.81,88.75,0
27,B004,"Black gram, whole (Phaseolus mungo)",6,0.32,0.11,1.85,3.98,0.53,1.28,134,0
28,B005,"Cowpea, brown (Vigna catjang)",6,0.33,0.09,1.64,1.47,0.30,3.97,231,0
29,B006,"Cowpea, white (Vigna catjang)",1,0.34,0.09,1.51,1.66,0.26,4.28,249,0
30,B007,"Field bean, black (Phaseolus vulgaris)",1,0.35,0.07,1.88,0.85,0.35,0.66,291,0
31,B008,"Field bean, brown (Phaseolus vulgaris)",1,0.32,0.07,2.04,0.97,0.37,0.76,292,0
32,B009,"Field bean, white (Phaseolus vulgaris)",5,0.37,0.07,1.96,0.92,0.38,0.68,289,0
33,B010,"Green gram, dal (Phaseolus aureus)",6,0.35,0.12,1.84,1.68,0.19,0.65,92.11,0
34,B011,"Green gram, whole (Phaseolus aureus)",6,0.45,0.27,2.16,2.02,0.35,1.35,145,0
35,B012,"Horse gram, whole (Dolicus biflorus)",6,0.32,0.24,1.82,1.58,0.21,0.59,163,0
36,B013,Lentil dal (Lens culinaris),6,0.34,0.16,1.81,1.32,0.18,1.25,49.99,0
37,B014,"Lentil whole, brown (Lens culinaris)",6,0.40,0.22,2.54,1.84,0.46,1.74,132,0
38,B015,"Lentil whole, yellowish (Lens culinaris)",2,0.42,0.22,2.56,1.68,0.47,1.63,121,0
