,code,name,regn,retol,ergcal,chocal,doh25,tocpha,tocphb,tocphg,tocphd,toctra,toctrb,toctrg,toctrd,vite,vitk1,vitk2
0,A001,"Amaranth seed, black (Amaranthus cruentus)",1,0,58.67,0,0,0.05,0.28,0.04,0,0,0,0,0,0.17,1.80,0
1,A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,0,53.98,0,0,0.06,0.22,0.03,0,0,0,0,0,0.15,2.50,0
2,A003,Bajra (Pennisetum typhoideum),6,0,5.65,0,0,0.10,0,1.42,0,0,0,0,0,0.24,2.85,0
3,A004,Barley (Hordeum vulgare),6,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,1.85,0
4,A005,Jowar (Sorghum vulgare),6,0,3.96,0,0,0.04,0,0.27,0,0,0,0,0,0.06,43.82,0
5,A006,"Maize, dry (Zea mays)",6,0,33.60,0,0,0.21,0,1.29,0.38,0.05,0,0,0,0.36,2.50,0
6,A007,"Maize, tender, local (Zea mays)",6,0,42.34,0,0,0.05,0,0.40,0.03,0,0,0,0,0.09,2.00,0
7,A008,"Maize, tender, sweet (Zea mays)",4,0,16.94,0,0,0.07,0,0.30,0.03,0,0,0,0,0.10,1.80,0
8,A009,Quinoa (Chenopodium quinoa),1,0,0,0,0,2.08,0.06,2.85,0,0,0,0,0,2.08,2.00,0
9,A010,Ragi (Eleusine coracana),5,0,41.46,0,0,0.09,0,0.66,0,0,0,0,0,0.16,3.00,0
10,A011,Rice flakes (Oryza sativa),6,0,0,0,0,0.05,0,0,0,0,0,0,0,0.05,1.00,0
11,A012,Rice puffed (Oryza sativa ),6,0,0,0,0,0.04,0,0,0,0,0,0,0,0.04,1.00,0
12,A013,"Rice, raw, brown (Oryza sativa )",6,0,0,0,0,0.62,0.05,0.42,0,0.03,0,0.05,0.02,0.69,2.00,0
13,A014,"Rice, parboiled, milled (Oryza sativa)",6,0,0,0,0,0.06,0,0.13,0,0.05,0,0,0,0.09,1.50,0
14,A015,"Rice, raw, milled (Oryza sativa)",6,0,0,0,0,0.04,0,0.06,0,0.03,0,0.05,0,0.06,1.50,0
15,A016,Samai (Panicum miliare),6,0,3.75,0,0,0.28,0.67,0,0,0,0,0.28,0,0.55,4.47,0
16,A017,Varagu (Setaria italica),5,0,0,0,0,0.03,0,0.43,0,0,0,0.19,0,0.07,3.75,0
17,A018,"Wheat flour, refined (Triticum aestivum)",6,0,6.73,0,0,0.05,0,0,0,0.02,0,0,0,0.05,1.00,0
18,A019,"Wheat flour, atta (Triticum aestivum)",6,0,13.43,0,0,0.21,0.06,0,0,0.06,0,0,0,0.26,1.50,0
19,A020,"Wheat, whole (Triticum aestivum)",6,0,17.49,0,0,0.60,0.37,0,0,0.07,0,0,0,0.77,1.75,0
20,A021,"Wheat, bulgur (Triticum aestivum)",6,0,6.27,0,0,0.20,0,0,0,0.05,0,0,0,0.21,1.50,0
21,A022,"Wheat, semolina (Triticum aestivum)",6,0,8.19,0,0,0.16,0.07,0,0,0.05,0,0,0,0.20,1.20,0
22,A023,"Wheat, vermicelli (Triticum aestivum)",6,0,4.06,0,0,0.03,0,0,0,0.03,0,0,0,0.03,1.00,0
23,A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,0,3.21,0,0,0.01,0,0,0,0.02,0,0,0,0.01,1.00,0
24,B001,"Bengal gram, dal (Cicer arietinum)",6,0,1.75,0,0,0.08,0,1.13,0.03,0,0,0,0,0.19,1.50,0
25,B002,"Bengal gram, whole (Cicer arietinum)",6,0,1.93,0,0,1.59,0,1.33,0.08,0,0,0,0,1.72,2.10,0
26,B003,"Black gram, dal (Phaseolus mungo)",6,0,8.42,0,0,0.04,0,1.29,0.05,0,0,0,0,0.17,8.30,0
27,B004,"Black gram, whole (Phaseolus mungo)",6,0,16.84,0,0,0.09,0,1.35,0.08,0,0,0,0,0.23,10.80,0
28,B005,"Cowpea, brown (Vigna catjang)",6,0,0.92,0,0,0.33,0,3.50,2.44,0,0,0,0,0.70,1.75,0
29,B006,"Cowpea, white (Vigna catjang)",1,0,0.93,0,0,0.32,0,3.06,2.70,0,0,0,0,0.65,1.70,0
30,B007,"Field bean, black (Phaseolus vulgaris)",1,0,4.35,0,0,0.24,0,2.69,0.07,0,0,0,0,0.51,21.50,0
31,B008,"Field bean, brown (Phaseolus vulgaris)",1,0,4.24,0,0,0.25,0,2.74,0.06,0,0,0,0,0.53,20.70,0
32,B009,"Field bean, white (Phaseolus vulgaris)",5,0,4.26,0,0,0.25,0,2.65,0.07,0,0,0,0,0.52,22.65,0
33,B010,"Green gram, dal (Phaseolus aureus)",6,0,2.05,0,0,0.06,0,1.66,0,0,0,0,0,0.23,8.30,0
34,B011,"Green gram, whole (Phaseolus aureus)",6,0,3.15,0,0,0.13,0,2.08,0,0,0,0,0.26,0.33,12.63,0
35,B012,"Horse gram, whole (Dolicus biflorus)",6,0,1.80,0,0,0.06,0,2.06,0,0,0,0,0,0.27,10.24,0
36,B013,Lentil dal (Lens culinaris),6,0,1.31,0,0,0.02,0,1.37,0.23,0,0,0,0,0.16,3.75,0
37,B014,"Lentil whole, brown (Lens culinaris)",6,0,14.52,0,0,0.03,0,1.64,0.30,0,0,0,0,0.19,7.27,0
38,B015,"Lentil whole, yellowish (Lens culinaris)",2,0,17.68,0,0,0.03,0,1.58,0.30,0,0,0,0,0.19,5.25,0
39,B016,Moth bean (Vigna aconitifolia),6,0,9.77,0,0,0.29,0,5.04,0.26,0,0,0,0,0.79,22.75,0
40,B017,"Peas, dry (Pisum sativum)",6,0,15.21,0,0,0.07,0,2.50,0,0,0,0,0,0.32,11.45,0
41,B018,"Rajmah, black (Phaseolus vulgaris)",2,0,27.98,0,0,0.05,0,1.62,0,0,0,0,0,0.21,5.05,0
42,B019,"Rajmah, brown (Phaseolus vulgaris)",6,0,25.82,0,0,0.08,0,1.58,0,0,0,0,0,0.23,5.50,0
