,code,name,regn,lutn,zea,lycpn,crypxb,cartg,carta,cartb,cartoid
0,A001,"Amaranth seed, black (Amaranthus cruentus)",1,10.25,0,0,0,0,0,0,121
1,A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,4.11,0,0,0,0,0,0,59.68
2,A003,Bajra (Pennisetum typhoideum),6,29.69,9.30,0,0,0,0,28.23,293
3,A004,Barley (Hordeum vulgare),6,5.39,1.90,0,0,0,0,0,69.87
4,A005,Jowar (Sorghum vulgare),6,9.08,7.48,0,0,0,0,8.29,212
5,A006,"Maize, dry (Zea mays)",6,186,42.4,0,110,0,0,186,893
6,A007,"Maize, tender, local (Zea mays)",6,110,26.53,0,37.26,0,0,36.27,1428
7,A008,"Maize, tender, sweet (Zea mays)",4,108,28.19,0,58.41,0,0,47.01,1035
8,A009,Quinoa (Chenopodium quinoa),1,11.88,10.05,0,0,0,0,5.12,153
9,A010,Ragi (Eleusine coracana),5,25.53,1.45,0,0,0,0,1.53,154
10,A011,Rice flakes (Oryza sativa ),6,1.46,0,0,0,0,0,0,33.61
11,A012,Rice puffed (Oryza sativa ),6,1.51,0,0,0,0,0,0,50.46
12,A013,"Rice, raw, brown (Oryza sativa )",6,13.15,0,0,0,0,0,0,159
13,A014,"Rice, parboiled, milled (Oryza sativa )",6,1.46,0,0,0,0,0,0,46.90
14,A015,"Rice, raw, milled (Oryza sativa )",6,1.49,0,0,0,0,0,0,16.87
15,A016,Samai (Panicum miliare),6,7.82,5.24,0,0,0,0,1.91,120
16,A017,Varagu (Setaria italica),5,59.40,3.91,0,0,0,0,1.41,272
17,A018,"Wheat flour, refined (Triticum aestivum)",6,24.41,1.30,0,0,0,0,1.97,270
18,A019,"Wheat flour, atta (Triticum aestivum)",6,42.12,1.31,0,0,0,0,2.67,284
19,A020,"Wheat, whole (Triticum aestivum)",6,52.56,1.47,0,0,0,0,3.03,287
20,A021,"Wheat, bulgur (Triticum aestivum)",6,47.67,1.06,0,0,0,0,2.55,191
21,A022,"Wheat, semolina (Triticum aestivum)",6,29.94,1.13,0,0,0,0,1.60,276
22,A023,"Wheat, vermicelli (Triticum aestivum)",6,19.31,0.89,0,0,0,0,1.68,39.54
23,A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,12.89,1.08,0,0,0,0,0.92,21.33
24,B001 ,"Bengal gram, dal (Cicer arietinum) ",6,314 ,1.05 ,0,0,0,0,165 ,1018
25,B002,"Bengal gram, whole (Cicer arietinum)",6,385,24.74,0,0,0,0,172,999
26,B003,"Black gram, dal (Phaseolus mungo)",6,83.87,0,0,0,0,0,10.11,279
27,B004,"Black gram, whole (Phaseolus mungo)",6,95.42,0,0,0,0,0,12.80,463
28,B005,"Cowpea, brown (Vigna catjang)",6,83.34,0,0,0,0,0,7.08,218
29,B006,"Cowpea, white (Vigna catjang)",1,78.52,0,0,0,0,0,8.21,250
30,B007,"Field bean, black (Phaseolus vulgaris)",1,48.99,0,0,0,0,0,0,207
