,code,name,regn,al,as,cd,ca,cr,co,cu,fe,pb,li
0,A001,"Amaranth seed, black (Amaranthus cruentus)",1,3.32,0,0,181,1.227,0.059,0.81,9.33,0.013,0.028
1,A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,2.73,0,0.001,162,0.092,0.021,0.56,8.02,0.018,0.008
2,A003,Bajra (Pennisetum typhoideum),6,2.21,0.97,0.003,27.35,0.025,0.030,0.54,6.42,0.008,0.003
3,A004,Barley (Hordeum vulgare),6,0,0,0,28.64,0.029,0.027,0.43,1.56,0,0
4,A005,Jowar (Sorghum vulgare),6,2.56,1.53,0.002,27.60,0.010,0.012,0.45,3.95,0.008,0.001
5,A006,"Maize, dry (Zea mays)",6,2.82,0,0,8.91,0.010,0.010,0.45,2.49,0,0.002
6,A007,"Maize, tender, local (Zea mays)",6,0.12,0,0,6.35,0.004,0,0.18,0.71,0.001,0
7,A008,"Maize, tender, sweet (Zea mays)",4,0.11,0,0,6.37,0.002,0.001,0.11,0.54,0,0
8,A009,Quinoa(Chenopodium quinoa),1,0,0.03,0.002,198,0.004,0,0.48,7.51,0,0
9,A010,Ragi (Eleusine coracana),5,3.64,0,0.004,364,0.032,0.022,0.67,4.62,0.005,0.003
10,A011,Rice flakes (Oryza sativa ),6,2.44,0,0.002,9.19,0.050,0.007,0.26,4.46,0.005,0.002
11,A012,Rice puffed (Oryza sativa ),6,2.41,0,0.004,15.09,0.028,0.007,0.25,4.55,0.013,0.004
12,A013,"Rice, raw, brown (Oryza sativa )",6,0.60,0,0.002,10.93,0.005,0.011,0.37,1.02,0.002,0
13,A014,"Rice, parboiled, milled (Oryza sativa )",6,0.20,0,0.002,8.11,0.005,0.003,0.27,0.72,0.006,0.005
14,A015,"Rice, raw, milled (Oryza sativa )",6,0.44,0,0.002,7.49,0.005,0.003,0.23,0.65,0.005,0.002
15,A016,Samai (Panicum miliare),6,0,0.49,0.001,16.06,0.016,0.001,0.34,1.26,0,0
16,A017,Varagu (Setaria italica),5,1.07,0,0,15.27,0.021,0.005,0.26,2.34,0,0.027
17,A018,"Wheat flour, refined (Triticum aestivum)",6,0.94,0,0.001,20.40,0.005,0.001,0.17,1.77,0.004,0.003
18,A019,"Wheat flour, atta (Triticum aestivum)",6,1.54,0,0.001,30.94,0.006,0.006,0.48,4.10,0.006,0.002
19,A020,"Wheat, whole (Triticum aestivum)",6,0.55,0,0.002,39.36,0.006,0.003,0.49,3.97,0,0.005
20,A021,"Wheat, bulgur (Triticum aestivum)",6,0.43,0.40,0.001,27.09,0.007,0.001,0.40,3.86,0.008,0
21,A022,"Wheat, semolina (Triticum aestivum)",6,0.64,0,0.002,29.38,0.006,0.003,0.46,2.98,0.004,0.002
22,A023,"Wheat, vermicelli (Triticum aestivum)",6,1.15,0,0.001,19.42,0.006,0.002,0.19,2.02,0.008,0.001
23,A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,1.20,0,0.001,22.63,0.007,0.003,0.22,2.09,0.009,0.001
24,B001,"Bengal gram, dal (Cicer arietinum)",6,0.65,0,0,46.32,0.008,0.024,0.82,6.08,0.011,0.003
25,B002,"Bengal gram, whole (Cicer arietinum)",6,2.10,0,0,150,0.015,0.021,0.85,6.78,0.006,0.006
26,B003,"Black gram, dal (Phaseolus mungo)",6,1.19,0,0,55.67,0.011,0.014,0.64,4.67,0.004,0.002
27,B004,"Black gram, whole (Phaseolus mungo)",6,2.25,0,0,86.18,0.019,0.018,0.76,5.97,0.008,0.005
28,B005,"Cowpea, brown (Vigna catjang)",6,1.36,0,0,81.73,0.010,0.013,0.81,5.90,0,0.006
29,B006,"Cowpea, white (Vigna catjang)",1,0.4,0,0,84.1,0.004,0.017,0.68,5.04,0,0.007
30,B007,"Field bean, black (Phaseolus vulgaris)",1,0.53,0,0,78.16,0.01,0.021,1.03,4.5,0,0.001
31,B008,"Field bean, brown (Phaseolus vulgaris)",1,0.73,0,0,75.2,0.01,0.018,0.9,4.99,0,0.001
32,B009,"Field bean, white (Phaseolus vulgaris)",5,0.52,0,0,77.24,0.019,0.014,0.94,5.50,0,0.001
33,B010,"Green gram, dal (Phaseolus aureus)",6,2.47,0,0,43.13,0.002,0.006,0.97,3.93,0.002,0.002
34,B011,"Green gram, whole (Phaseolus aureus)",6,3.24,0,0,92.43,0.012,0.021,1.00,4.89,0,0.002
35,B012,"Horse gram, whole (Dolicus biflorus)",6,4.69,0,0.001,269,0.027,0.054,1.29,8.76,0.007,0.005
36,B013,Lentil dal (Lens culinaris),6,1.60,1.19,0,44.32,0.006,0.009,0.96,7.06,0,0.003
37,B014,"Lentil whole, brown (Lens culinaris)",6,2.60,0.46,0,76.13,0.022,0.015,0.98,7.57,0.016,0.004
38,B015,"Lentil whole, yellowish (Lens culinaris)",2,1.02,0,0,76.66,0.012,0.012,0.88,7.91,0.016,0.004
39,B016,Moth bean (Vigna aconitifolia),6,0.54,0,0,154,0.003,0.019,0.64,7.90,0,0.005
40,B017,"Peas, dry (Pisum sativum)",6,0.52,0,0,75.11,0.010,0.009,0.68,5.09,0.005,0.003
41,B018,"Rajmah, black (Phaseolus vulgaris)",2,0.75,0,0,134,0.032,0.006,0.87,6.17,0.012,0.002
42,B019,"Rajmah, brown (Phaseolus vulgaris)",6,0.92,0,0,134,0.025,0.024,0.89,6.30,0.006,0.002
43,B020,"Rajmah, red (Phaseolus vulgaris)",3,0.65,0,0,126,0.029,0.013,0.78,6.13,0.003,0.003
44,B021,"Red gram, dal (Cajanus cajan)",6,0.83,0,0,71.73,0.007,0.003,1.14,3.90,0.003,0.004
45,B022,"Red gram, whole (Cajanus cajan)",6,2.21,0,0.001,139,0.022,0.020,1.32,5.37,0.004,0.008
46,B023,Ricebean (Vigna umbellata ),1,0,0,0,200,0.002,0,0.75,4.76,0,0
47,B024,"Soya bean, brown (Glycine max)",6,1.45,0,0.001,239,0.003,0.049,1.29,8.29,0,0.001
48,B025,"Soya bean, white (Glycine max)",1,0.71,0,0,195,0.007,0.018,0.79,8.22,0,0
49,C001,Agathi leaves (Sesbania grandiflora),1,0,3.92,0.001,901,0,0.007,0.25,4.36,0.013,0
50,C002,"Amaranth leaves, green (Amaranthus gangeticus)",6,3.91,0,0.002,330,0.027,0.005,0.21,4.64,0.004,0.009
51,C003,"Amaranth leaves, red (Amaranthus gangeticus)",1,3.03,0,0.002,245,0.028,0.023,0.22,7.25,0,0.009
52,C004,"Amaranth leaves, red and green (Amaranthus gangeticus)",4,3.59,0,0.002,269,0.024,0.012,0.17,5.28,0.004,0.007
53,C005,"Amaranth spinosus, leaves, green (Amaranthus spinosus)",4,2.87,0,0,359,0.035,0.002,0.23,6.37,0.001,0.008
54,C006,"Amaranth spinosus, leaves, red and green (Amaranthus spinosus)",2,3.61,0,0,372,0.028,0.005,0.33,4.58,0.001,0.014
55,C007,Basella leaves (Basella alba),2,2.69,2.75,0.002,93.89,0.046,0.006,0.12,4.2,0.006,0.006
56,C008,Bathua leaves (Chenopodium album),2,0,0.82,0.001,211,0,0.001,0.1,2.66,0.001,0
57,C009,Beet greens (Beta vulgaris),6,0,3.53,0.01,151,0,0.004,0.14,5.80,0.011,0
58,C010,"Betel leaves, big (kolkata) (Piper betle)",6,2.01,1.17,0.002,207,0.026,0.003,0.24,3.00,0.005,0.012
59,C011,"Betel leaves, small (Piper betle)",4,1.85,1.68,0,196,0.019,0.002,0.29,2.87,0.004,0.005
60,C012,Brussels sprouts (Brassica oleracea var. gemmifera),1,0,0.57,0.001,53.99,0.002,0.001,0.08,1.54,0.004,0
61,C013,"Cabbage, Chinese (Brassica rupa)",1,0,0,0,58.46,0.001,0,0.05,0.39,0,0
62,C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",1,2.29,0,0.001,170,0.001,0.002,0.06,2.67,0,0.004
63,C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",6,0,0,0,51.76,0.004,0.001,0.03,0.35,0,0.001
64,C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",2,0,0,0,48,0.004,0.002,0.02,0.24,0,0.001
65,C017,Cauliflower leaves (Brassica oleracea var. botrytis),6,0.46,0,0.001,96.70,0.014,0,0.14,2.42,0.006,0.003
66,C018,"Colocasia leaves, green (Colocasia anti-quorum)",6,0,2.74,0.001,216,0.004,0.003,0.29,3.41,0.007,0
67,C019,Drumstick leaves (Moringa oleifera),3,1.15,1.60,0.001,314,0.020,0,0.44,4.56,0.004,0.019
68,C020,Fenugreek leaves (Trigonella foenum graecum),5,2.01,0,0.001,274,0.039,0.006,0.18,5.69,0.006,0.007
69,C021,Garden cress (Lepidium sativum),2,0,3.89,0.005,217,0.001,0.006,0.23,6.19,0.015,0
70,C022,"Gogu leaves, green (Hibiscus cannabinus)",4,2.30,0,0,145,0.061,0.004,0.23,7.65,0,0.005
71,C023,"Gogu leaves, red (Hibiscus cannabinus)",1,2.74,0,0,129,0.04,0.009,0.16,9.56,0.001,0.005
72,C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",2,0,7.98,0.004,368,0,0.005,0.07,2.51,0.006,0
73,C025,Lettuce (Lactuca sativa),3,0.90,1.43,0.003,56.71,0.020,0.002,0.14,2.73,0.004,0.008
74,C026,Mustard leaves (Brassica juncea),3,1.74,3.65,0.004,191,0.039,0.001,0.24,2.84,0.007,0.008
75,C027,Pak Choi leaves(Brassica rapa var. Chinensis),1,3.16,3.29,3.098,150,0.028,0.002,0.06,3.78,0.014,0.005
76,C028,Parsley (Petroselinum crispum),3,0,4.04,0.007,288,0.001,0.002,0.19,5.51,0.052,0
77,C029,Ponnaganni (Alternanthera sessilis),2,0,2.68,0.004,388,0.002,0.014,0.21,3.88,0.008,0
78,C030,"Pumpkin leaves, tender (Cucurbita maxima)",6,4.70,0,0.001,271,0.053,0.005,0.29,5.58,0.011,0.009
79,C031,Radish leaves (Raphanus sativus),6,1.95,4.91,0.003,234,0.051,0.005,0.29,3.82,0.003,0.014
80,C032,Rumex leaves (Rumex patientia),2,3.15,2.75,0.001,131,0.048,0.002,0.25,3.67,0.005,0.007
81,C033,Spinach (Spinacia oleracea),6,1.51,0,0,82.29,0.028,0.002,0.17,2.95,0.001,0.047
82,C034,"Tamarind leaves, tender (Tamarindus indica)",3,0,0,0,66.93,0.002,0,0.56,2.84,0,0
83,D001 ,Ash gourd (Benincasa hispida) ,6,0.04 ,0,0,19.39 ,0.006 ,0.001 ,0.04 ,0.47 ,0.003 ,0.001
84,D002,"Bamboo shoot, tender (Bambusa vulgaris)",1,0.03,0,0,10,0.004,0,0.14,0.33,0.014,0
85,D003,"Bean scarlet, tender (Phaseolus coccineus)",5,0,0.30,0,43.48,0,0.001,0.17,0.73,0,0
86,D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",6,0.37,0,0,21.36,0.014,0.002,0.09,1.15,0.001,0.002
87,D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",4,0.40,0,0,16.27,0.013,0.002,0.12,1.08,0,0.002
88,D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1,0.4,0,0,17.62,0.013,0.007,0.1,1.28,0.001,0.002
89,D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",6,0.03,0,0,15.42,0.004,0.001,0.05,0.26,0,0
90,D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",5,0.05,0,0.000,15.05,0.003,0.001,0.05,0.28,0,0
91,D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",1,0.03,0,0,16.64,0.003,0.004,0.07,0.34,0,0
92,D010,Brinjal-1 (Solanum melongena),1,0.24,0,0.002,22.17,0.004,0.001,0.25,0.49,0.002,0.011
93,D011,Brinjal-2 (Solanum melongena),1,0.05,0,0.002,17.13,0.004,0.003,0.04,0.44,0,0
94,D012,Brinjal-3 (Solanum melongena),2,0.05,0,0.001,14.58,0.006,0.003,0.11,0.34,0,0.011
95,D013,Brinjal-4 (Solanum melongena),4,0.11,0,0,13.39,0.002,0.002,0.14,0.38,0.001,0.009
96,D014,Brinjal-5 (Solanum melongena),3,0.08,0,0.001,17.03,0.002,0,0.11,0.36,0.001,0.009
97,D015,Brinjal-6 (Solanum melongena),2,0.07,0,0.001,17.17,0.002,0.001,0.11,0.39,0.001,0.016
98,D016,Brinjal-7 (Solanum melongena),1,0.15,0,0.001,19.95,0.003,0,0.09,0.27,0,0.004
99,D017,Brinjal-8(Solanum melongena),3,0.09,0,0,21,0.004,0.001,0.12,0.42,0.003,0.005
100,D018,Brinjal-9(Solanum melongena),2,0.02,0,0,18.79,0.006,0.001,0.11,0.38,0.002,0.001
101,D019,Brinjal-10 (Solanum melongena),2,0.12,0,0.001,15.59,0.007,0.001,0.12,0.41,0,0.011
102,D020,Brinjal-11 (Solanum melongena),6,0.06,0,0,15.92,0.006,0.001,0.12,0.37,0.001,0.005
103,D021,Brinjal-12 (Solanum melongena),2,0.09,0,0.001,19.85,0.007,0.001,0.14,0.37,0.001,0.012
104,D022,Brinjal-13(Solanum melongena),1,0.04,0,0,18.95,0.005,0.003,0.11,0.32,0,0.003
105,D023,Brinjal-14(Solanum melongena),3,0.11,0,0.001,14.43,0.005,0,0.11,0.32,0.001,0.010
106,D024,Brinjal-15 (Solanum melongena),4,0.06,0,0,17.82,0.003,0.001,0.12,0.36,0.001,0.009
107,D025,Brinjal-16(Solanum melongena),1,0.1,0,0.001,18.33,0.01,0,0.07,0.32,0.001,0.003
108,D026,Brinjal-17(Solanum melongena),1,0.1,0,0,20.83,0.004,0.001,0.12,0.5,0.002,0
109,D027,Brinjal-18 (Solanum melongena),3,0.08,0,0.001,16.24,0.007,0.001,0.10,0.38,0.002,0.008
110,D028,Brinjal-19(Solanum melongena),3,0.07,0,0.001,16.10,0.003,0.001,0.10,0.32,0.002,0.010
111,D029,Brinjal-20(Solanum melongena),5,0.14,0,0.001,14.36,0.005,0.001,0.10,0.33,0.001,0.010
112,D030,Brinjal-21(Solanum melongena),2,0.08,0,0.002,15.27,0.007,0.003,0.09,0.34,0.003,0.009
113,D031,Brinjal - all varieties (Solanum melongena),6,0.08,0,0.001,16.59,0.005,0.001,0.11,0.37,0.001,0.008
114,D032,Broad beans (Vicia faba),3,0,0.34,0,64.37,0.001,0.002,0.20,0.94,0.003,0
115,D033,"Capsicum, green (Capsicum annuum)",6,0,0,0.001,14.75,0.017,0.002,0.06,0.48,0.001,0.002
116,D034,"Capsicum, red (Capsicum annuum)",4,0.25,0,0.001,15.76,0.008,0.001,0.07,0.38,0.001,0.001
117,D035,"Capsicum, yellow (Capsicum annuum)",4,0.23,0.03,0.001,19.13,0.036,0.003,0.09,0.69,0.007,0.001
118,D036,Cauliflower (Brassica oleracea),6,0.17,0,0,25.16,0.007,0.001,0.05,0.96,0.004,0.001
119,D037,Celery stalk (Apium graveolens),3,1.32,0.51,0.002,38.73,0.016,0.001,0.12,1.36,0.003,0.001
120,D038,Cho-cho-marrow (Sechium edule),4,0,0,0,18.64,0.006,0.001,0.05,0.48,0,0
121,D039,Cluster beans (Cyamopsis tetragonobola),6,0.33,0,0,121,0.013,0.004,0.14,3.90,0,0.001
122,D040,"Colocasia, stem, black (Colocasia antiquorum)",1,0,1.16,0.001,29.46,0.015,0.002,0.05,0.77,0,0
123,D041,"Colocasia, stem, green (Colocasia antiquorum)",5,0,1.58,0,40.21,0.020,0.002,0.08,0.55,0,0.001
124,D042,"Corn, Baby (Zea mays)",6,0,0,0,76.51,0.002,0.001,0.12,1.45,0,0
125,D043,"Cucumber, green, elongate (Cucumis sativus)",6,0.07,0,0,16.39,0.006,0.002,0.04,0.46,0.001,0.002
126,D044,"Cucumber, green, short (Cucumis sativus)",6,0.05,0,0,19.25,0.005,0.002,0.07,0.59,0.001,0.002
127,D045,"Cucumber, orange, round (Cucumis sativus)",2,0.1,0,0.001,21.98,0.006,0.002,0.04,0.45,0.001,0.002
128,D046,Drumstick (Moringa oleifera),6,0.24,0,0,33.30,0.008,0,0.10,0.73,0.007,0.002
129,D047,"Field beans, tender, broad (Vicia faba)",2,0.64,0,0,70.57,0.006,0.003,0.24,1.95,0.003,0.002
130,D048,"Field beans, tender, lean (Vicia faba)",6,0.36,0,0,58.59,0.007,0.003,0.20,1.48,0.003,0.002
131,D049,"French beans, country (Phaseolus vulgaris)",5,0.50,0,0,55.99,0.007,0.004,0.11,1.25,0.002,0
132,D050,"French beans, hybrid (Phaseolus vulgaris)",2,0.35,0,0,49.9,0.004,0.008,0.07,0.98,0,0
133,D051,"Jack fruit, raw (Artocarpus heterophyllus)",5,0,0,0,45.74,0.004,0,0.24,0.31,0,0
134,D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",5,0,0,0,37.56,0.001,0.001,0.21,0.37,0.001,0
135,D053,Knol - Khol (Brassica oleracea),6,0,0,0,35.26,0.004,0.002,0.08,0.24,0,0
136,D054,"Kovai, big (Coccinia cordifolia)",6,0.06,0,0,34.39,0.003,0.002,0.06,0.38,0,0.001
137,D055,"Kovai, small (Coccinia cordifolia)",1,0.02,0,0,37.12,0.002,0.001,0.06,0.29,0,0.001
138,D056,Ladies finger (Abelmoschus esculentus),6,0.47,0,0.002,86.12,0.005,0.002,0.13,0.84,0.001,0.002
139,D057,"Mango, green, raw (Mangifera indica)",6,0.11,0,0,27.00,0.010,0,0.08,0.40,0,0
140,D058,"Onion, stalk (Allium cepa)",6,2.78,1.73,0.003,31.12,0.059,0.002,0.14,3.09,0.016,0.007
141,D059,"Papaya, raw (Carica papaya)",6,0.05,0.63,0,22.72,0.003,0,0.05,0.20,0.001,0.001
142,D060,Parwar (Trichosanthes dioica),6,0.33,0.68,0,30.76,0.013,0.001,0.09,0.50,0,0
143,D061,"Peas, fresh (Pisum sativum)",6,0.20,0,0,28.24,0.002,0.003,0.22,1.58,0,0
144,D062,"Plantain, flower (Musa x paradisiaca)",6,0.07,0,0,34.06,0.005,0,0.10,0.40,0,0
145,D063,"Plantain, green (Musa x paradisiaca)",6,0.08,0,0,13.80,0.012,0.002,0.10,0.34,0.001,0
146,D064,"Plantain, stem (Musa x paradisiaca)",6,0.13,0.05,0,11.24,0.015,0.001,0.04,0.26,0.002,0.001
147,D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",1,0.09,0,0,24.1,0.004,0,0.04,0.29,0,0
148,D066,"Pumpkin, orange, round (Cucurbita maxima)",6,0.11,0,0,23.06,0.002,0,0.06,0.36,0,0
149,D067,"Red gram, tender, fresh (Cajanus cajan)",1,0,0.11,0.002,58.58,0,0.001,0.45,1.18,0.006,0
150,D068,Ridge gourd (Luffa acutangula),6,0.07,0,0,13.70,0.003,0.001,0.10,0.42,0,0.001
151,D069,"Ridge gourd, smooth skin (Luffa acutangula)",3,0.10,0,0,14.96,0.003,0.001,0.09,0.50,0,0.001
152,D070,"Snake gourd, long, pale green (Trichosanthes anguina)",6,0.06,0,0,24.60,0.002,0.001,0.09,0.32,0,0.001
153,D071,"Snake gourd, long, dark green (Trichosanthes anguina)",2,0.05,0,0,27.11,0.002,0.001,0.11,0.47,0,0.001
154,D072,"Snake gourd, short (Trichosanthes anguina)",1,0.05,0,0,17.9,0.001,0,0.05,0.2,0,0
155,D073,"Tinda, tender (Praecitrullus fistulosus)",6,0.15,0,0,19.68,0.004,0.001,0.08,0.41,0,0.001
156,D074,"Tomato, green (Lycopersicon esculentum)",6,0,0.18,0.001,8.49,0.028,0.002,0.06,0.42,0.002,0
157,D075,"Tomato, ripe, hybrid (Lycopersicon esculentum)",6,0.05,0,0,8.90,0.003,0.001,0.04,0.22,0.001,0
158,D076,"Tomato, ripe, local (Lycopersicon esculentum)",6,0.04,0,0,10.17,0.005,0,0.06,0.30,0,0
159,D077,"Zucchini, green (Cucurbita pepo)",2,0,0,0,17.26,0.002,0,0.07,0.52,0,0
160,D078,"Zucchini, yellow(Cucurbita pepo)",2,0,0,0,20.98,0.003,0,0.11,0.34,0,0
161,E001 ,"Apple, big (Malus domestica) ",6,0.23 ,0.96 ,0.040 ,13.68 ,0.007 ,0.261 ,0.04 ,0.26 ,0.058 ,0.592
162,E002,"Apple, green (Malus domestica)",6,0,0,0,6.53,0.002,0,0.33,0.20,0,0
163,E003,"Apple, small (Malus domestica )",6,0.08,0.19,0,5.39,0.005,0,0.06,0.25,0.002,0.001
164,E004,"Apple, small, Kashmir (Malus domestica)",1,0.11,0,0,4.72,0.007,0,0.06,0.21,0.002,0.001
165,E005,"Apricot, dried (Prunus armeniaca)",6,2.11,0.88,0,28.57,0.016,0.002,0.43,2.50,0.008,0.002
166,E006,"Apricot, processed (Prunus armeniaca)",3,0.80,0.26,0,5.42,0.006,0.003,0.42,1.12,0.002,0
167,E007,Avocado fruit (Persea americana),1,0,0,0,28.48,0.002,0,0.39,0.81,0,0
168,E008,Bael fruit (Aegle marmelos),1,0.11,0.65,0.027,47.95,0.002,0.419,0.15,0.23,0.077,2.446
169,E009,"Banana, ripe, montham (Musa x paradisiaca)",1,0,0,0,6.77,0.017,0,0.12,0.4,0.002,0
170,E010,"Banana, ripe, poovam (Musa x paradisiaca)",2,0,0,0,8.73,0.01,0,0.1,0.35,0.001,0.001
171,E011,"Banana, ripe, red (Musa x paradisiaca)",1,0,0,0,9.56,0.008,0,0.06,0.24,0.001,0.001
172,E012,"Banana, ripe, robusta (Musa x paradisiaca)",6,0,0,0,5.07,0.007,0,0.13,0.28,0.001,0.001
173,E013,Black berry (Rubus fruticosus),5,0,0,0,23.81,0,0,0.05,0.63,0,0.002
174,E014,"Cherries, red (Prunus cerasus)",4,0.37,0,0,23.88,0.010,0,0.07,0.36,0,0
175,E015,"Currants, black (Ribes nigrum)",1,0.5,0,0.001,40.32,0.031,0,0.08,1.36,0,0
176,E016,Custard apple (Annona squamosa),1,0,0,0,28.2,0.003,0,0.19,0.42,0,0
