,code,name,regn,mg,mn,hg,mo,ni,p,k,se,na,zn
0,A001,"Amaranth seed, black (Amaranthus cruentus)",1,325,5.29,0,0.016,0.345,374,433,16.46,2.7,2.66
1,A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,270,4.44,0,0.049,0.048,412,413,21.41,2.81,2.52
2,A003,Bajra (Pennisetum typhoideum),6,124,1.12,0.77,0.050,0.056,289,365,30.40,4.11,2.76
3,A004,Barley (Hordeum vulgare),6,48.97,1.24,1.84,0.032,0,178,268,18.61,7.56,1.50
4,A005,Jowar (Sorghum vulgare),6,133,1.19,2.62,0.042,0.059,274,328,26.29,5.42,1.96
5,A006,"Maize, dry (Zea mays)",6,145,0.71,3.19,0.035,0.035,279,291,8.69,4.44,2.27
6,A007,"Maize, tender, local (Zea mays)",6,47.62,0.36,0,0.009,0.016,163,167,3.83,2.24,0.97
7,A008,"Maize, tender, sweet (Zea mays)",4,36.51,0.32,0,0.006,0.009,121,297,2.17,2.23,0.77
8,A009,Quinoa(Chenopodium quinoa),1,119,1.77,0,0,0.004,212,474,7.81,4.5,3.31
9,A010,Ragi (Eleusine coracana),5,146,3.19,3.96,0.011,0.078,210,443,15.30,4.75,2.53
10,A011,Rice flakes (Oryza sativa ),6,77.92,0.89,0,0.049,0.043,195,148,0,2.58,1.49
11,A012,Rice puffed (Oryza sativa ),6,64.59,0.91,0,0.034,0.048,152,140,0,3.69,1.45
12,A013,"Rice, raw, brown (Oryza sativa )",6,93.91,1.70,0,0.053,0.038,267,199,2.26,3.64,1.68
13,A014,"Rice, parboiled, milled (Oryza sativa )",6,26.72,0.79,0,0.055,0.027,140,142,1.19,3.16,1.08
14,A015,"Rice, raw, milled (Oryza sativa )",6,19.30,0.73,0,0.056,0.022,96,108,1.01,2.34,1.21
15,A016,Samai (Panicum miliare),6,91.41,0.23,0,0.020,0.086,130,105,40.41,4.77,1.82
16,A017,Varagu (Setaria italica),5,122,0.33,0.74,0.020,0.074,101,94,14.12,3.35,1.65
17,A018,"Wheat flour, refined (Triticum aestivum)",6,30.69,0.63,0,0.013,0.005,110,148,0,1.54,0.88
18,A019,"Wheat flour, atta (Triticum aestivum)",6,125,2.98,0,0.022,0.021,315,311,53.12,2.04,2.85
19,A020,"Wheat, whole (Triticum aestivum)",6,125,3.19,0,0.073,0.014,315,366,47.76,2.50,2.85
20,A021,"Wheat, bulgur (Triticum aestivum)",6,116,1.95,2.01,0.029,0.018,245,330,10.54,2.09,1.97
21,A022,"Wheat, semolina (Triticum aestivum)",6,37.89,1.98,2.67,0.018,0.008,119,284,10.93,2.31,2.13
22,A023,"Wheat, vermicelli (Triticum aestivum)",6,34.18,0.67,0,0.031,0.008,99,163,15.33,2.71,0.83
23,A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,39.03,0.75,0,0.019,0.010,107,177,14.29,3.43,0.88
24,B001,"Bengal gram, dal (Cicer arietinum)",6,118,1.68,1.78,0.047,0.141,325,957,50.97,20.83,3.65
25,B002,"Bengal gram, whole (Cicer arietinum)",6,160,2.71,1.77,0.064,0.081,267,935,41.23,26.56,3.37
26,B003,"Black gram, dal (Phaseolus mungo)",6,173,1.46,2.11,0.054,0.249,375,1157,23.99,18.88,3.00
27,B004,"Black gram, whole (Phaseolus mungo)",6,190,1.83,2.43,0.099,0.241,345,1093,27.98,26.80,3.05
28,B005,"Cowpea, brown (Vigna catjang)",6,213,1.51,0,0.108,0.233,372,1241,23.95,13.68,3.41
29,B006,"Cowpea, white (Vigna catjang)",1,213,1.35,0,0.226,0.228,378,1243,26.55,12.52,3.57
30,B007,"Field bean, black (Phaseolus vulgaris)",1,197,2.38,0,0.073,0.184,457,1272,32.55,1.35,2.42
31,B008,"Field bean, brown (Phaseolus vulgaris)",1,173,2.38,0,0.057,0.283,429,1245,22.82,1.41,2.44
32,B009,"Field bean, white (Phaseolus vulgaris)",5,190,2.41,0,0.034,0.261,448,1360,21.52,1.70,2.80
33,B010,"Green gram, dal (Phaseolus aureus)",6,155,0.98,2.03,0.162,0.129,416,1268,50.14,10.14,2.49
34,B011,"Green gram, whole (Phaseolus aureus)",6,198,1.05,2.96,0.174,0.103,353,1177,23.32,12.48,2.67
35,B012,"Horse gram, whole (Dolicus biflorus)",6,152,3.13,6.72,0.124,0.273,298,1065,29.49,12.14,2.71
36,B013,Lentil dal (Lens culinaris),6,74.69,1.16,0.34,0.079,0.101,310,786,49.50,10.27,3.61
37,B014,"Lentil whole, brown (Lens culinaris)",6,101,1.55,2.08,0.076,0.201,274,756,33.14,11.20,3.60
38,B015,"Lentil whole, yellowish (Lens culinaris)",2,86.38,1.56,1.62,0.299,0.145,261,764,56.28,10.87,3.31
39,B016,Moth bean (Vigna aconitifolia),6,205,1.07,0,0.059,0.180,362,1356,18.82,26.34,1.92
40,B017,"Peas, dry (Pisum sativum)",6,123,1.08,1.83,0.113,0.111,334,922,50.07,23.40,3.10
41,B018,"Rajmah, black (Phaseolus vulgaris)",2,160,1.19,0,0.034,0.283,386,1362,18.65,9.4,3.08
42,B019,"Rajmah, brown (Phaseolus vulgaris)",6,164,1.19,1.48,0.081,0.287,396,1366,12.70,10.47,2.60
43,B020,"Rajmah, red (Phaseolus vulgaris)",3,173,1.24,0,0.054,0.203,409,1324,22.45,10.45,2.69
44,B021,"Red gram, dal (Cajanus cajan)",6,119,1.12,1.56,0.131,0.198,328,1395,14.36,18.01,2.63
45,B022,"Red gram, whole (Cajanus cajan)",6,155,1.34,2.22,0.087,0.161,312,1303,15.41,19.03,2.99
46,B023,Ricebean (Vigna umbellata ),1,201,1.68,0,0,0,270,1196,0,10.62,2.29
47,B024,"Soya bean, brown (Glycine max)",6,259,2.69,1.15,0.157,0.154,483,1613,19.00,2.07,4.01
48,B025,"Soya bean, white (Glycine max)",1,189,2.27,0,0.156,0.169,494,1634,16.85,2.83,3.47
49,C001,Agathi leaves (Sesbania grandiflora),1,96.64,1.24,0.41,0.003,0.068,52.52,674,30.7,18.12,0.53
50,C002,"Amaranth leaves, green (Amaranthus gangeticus)",6,194,1.24,0,0.024,0.017,73.22,572,20.97,16.08,0.86
51,C003,"Amaranth leaves, red (Amaranthus gangeticus)",1,177,2.15,0,0.013,0.026,75.98,564,22.55,14.58,1.37
52,C004,"Amaranth leaves, red and green (Amaranthus gangeticus)",4,146,1.43,0,0.010,0.030,68.23,597,21.62,17.55,1.03
53,C005,"Amaranth spinosus, leaves, green (Amaranthus spinosus)",4,202,1.07,0,0.032,0.024,72.46,569,28.97,15.66,1.57
54,C006,"Amaranth spinosus, leaves, red and green (Amaranthus spinosus)",2,187,1.84,0,0.021,0.02,85.02,588,19.41,16.27,1.11
55,C007,Basella leaves (Basella alba),2,153,1.29,0,0.006,0.044,37.26,337,6.17,18.74,0.39
56,C008,Bathua leaves (Chenopodium album),2,48.41,1.58,0.18,0.003,0.008,37.55,438,1.4,10.75,0.98
57,C009,Beet greens (Beta vulgaris),6,120,1.16,0.26,0.036,0.02,36.02,530,47.75,111,0.16
58,C010,"Betel leaves, big (kolkata) (Piper betle)",6,107,2.57,0.21,0.004,0.050,51.73,649,12.15,16.80,0.47
59,C011,"Betel leaves, small (Piper betle)",4,89.94,1.79,0,0.002,0.043,55.72,678,5.40,14.04,0.39
60,C012,Brussels sprouts (Brassica oleracea var. gemmifera),1,32.99,0.41,0.06,0.013,0.012,98.56,639,2.01,18.51,0.57
61,C013,"Cabbage, Chinese (Brassica rupa)",1,11.51,0.19,0,0,0,33.05,258,1.85,20.28,0.19
62,C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",1,45.9,1.27,0,0.004,0.03,54.67,292,2.35,22.98,0.35
63,C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",6,17.99,0.20,0,0.002,0.009,30.15,233,1.08,14.98,0.16
64,C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",2,26.87,0.19,0,0.002,0.004,22.14,201,1.08,24,0.13
65,C017,Cauliflower leaves (Brassica oleracea var. botrytis),6,41.50,0.50,0,0.006,0.013,62.82,374,1.05,24.31,0.31
66,C018,"Colocasia leaves, green (Colocasia anti-quorum)",6,59.44,1.30,0.25,0.015,0.026,57.88,404,4.30,12.08,0.82
67,C019,Drumstick leaves (Moringa oleifera),3,97.09,1.26,0,0.036,0.024,109,397,5.95,9.34,0.72
68,C020,Fenugreek leaves (Trigonella foenum graecum),5,63.67,0.84,0,0.017,0.034,53.05,226,1.29,47.01,0.54
69,C021,Garden cress (Lepidium sativum),2,79.24,1.2,0.34,0.005,0.042,45.55,379,8.08,25.35,1.52
70,C022,"Gogu leaves, green (Hibiscus cannabinus)",4,83.09,2.03,0,0.012,0.050,41.99,260,2.38,12.34,0.65
71,C023,"Gogu leaves, red (Hibiscus cannabinus)",1,75.75,1.75,0,0.01,0.05,36.38,161,3.25,14.08,0.63
72,C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",2,66,0.7,0.29,0.105,0.018,55.02,309,10.5,26.8,0.42
73,C025,Lettuce (Lactuca sativa),3,43.22,0.38,0.08,0.004,0.010,44.10,279,5.56,17.53,0.51
74,C026,Mustard leaves (Brassica juncea),3,51.63,0.41,0,0.010,0.015,71.62,403,8.03,19.14,0.68
75,C027,Pak Choi leaves(Brassica rapa var. Chinensis),1,45.28,0.36,0.08,0.02,0.024,25.95,250,0.79,33.73,0.16
