,code,name,regn,cho,starch,frus,glus,sucs,mals,fsugar,lactose
0,A001,"Amaranth seed, black (Amaranthus cruentus)",1,56.71,55.83,0.1,0.22,0.46,0.1,0.88,0
1,A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,60.13,59.33,0.10,0.22,0.48,0,0.80,0
2,A003,Bajra (Pennisetum typhoideum),6,56.02,55.21,0.21,0.60,0,0,0.81,0
3,A004,Barley (Hordeum vulgare),6,72.73,72.67,0,0.06,0,0,0.06,0
4,A005,Jowar (Sorghum vulgare),6,60.96,59.70,0.57,0.10,0.60,0,1.27,0
5,A006,"Maize, dry (Zea mays)",6,61.01,59.35,0.16,0.80,0.70,0,1.66,0
6,A007,"Maize, tender, local (Zea mays)",6,17.35,15.88,0.27,0.80,0.40,0,1.47,0
7,A008,"Maize, tender, sweet (Zea mays)",4,12.11,7.45,0.91,0.97,2.79,0,4.67,0
8,A009,Quinoa (Chenopodium quinoa),1,49.82,48.41,0,1.41,0,0,1.41,0
9,A010,Ragi (Eleusine coracana),5,62.47,62.13,0,0.25,0.12,0,0.34,0
10,A011,Rice flakes (Oryza sativa ),6,68.40,68.06,0,0.20,0.14,0,0.34,0
11,A012,Rice puffed (Oryza sativa ),6,69.89,69.25,0,0.49,0.15,0,0.64,0
12,A013,"Rice, raw, brown (Oryza sativa )",6,72.00,71.31,0,0.55,0.14,0,0.69,0
13,A014,"Rice, parboiled, milled (Oryza sativa )",6,76.80,76.14,0,0.51,0.16,0,0.67,0
14,A015,"Rice, raw, milled (Oryza sativa )",6,76.39,75.70,0,0.54,0.15,0,0.69,0
15,A016,Samai (Panicum miliare),6,56.43,56.07,0,0.24,0.13,0,0.37,0
16,A017,Varagu (Setaria italica),5,66.25,64.96,0,0.89,0.40,0,1.29,0
17,A018,"Wheat flour, refined (Triticum aestivum)",6,71.82,70.03,0.64,0.75,0.40,0,1.79,0
18,A019,"Wheat flour, atta (Triticum aestivum)",6,58.62,56.82,0.72,0.78,0.30,0,1.80,0
19,A020,"Wheat, whole (Triticum aestivum)",6,59.30,57.53,0.74,0.73,0.30,0,1.77,0
20,A021,"Wheat, bulgur (Triticum aestivum)",6,61.74,60.54,0.32,0.55,0.33,0,1.20,0
21,A022,"Wheat, semolina (Triticum aestivum)",6,59.85,58.20,0.60,0.55,0.50,0,1.65,0
22,A023,"Wheat, vermicelli (Triticum aestivum)",6,56.99,55.31,0.60,0.58,0.50,0,1.68,0
23,A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,56.69,54.55,0.63,1.01,0.50,0,2.14,0
24,B001,"Bengal gram, dal (Cicer arietinum)",6,41.52,40.49,0.10,0.10,0.63,0.20,1.03,0
25,B002,"Bengal gram, whole (Cicer arietinum)",6,36.68,35.69,0.10,0.10,0.69,0.10,0.99,0
26,B003,"Black gram, dal (Phaseolus mungo)",6,48.73,47.89,0.20,0.20,0.44,0,0.84,0
27,B004,"Black gram, whole (Phaseolus mungo)",6,42.64,42.19,0.10,0.10,0.30,0,0.45,0
28,B005,"Cowpea, brown (Vigna catjang)",6,47.09,45.49,0.30,0.61,0.68,0,1.60,0
29,B006,"Cowpea, white (Vigna catjang)",1,47.51,46.33,0.13,0.39,0.67,0,1.18,0
30,B007,"Field bean, black (Phaseolus vulgaris)",1,41.22,40.07,0.2,0.53,0.42,0,1.15,0
31,B008,"Field bean, brown (Phaseolus vulgaris)",1,43.47,42.3,0.2,0.29,0.68,0,1.17,0
32,B009,"Field bean, white (Phaseolus vulgaris)",5,44.32,42.25,0.10,0.41,0.56,0,1.07,0
33,B010,"Green gram, dal (Phaseolus aureus)",6,42.01,41.06,0.10,0.30,0.55,0,0.95,0
34,B011,"Green gram, whole (Phaseolus aureus)",6,39.75,39.21,0.10,0.14,0.30,0,0.54,0
35,B012,"Horse gram, whole (Dolicus biflorus)",6,48.31,47.96,0.10,0.15,0.10,0,0.35,0
36,B013,Lentil dal (Lens culinaris),6,46.39,44.44,0.80,0.30,0.85,0,1.95,0
37,B014,"Lentil whole, brown (Lens culinaris)",6,43.03,41.41,0.78,0.15,0.71,0,1.63,0
38,B015,"Lentil whole, yellowish (Lens culinaris)",2,43.58,42.08,0.5,0.23,0.77,0,1.5,0
39,B016,Moth bean (Vigna aconitifolia),6,48.00,46.64,0.10,0.62,0.64,0,1.36,0
40,B017,"Peas, dry (Pisum sativum)",6,45.07,43.04,0.61,0.48,0.94,0,2.03,0
41,B018,"Rajmah, black (Phaseolus vulgaris)",2,40.46,38.45,0,0.18,1.84,0,2.02,0
42,B019,"Rajmah, brown (Phaseolus vulgaris)",6,40.32,38.05,0,0.39,1.88,0,2.27,0
43,B020,"Rajmah, red (Phaseolus vulgaris)",3,40.07,38.55,0,0.23,1.29,0,1.52,0
44,B021,"Red gram, dal (Cajanus cajan)",6,50.60,48.53,0.10,0.20,1.78,0,2.08,0
45,B022,"Red gram, whole (Cajanus cajan)",6,40.27,38.97,0.10,0.20,1.00,0,1.30,0
46,B023,Ricebean (Vigna umbellata ),1,45.38,44.05,0.2,0.73,0.4,0,1.33,0
47,B024,"Soya bean, brown (Glycine max)",6,9.16,6.65,0.20,0.63,1.68,0,2.51,0
48,B025,"Soya bean, white (Glycine max)",1,9.46,7.26,0.2,0.56,1.44,0,2.2,0
49,C001,Agathi leaves (Sesbania grandiflora),1,3.95,3.72,0.1,0.1,0.03,0,0.23,0
50,C002,"Amaranth leaves, green (Amaranthus gangeticus)",6,1.02,0.70,0.09,0.19,0.04,0,0.32,0
51,C003,"Amaranth leaves, red (Amaranthus gangeticus)",1,1.05,0.77,0.24,0.04,0,0,0.28,0
52,C004,"Amaranth leaves, red and green (Amaranthus gangeticus)",4,1.10,0.95,0.03,0.12,0,0,0.15,0
53,C005,"Amaranth spinosus, leaves, green (Amaranthus spinosus)",4,0.83,0.69,0.01,0.13,0,0,0.14,0
54,C006,"Amaranth spinosus, leaves, red and green (Amaranthus spinosus)",2,0.86,0.73,0.01,0.12,0,0,0.13,0
55,C007,Basella leaves (Basella alba),2,1.69,1.67,0.01,0.01,0.01,0,0.02,0
56,C008,Bathua leaves (Chenopodium album),2,1.59,1.07,0.01,0.51,0,0,0.52,0
57,C009,Beet greens (Beta vulgaris),6,2.18,2.05,0.03,0.10,0,0,0.13,0
58,C010,"Betel leaves, big (kolkata) (Piper betle)",6,6.61,6.24,0.20,0.17,0,0,0.37,0
59,C011,"Betel leaves, small (Piper betle)",4,5.54,5.14,0.20,0.20,0,0,0.40,0
60,C012,Brussels sprouts (Brassica oleracea var. gemmifera),1,4.42,4.31,0.04,0.05,0.08,0,0.17,0
61,C013,"Cabbage, Chinese (Brassica rupa)",1,1.42,1,0.2,0.1,0.12,0,0.42,0
62,C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",1,2.35,1.59,0.41,0.24,0.11,0,0.76,0
63,C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",6,1.54,0.53,0.52,0.26,0.23,0,1.00,0
64,C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",2,1.33,0.54,0.43,0.18,0.19,0,0.8,0
65,C017,Cauliflower leaves (Brassica oleracea var. botrytis),6,2.15,1.53,0.32,0.24,0.05,0,0.61,0
66,C018,"Colocasia leaves, green (Colocasia anti-quorum)",6,2.72,2.10,0.20,0.10,0.33,0,0.63,0
67,C019,Drumstick leaves (Moringa oleifera),3,2.51,2.49,0,0.02,0,0,0.02,0
68,C020,Fenugreek leaves (Trigonella foenum graecum),5,1.48,0.60,0.71,0.17,0,0,0.88,0
69,C021,Garden cress (Lepidium sativum),2,2.17,1.25,0.1,0.72,0.1,0,0.92,0
70,C022,"Gogu leaves, green (Hibiscus cannabinus)",4,1.16,1.15,0,0.01,0,0,0.01,0
71,C023,"Gogu leaves, red (Hibiscus cannabinus)",1,1.17,1.16,0,0.01,0,0,0.01,0
72,C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",2,4.57,4.47,0,0.05,0.05,0,0.1,0
73,C025,Lettuce (Lactuca sativa),3,1.72,1.50,0.17,0.05,0,0,0.22,0
74,C026,Mustard leaves (Brassica juncea),3,1.45,1.41,0,0.02,0.02,0,0.04,0
75,C027,Pak Choi leaves (Brassica rapa var. Chinensis),1,1.62,1.1,0.1,0.2,0.22,0,0.52,0
76,C028,Parsley (Petroselinum crispum),3,7.05,6.36,0.29,0.20,0.20,0,0.69,0
77,C029,Ponnaganni (Alternanthera sessilis),2,4.1,3.66,0.11,0.33,0,0,0.44,0
78,C030,"Pumpkin leaves, tender (Cucurbita maxima)",6,2.20,2.10,0,0.10,0,0,0.10,0
79,C031,Radish leaves (Raphanus sativus),6,2.09,1.80,0.14,0.05,0.10,0,0.29,0
80,C032,Rumex leaves (Rumex patientia ),2,1.55,1.1,0.11,0.21,0.14,0,0.45,0
81,C033,Spinach (Spinacia oleracea),6,1.62,1.38,0.07,0.18,0,0,0.24,0
82,C034,"Tamarind leaves, tender (Tamarindus indica)",3,7.01,6.85,0.05,0.12,0,0,0.17,0
83,D001 ,Ash gourd (Benincasa hispida) ,6,1.20 ,1.01 ,0.12 ,0.05 ,0.02 ,0,0.19,0
84,D002,"Bamboo shoot, tender (Bambusa vulgaris)",1,0.6,0.51,0.07,0.02,0,0,0.09,0
