,code,name,regn,f10d0,f12d0,f14d0,f16d0,f18d0,f20d0,f22d0,f24d0,f14d1,f16d1c,f18d1cn9
0,A001,"Amaranth seed, black (Amaranthus cruentus)",1,0,0,15.64,1043,155,38,16.07,12.14,0,0,1020
1,A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,0,0,10.68,891,172,36.02,15.61,13.51,0,0,1030
2,A003,Bajra (Pennisetum typhoideum),6,0,0,0,729,128,18.21,0,0,0,6.97,1040
3,A004,Barley (Hordeum vulgare),6,0,0,0,209,23.35,0,0,0,0,0,90.79
4,A005,Jowar (Sorghum vulgare),6,0,0,0,149,14.22,0,0,0,0,0,314
5,A006,"Maize, dry (Zea mays)",6,0,0,0,363,42.45,7.14,0,0,0,0,700
6,A007,"Maize, tender, local (Zea mays)",6,0,0,0,96.13,10.88,2.37,0,0,0,0,145
7,A008,"Maize, tender, sweet (Zea mays)",4,0,0,0,106,14.36,2.95,0,0,0,0,174
8,A009,Quinoa(Chenopodium quinoa),1,0,0,82.76,434,52.88,0,0,0,44.41,56.79,1323
9,A010,Ragi (Eleusine coracana),5,0,0,0,290,27.86,0,0,0,0,0,585
10,A011,Rice flakes (Oryza sativa ),6,0,0,0,261,23.68,0,0,0,0,0,425
11,A012,Rice puffed (Oryza sativa ),6,0,0,0,43.29,3.55,0,0,0,0,0,39.77
12,A013,"Rice, raw, brown (Oryza sativa )",6,1.39,0,30.42,273,33.01,3.09,1.98,2.49,0,2.77,197
13,A014,"Rice, parboiled, milled (Oryza sativa )",6,0.63,0,13.22,120,13.83,1.31,0.91,0.93,0,1.19,84.09
14,A015,"Rice, raw, milled (Oryza sativa )",6,0.85,0,13.19,143,14.50,1.46,1.98,1.14,0,1.49,109
15,A016,Samai (Panicum miliare),6,0,0,0,487,102,0,0,0,0,0,868
16,A017,Varagu (Setaria italica),5,0,0,0,211,28.40,3.84,2.22,0,0,3.21,291
17,A018,"Wheat flour, refined (Triticum aestivum)",6,0,0,0,91.24,7.31,0,0,0,0,0,50.64
18,A019,"Wheat flour, atta (Triticum aestivum)",6,0,0,0,191,14.55,0,0,0,0,0,149
19,A020,"Wheat, whole (Triticum aestivum)",6,0,0,0,176,14.83,0,0,0,0,0,141
20,A021,"Wheat, bulgur (Triticum aestivum)",6,0,0,0,179,17.41,0,0,0,0,0,152
21,A022,"Wheat, semolina (Triticum aestivum)",6,0,0,0,81.63,7.24,0,0,0,0,0,67.34
22,A023,"Wheat, vermicelli (Triticum aestivum)",6,0,0,0,59.43,5.15,0,0,0,0,0,36.06
23,A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,0,0,0,46.97,2.98,0,0,0,0,0,28.84
24,B001 ,"Bengal gram, dal (Cicer arietinum) ",6,0,0,0,405 ,51.90 ,11.55 ,0,0,0,7.89 ,855
25,B002,"Bengal gram, whole (Cicer arietinum)",6,0,0,0,382,58.02,13.29,0,0,0,7.87,871
26,B003,"Black gram, dal (Phaseolus mungo)",6,0,0,0,221,54.60,0,0,0,0,0,186
27,B004,"Black gram, whole (Phaseolus mungo)",6,0,0,0,211,47.37,0,0,0,0,0,161
28,B005,"Cowpea, brown (Vigna catjang)",6,0,0,0,227,33.10,6.84,11.52,4.43,0,0,57.69
29,B006,"Cowpea, white (Vigna catjang)",1,0,0,0,228,34.43,6.34,12.19,4.05,0,0,67.63
30,B007,"Field bean, black (Phaseolus vulgaris)",1,0,0,0,142,36.97,3.33,2.61,2.68,0,0,80.07
31,B008,"Field bean, brown (Phaseolus vulgaris)",1,0,0,0,149,39.16,3.66,3.01,3.04,0,0,127
32,B009,"Field bean, white (Phaseolus vulgaris)",5,0,0,0,142,37.22,2.81,2.31,1.92,0,0,61.57
33,B010,"Green gram, dal (Phaseolus aureus)",6,0,0,0,208,39.24,0,0,0,0,0,35.85
34,B011,"Green gram, whole (Phaseolus aureus)",6,0,0,0,233,41.32,0,0,0,0,0,27.22
35,B012,"Horse gram, whole (Dolicus biflorus)",6,0,0,0,114,13.59,0,4.45,2.65,0,0,68.89
36,B013,Lentil dal (Lens culinaris),6,0,0,0,79.74,11.28,0,0,0,0,0,112
37,B014,"Lentil whole, brown (Lens culinaris)",6,0,0,0,70.01,11.20,0,0,0,0,0,102
38,B015,"Lentil whole, yellowish (Lens culinaris)",2,0,0,0,66.76,9.41,0,0,0,0,0,92.18
39,B016,Moth bean (Vigna aconitifolia),6,0,0,0,320,97.75,7.94,4.79,2.83,0,0,72.25
40,B017,"Peas, dry (Pisum sativum)",6,0,0,0,193,48.50,0,0,0,0,0,398
41,B018,"Rajmah, black (Phaseolus vulgaris)",2,0,0,0,216,21.97,0,0,0,0,0,105
42,B019,"Rajmah, brown (Phaseolus vulgaris)",6,0,0,0,215,26.74,0,0,0,0,0,91.76
43,B020,"Rajmah, red (Phaseolus vulgaris)",3,0,0,0,225,30.51,0,0,0,0,0,87.84
44,B021,"Red gram, dal (Cajanus cajan)",6,0,0,0,222,35.22,0,0,0,0,0,89.94
45,B022,"Red gram, whole (Cajanus cajan)",6,0,0,0,236,40.95,0,0,0,0,0,78.55
46,B023,Ricebean (Vigna umbellata ),1,0,0,0,50.69,14.81,17.97,28.06,18.26,0,0,357
47,B024,"Soya bean, brown (Glycine max)",6,0,0,0,2381,566,47.10,67.89,29.84,0,22.79,4499
48,B025,"Soya bean, white (Glycine max)",1,0,0,0,2338,523.44,43.3,65.49,30.95,0,25.35,4723
49,C001,Agathi leaves (Sesbania grandiflora),1,0,0,0,346,74.53,23.95,24.96,20.61,0,16.91,40.76
50,C002,"Amaranth leaves, green (Amaranthus gangeticus)",6,0,0,18.47,143,16.15,2.57,4.74,9.09,0,16.05,31.26
51,C003,"Amaranth leaves, red (Amaranthus gangeticus)",1,0,0,20.33,159,17.75,2.24,3.99,7.01,0,14.48,31.48
52,C004,"Amaranth leaves, red and green (Amaranthus gangeticus)",4,0,0,18.37,144,19.16,2.83,5.03,7.93,0,12.28,32.72
53,C005,"Amaranth spinosus, leaves, green (Amaranthus spinosus)",4,0,0,8.28,63.62,6.89,0.85,2.22,3.27,0,7.88,7.79
54,C006,"Amaranth spinosus, leaves, red and green (Amaranthus spinosus)",2,0,0,9.54,64.58,6.35,0.7,1.61,3.19,0,9.5,7.36
55,C007,Basella leaves (Basella alba),2,0,0,0,89.46,11.97,0,0,0,0,12.32,38.96
56,C008,Bathua leaves (Chenopodium album),2,0,0,1.87,96.94,7.52,3.51,7.48,2.74,0,8.61,0
57,C009,Beet greens (Beta vulgaris),6,0,0,5.11,160,11.83,0,5.65,5.17,0,7.13,72.38
58,C010,"Betel leaves, big (kolkata) (Piper betle)",6,0,0,24.45,175,39.33,0,5.21,6.02,0,21.36,72.07
59,C011,"Betel leaves, small (Piper betle)",4,0,0,14.65,177,37.34,0,4.15,5.07,0,17.93,64.74
60,C012,Brussels sprouts (Brassica oleracea var. gemmifera),1,0,0,0,187,39.75,0,0,0,0,0,88.69
61,C013,"Cabbage, Chinese (Brassica rupa)",1,0,0,0,29.26,3.76,0,0,0,0,0,15.97
62,C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",1,0,0,0,47.57,7.61,2.19,1.77,2.73,0,0,37.19
63,C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",6,0,0,0,34.59,6.02,2.29,1.60,2.05,0,0,30.05
64,C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",2,0,0,0,42.43,7.59,3.24,1.99,3.17,0,0,41.14
65,C017,Cauliflower leaves (Brassica oleracea var. botrytis),6,0,0,2.76,85.30,14.28,3.92,3.31,5.33,0,0,20.80
66,C018,"Colocasia leaves, green (Colocasia anti-quorum)",6,0,0,0,334,52.40,17.92,14.16,7.55,0,17.24,30.39
67,C019,Drumstick leaves (Moringa oleifera),3,0,0,44.09,370,69.53,0,32.64,43.59,0,0,102
68,C020,Fenugreek leaves (Trigonella foenum graecum),5,0,0,22.49,130,30.27,6.85,4.44,4.67,0,9.09,11.06
69,C021,Garden cress (Lepidium sativum),2,0,0,0,23.82,2.32,0.49,1.28,0.76,0,0.93,7.3
70,C022,"Gogu leaves, green (Hibiscus cannabinus)",4,0,0,25.70,170,27.48,6.90,7.41,6.86,0,16.63,21.97
71,C023,"Gogu leaves, red (Hibiscus cannabinus)",1,0,0,27.56,173,22.69,6.81,7.64,5.8,0,18.49,26.39
72,C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",2,0,0,0,67.77,32.78,2.48,1.42,2.39,0,5.84,13.07
73,C025,Lettuce (Lactuca sativa),3,0,0,8.22,78.22,10.96,0,8.47,10.15,0,9.05,13.16
74,C026,Mustard leaves (Brassica juncea),3,0,0,12.60,110,17.09,0,2.35,0,0,16.25,11.31
75,C027,Pak Choi leaves(Brassica rapa var. Chinensis),1,0,1.53,2.18,33.69,1.58,0,0,0,0,0,23.03
76,C028,Parsley (Petroselinum crispum),3,0,0,15.18,235,58.05,6.04,13.80,16.67,0,14.42,18.52
77,C029,Ponnaganni (Alternanthera sessilis),2,0,0,0,148,17.43,2.93,8.73,27.61,0,9.77,23.61
78,C030,"Pumpkin leaves, tender (Cucurbita maxima)",6,0,0,19.86,188,32.53,5.74,13.53,6.74,0,9.79,6.91
79,C031,Radish leaves (Raphanus sativus),6,0,0,9.62,110,27.54,0,0,0,0,8.05,18.88
80,C032,Rumex leaves (Rumex patientia),2,0,0,6.95,49.83,4.14,0,0,0,0,6.95,11.73
81,C033,Spinach (Spinacia oleracea),6,0,0,17.01,147,9.54,1.29,4.13,3.99,0,8.77,32.87
82,C034,"Tamarind leaves, tender (Tamarindus indica)",3,0,0,16.14,150,0,1.20,4.08,4.27,0,9.29,33.01
83,D001 ,Ash gourd (Benincasa hispida) ,6,0,0,0.81 ,17.99 ,5.90 ,0.55 ,0,0,0,0.86 ,6.57
