,code,name,regn,f20d1n9f,f22d1n9,f24d1c,f18d2cn6,f20d2,f18d3n3,f20d4n6,fasat,fams,fapu
0,A001,"Amaranth seed, black (Amaranthus cruentus)",1,12.62,0,0,2259,0,20.91,0,1280,1033,2279
1,A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,12.71,0,0,2223,0,43.03,0,1140,1043,2266
2,A003,Bajra (Pennisetum typhoideum),6,0,0,0,1844,0,140,0,875,1047,1984
3,A004,Barley (Hordeum vulgare),6,0,0,0,549,0,26.32,0,232,90.79,575
4,A005,Jowar (Sorghum vulgare),6,0,0,0,508,0,16.54,0,163,314,524
5,A006,"Maize, dry (Zea mays)",6,6.62,0,0,1565,0,40.76,0,413,706,1606
6,A007,"Maize, tender, local (Zea mays)",6,1.85,0,0,337,0,10.46,0,109,147,347
7,A008,"Maize, tender, sweet (Zea mays)",4,2.05,0,0,292,0,7.65,0,123,176,300
8,A009,Quinoa (Chenopodium quinoa),1,0,0,0,2203,0,204,0,570,1424,2406
9,A010,Ragi (Eleusine coracana),5,0,0,0,362,0,68.58,0,317,585,431
10,A011,Rice flakes (Oryza sativa ),6,0,0,0,553,0,24.37,0,284,425,577
11,A012,Rice puffed (Oryza sativa ),6,0,0,0,43.42,0,1.39,0,46.84,39.77,44.80
12,A013,"Rice, raw, brown (Oryza sativa )",6,1.89,0,0.89,490,0,16.10,0,346,203,506
13,A014,"Rice, parboiled, milled (Oryza sativa )",6,0.89,0,0.49,209,0,7.18,0,150,86.66,216
14,A015,"Rice, raw, milled (Oryza sativa )",6,1.54,0,0.75,234,0,9.51,0,184,117,253
15,A016,Samai (Panicum miliare),6,0,0,0,1230,0,47.20,0,589,868,1277
16,A017,Varagu (Setaria italica),5,2.75,0,0,576,0,21.02,0,246,297,597
17,A018,"Wheat flour, refined (Triticum aestivum)",6,0,0,0,325,0,17.45,0,98.55,50.64,343
18,A019,"Wheat flour, atta (Triticum aestivum)",6,0,0,0,697,0,44.93,0,206,149,742
19,A020,"Wheat, whole (Triticum aestivum)",6,0,0,0,616,0,38.51,0,191,141,654
20,A021,"Wheat, bulgur (Triticum aestivum)",6,0,0,0,657,0,42.69,0,196,152,700
21,A022,"Wheat, semolina (Triticum aestivum)",6,0,0,0,306,0,19.21,0,88.87,67.34,325
22,A023,"Wheat, vermicelli (Triticum aestivum)",6,0,0,0,209,0,11.26,0,64.59,36.06,220
