,code,name,regn,f11d0,f12d0,f14d0,f15d0,f16d0,f18d0,f20d0,f22d0,f24d0
0,M001,"Egg, poultry, whole, raw",6,0.0,0,35.05,0.0,2167,596,10.22,137,11.99
1,M002,"Egg, poultry, white, raw",6,0.0,0,0,0.0,0,0,0,0,0
2,M003,"Egg, poultry, yolk, raw",6,0.0,0,95.82,0.0,6236,1797,30.51,385,36.31
3,M004,"Egg, poultry, whole, boiled",6,0.0,0,40.12,0.0,2524,713,13.50,157,16.48
4,M005,"Egg, poultry, white, boiled",6,0.0,0,0,0.0,0,0,0,0,0
5,M006,"Egg, poultry, yolk, boiled",6,0.0,0,105,0.0,6448,1800,30.23,401,34.76
6,M007,"Egg, poultry, omlet",3,0.0,0,39.43,0.0,2335,653,10.40,126,14.05
7,M008,"Egg, country hen, whole, raw",1,0.0,0,35.26,0.0,2730,1020,6.51,0,0
8,M009,"Egg, country hen, whole, boiled",1,0.0,0,33.61,0.0,2917,1117,5.89,0,0
9,M010,"Egg, country hen, omlet",1,0.0,0,47.23,0.0,3463,1366,9.59,0,0
10,M011,"Egg, duck, whole, boiled",1,1.12,3.38,37.51,1.14,2791,713,33.49,17.38,0
11,M012,"Egg, duck, whole, raw",1,1.12,4.51,38.65,1.14,2640,632,36.95,18.54,0
12,M013,"Egg, duck, whole, omlet",1,1.2,6.03,42.55,1.22,2983,775,40.76,21.07,0
13,M014,"Egg, quial, whole, raw",1,0.93,1.87,71.59,2.79,2049,637,9.57,14.4,0
14,M015,"Egg, quial, whole, boiled",1,0.93,1.97,73.73,2.18,2083,535,11.52,15.42,0
15,N001,"Chicken, poultry, leg, skinless",4,0.0,0,22.52,0.0,827,272,5.66,13.14,17.23
16,N002,"Chicken, poultry, thigh, skinless",6,0.0,0,22.25,0.0,794,234,4.84,7.97,7.88
17,N003,"Chicken, poultry, breast, skinless",5,0.0,0,14.36,0.0,586,189,3.66,11.95,11.21
18,N004,"Chicken, poultry, wing, skinless",5,0.0,0,24.51,0.0,914,274,5.68,11.85,10.85
19,N005,"Poultry, chicken, liver",1,0.0,0,0,0.0,677,651,0,0,0
20,N006,"Poultry, chicken, gizzard",1,0.0,0,9.91,0.0,495,256,5.92,4.36,0
21,N007,"Country hen, leg, with skin",1,0.0,0,13.27,2.11,362,174,2.63,0,0
22,N008,"Country hen, thigh, with skin",1,0.0,0,18.74,2.73,421,167,0,0,0
23,N009,"Country hen, breast, with skin",1,0.0,0,10.33,1.35,286,122,0,0,0
24,N010,"Country hen, wing, with skin",1,0.0,0,19.17,2.94,467,199,0,0,0
25,N011,"Duck, meat, with skin",1,0.0,0,0,0.0,287,58,0,0,0
26,N012,"Emu, meat, skinless",1,0.0,0,3.36,0.0,137,60,0,0,0
27,N013,"Guinea fowl, meat, with skin",1,0.9,1.81,17.07,7.03,508,556,17.03,9.63,2.49
28,N014,"Pigeon, meat, with skin",1,0.0,0,10.72,0.0,939,879,0,0,0
29,N015,"Quail, meat, skinless",1,0.0,0,44.53,6.7,1463,479,23.18,0,8.54
30,N016,"Turkey, leg, with skin",1,0.0,0,0,0.0,667,313,0,0,0
31,N017,"Turkey, thigh, with skin",1,0.0,0,0,0.0,681,334,0,0,0
32,N018,"Turkey, breast, with skin",1,0.0,0,0,0.0,647,286,0,0,0
33,N019,"Turkey, wing, with skin",1,0.0,0,0,0.0,604,275,0,0,0
34,O001,"Goat, shoulder",6,0.0,45.17,376,0.0,2638,2331,18.08,0,35.45
35,O002,"Goat, chops",6,0.0,16.34,202,0.0,1383,1252,12.19,0,11.48
36,O003,"Goat, legs",6,0.0,24.30,263,0.0,1795,1522,18.61,0,41.99
37,O004,"Goat, brain",5,0.0,0,32.63,0.0,1007,1013,28.88,22.73,33.49
38,O005,"Goat, tongue",4,0.0,37.79,388,0.0,2556,1976,21.00,0,49.13
39,O006,"Goat, lungs",4,0.0,16.42,95.79,0.0,907,513,12.42,0,20.21
40,O007,"Goat, heart",5,0.0,10.26,128,0.0,763,1017,6.51,0,13.97
41,O008,"Goat, liver",6,0.0,3.97,37.41,0.0,735,944,0,0,49.82
42,O009,"Goat, tripe",5,0.0,16.61,155,0.0,828,661,9.66,0,12.66
43,O010,"Goat, spleen",4,0.0,9.23,56.89,0.0,555,553,9.47,0,17.09
44,O011,"Goat, kidneys",4,0.0,7.80,70.83,0.0,557,470,5.20,0,32.65
45,O012,"Goat, tube (small intestine)",3,0.0,28.28,294,0.0,1961,2103,24.09,0,35.02
46,O013,"Goat, testis",2,0.0,3.15,33.66,0.0,899,259,5.88,0,14.56
47,O014,"Sheep, shoulder",5,0.0,48.54,603,0.0,3569,2595,30.32,0,70.13
48,O015,"Sheep, chops",4,0.0,18.76,221,0.0,1323,1190,10.63,0,9.19
49,O016,"Sheep, leg",5,0.0,30.98,282,0.0,1797,1591,20.00,0,24.42
50,O017,"Sheep, brain",1,0.0,0,24.69,0.0,938,990,23.43,14.85,49.24
51,O018,"Sheep, tongue",1,0.0,251,408,0.0,2533,2384,0,0,0
52,O019,"Sheep, lungs",2,0.0,11.61,33.99,0.0,640,442,6.31,0,4.82
53,O020,"Sheep, heart",1,0.0,20.4,186,0.0,773,690,0,0,0
54,O021,"Sheep, liver",4,0.0,0,24.79,0.0,681,1078,0,0,38.64
55,O022,"Sheep, tripe",2,0.0,13.91,154,0.0,989,789,7.63,0,8.62
56,O023,"Sheep, spleen",1,0.0,10.04,74.93,0.0,663,753,9.72,0,22.65
57,O024,"Sheep, kidneys",2,0.0,7.08,60.88,0.0,505,543,4.56,0,5.57
58,O025,"Beef, shoulder",6,0.0,32.91,392,0.0,3772,2768,41.78,0,39.47
59,O026,"Beef, chops",4,0.0,14.18,168,0.0,1625,1188,18.13,0,17.01
60,O027,"Beef, round (leg)",6,0.0,13.58,135,0.0,1732,1023,42.45,0,52.78
61,O028,"Beef, brain",4,0.0,0,67.09,0.0,1131,1188,19.51,0,84.15
62,O029,"Beef, tongue",4,0.0,24.35,364,0.0,3197,2663,25.09,0,13.19
63,O030,"Beef, lungs",3,0.0,3.95,71.64,0.0,625,468,14.22,0,13.92
64,O031,"Beef, heart",5,0.0,5.69,44.89,0.0,614,787,9.39,0,19.06
65,O032,"Beef, liver",6,0.0,5.86,34.29,0.0,664,806,6.72,0,26.54
66,O033,"Beef, tripe",5,0.0,4.83,80.33,0.0,653,619,9.13,0,4.84
67,O034,"Beef, spleen",6,0.0,4.08,26.85,0.0,505,592,10.29,0,22.43
68,O035,"Beef, kidneys",3,0.0,5.50,56.58,0.0,777,892,6.79,0,5.40
69,O036,"Calf, shoulder",2,0.0,13.57,133,0.0,1649,1646,22.73,0,45.09
70,O037,"Calf, chops",2,0.0,3.39,60.78,0.0,830,1036,15.26,0,20.25
71,O038,"Calf, round (leg)",2,0.0,7.65,85.35,0.0,1189,893,41.78,0,45.74
72,O039,"Calf, brain",2,0.0,0,53.44,0.0,1048,1064,17.15,0,18.83
73,O040,"Calf, tongue",2,0.0,18.97,320,0.0,2813,2415,22.44,0,40.1
74,O041,"Calf, heart",1,0.0,5.23,46.27,0.0,602,814,9.22,0,12.28
