,code,name,regn,f14d1,f16d1,f18d1,f20d1,f22d1,f24d1,f18d2cn6,f20d2,f18d3n3
0,M001,"Egg, poultry, whole, raw",6,0.0,318,3090,24.55,0.0,47.43,1022,0.0,28.06
1,M002,"Egg, poultry, white, raw",6,0.0,0,0,0,0.0,0,0,0.0,0
2,M003,"Egg, poultry, yolk, raw",6,0.0,941,8919,68.58,0.0,139,2919,0.0,64.43
3,M004,"Egg, poultry, whole, boiled",6,0.0,333,3573,26.62,0.0,58.25,1169,0.0,29.40
4,M005,"Egg, poultry, white, boiled",6,0.0,0,0,0,0.0,0,0,0.0,0
5,M006,"Egg, poultry, yolk, boiled",6,0.0,897,9525,70.89,0.0,150,3009,0.0,63.64
6,M007,"Egg, poultry, omlet",3,0.0,291,4247,30.49,0.0,46.96,2679,0.0,34.36
7,M008,"Egg, country hen, whole, raw",1,0.0,254,4765,42.32,0.0,0,1518,17.36,39.95
8,M009,"Egg, country hen, whole, boiled",1,0.0,273,5433,41.19,0.0,0,1401,15.3,29.28
9,M010,"Egg, country hen, omlet",1,0.0,338,6031,54.81,0.0,0,1773,23.29,47.72
10,M011,"Egg, duck, whole, boiled",1,7.95,445,5623,5.77,16.22,0,1495,0.0,45.95
11,M012,"Egg, duck, whole, raw",1,10.22,399,5638,5.77,10.43,0,1453,0.0,45.94
12,M013,"Egg, duck, whole, omlet",1,9.72,488,5963,7.41,14.87,0,1579,0.0,61.43
13,M014,"Egg, quial, whole, raw",1,18.83,446,3717,24.87,3.84,0,2112,0.0,42.84
14,M015,"Egg, quial, whole, boiled",1,21.73,427,3919,21.12,2.89,0,2137,0.0,41.07
15,N001,"Chicken, poultry, leg, skinless",4,0.0,205,1342,13.35,0.0,0,627,0.0,25.97
16,N002,"Chicken, poultry, thigh, skinless",6,0.0,185,1263,12.79,0.0,0,490,0.0,22.52
17,N003,"Chicken, poultry, breast, skinless",5,0.0,120,862,9.10,0.0,0,346,0.0,12.63
18,N004,"Chicken, poultry, wing, skinless",5,0.0,238,1524,15.00,0.0,0,623,0.0,27.64
19,N005,"Poultry, chicken, liver",1,0.0,0,681,0,0.0,0,680,0.0,140
20,N006,"Poultry, chicken, gizzard",1,0.0,98,604,13.85,0.0,0,342,0.0,0
21,N007,"Country hen, leg, with skin",1,0.0,59,616,5.59,0.0,0,273,3.45,11.45
22,N008,"Country hen, thigh, with skin",1,0.0,57,687,6.05,0.0,0,287,0.0,12.91
23,N009,"Country hen, breast, with skin",1,0.0,28,422,3.65,0.0,0,182,0.0,7.26
24,N010,"Country hen, wing, with skin",1,0.0,65,763,7.94,0.0,0,305,0.0,14.03
25,N011,"Duck, meat, with skin",1,0.0,1467,748,0,0.0,0,217,0.0,86.54
26,N012,"Emu, meat, skinless",1,0.0,20,221,1,0.0,0,90,0.0,7.97
27,N013,"Guinea fowl, meat, with skin",1,1.52,21,879,17.33,1.86,6.23,816,0.0,30.49
28,N014,"Pigeon, meat, with skin",1,0.0,283,2305,0,0.0,0,958,0.0,0
29,N015,"Quail, meat, skinless",1,0.0,392,2364,14.13,0.0,12.52,788,0.0,22.5
30,N016,"Turkey, leg, with skin",1,0.0,0,938,0,0.0,0,908,0.0,150
31,N017,"Turkey, thigh, with skin",1,0.0,0,927,0,0.0,0,904,0.0,131
32,N018,"Turkey, breast, with skin",1,0.0,0,884,0,0.0,0,886,0.0,170
33,N019,"Turkey, wing, with skin",1,0.0,0,826,0,0.0,0,787,0.0,126
34,O001,"Goat, shoulder",6,0.0,251,4563,87.48,0.0,0,432,0.0,33.28
35,O002,"Goat, chops",6,0.0,113,2193,39.47,0.0,0,184,0.0,16.12
36,O003,"Goat, legs",6,0.0,156,2805,77.43,0.0,0,374,0.0,21.85
37,O004,"Goat, brain",5,0.0,23.08,1304,119,0.0,0,43.20,0.0,80.48
38,O005,"Goat, tongue",4,0.0,289,4498,129,0.0,0,504,0.0,67.38
39,O006,"Goat, lungs",4,0.0,43.19,836,15.22,0.0,0,135,0.0,13.74
40,O007,"Goat, heart",5,0.0,37.69,953,35.14,0.0,0,292,0.0,9.52
41,O008,"Goat, liver",6,0.0,42.04,879,0,0.0,0,368,0.0,56.53
42,O009,"Goat, tripe",5,0.0,63.87,1063,27.10,0.0,0,154,0.0,11.70
43,O010,"Goat, spleen",4,0.0,25.25,575,15.79,0.0,0,143,0.0,10.56
44,O011,"Goat, kidneys",4,0.0,23.91,523,19.00,0.0,0,236,0.0,10.37
45,O012,"Goat, tube (small intestine)",3,0.0,113,2339,51.10,0.0,0,340,0.0,33.46
46,O013,"Goat, testis",2,0.0,21.27,552,16.51,0.0,0,88.56,0.0,9.27
47,O014,"Sheep, shoulder",5,0.0,329,4598,169,0.0,0,717,0.0,141
48,O015,"Sheep, chops",4,0.0,92.36,1766,57.91,0.0,0,220,0.0,25.59
49,O016,"Sheep, leg",5,0.0,126,2377,103,0.0,0,472,0.0,33.55
50,O017,"Sheep, brain",1,0.0,28,1060,94.94,0.0,0,41,0.0,85.88
51,O018,"Sheep, tongue",1,0.0,618,4999,258,0.0,0,397,0.0,471
52,O019,"Sheep, lungs",2,0.0,22.22,730,15.63,0.0,0,124,0.0,8.92
53,O020,"Sheep, heart",1,0.0,37.52,815,20.02,0.0,0,206,0.0,29.15
54,O021,"Sheep, liver",4,0.0,30.36,742,0,0.0,0,346,0.0,74.97
55,O022,"Sheep, tripe",2,0.0,85.72,1417,31.48,0.0,0,134,0.0,13.1
56,O023,"Sheep, spleen",1,0.0,26.6,716,20.83,0.0,0,168,0.0,14.37
57,O024,"Sheep, kidneys",2,0.0,20.68,540,27.78,0.0,0,222,0.0,8.25
58,O025,"Beef, shoulder",6,0.0,486,5669,72.41,0.0,0,575,0.0,153
59,O026,"Beef, chops",4,0.0,209,2440,30.87,0.0,0,249,0.0,66.06
60,O027,"Beef, round (leg)",6,0.0,207,3026,46.84,0.0,0,201,0.0,67.90
61,O028,"Beef, brain",4,0.0,37.16,1653,178,0.0,0,39.04,0.0,56.26
62,O029,"Beef, tongue",4,0.0,351,4302,88.41,0.0,0,341,0.0,56.10
63,O030,"Beef, lungs",3,0.0,41.34,588,17.58,0.0,0,92.04,0.0,6.14
64,O031,"Beef, heart",5,0.0,39.33,780,28.50,0.0,0,351,0.0,11.43
65,O032,"Beef, liver",6,0.0,51.37,740,33.85,0.0,0,236,0.0,8.51
66,O033,"Beef, tripe",5,0.0,56.14,767,10.65,0.0,0,49.93,0.0,9.64
67,O034,"Beef, spleen",6,0.0,25.01,442,13.83,0.0,0,127,0.0,12.22
68,O035,"Beef, kidneys",3,0.0,33.01,790,12.02,0.0,0,148,0.0,8.72
69,O036,"Calf, shoulder",2,0.0,166,2452,29.26,0.0,0,388,0.0,69.72
70,O037,"Calf, chops",2,0.0,50,966,17.69,0.0,0,311,0.0,32.78
71,O038,"Calf, round (leg)",2,0.0,180,2207,46.47,0.0,0,213,0.0,51.96
72,O039,"Calf, brain",2,0.0,46.39,1357,56.9,0.0,0,45,0.0,45.48
73,O040,"Calf, tongue",2,0.0,308,4050,47.58,0.0,0,434,0.0,46.48
74,O041,"Calf, heart",1,0.0,19.68,656,20.82,0.0,0,563,0.0,11.84
75,O042,"Calf, liver",1,0.0,30.8,618,21.19,0.0,0,271,0.0,14.64
76,O043,"Calf, spleen",1,0.0,26.95,474,11.5,0.0,0,118,0.0,9.7
77,O044,"Calf, kidneys",2,0.0,31.46,613,15.59,0.0,0,243,0.0,8.65
78,O045,"Mithun, shoulder",1,0.0,108,2049,0,0.0,0,2339,0.0,385
79,O046,"Mithun, chops",1,0.0,70.1,1206,0,0.0,0,1095,0.0,160
80,O047,"Mithun, round (leg)",1,0.0,48.11,1870,0,0.0,0,1056,0.0,186
81,O048,"Pork, shoulder",6,0.0,418,7696,0,0.0,0,1839,0.0,170
82,O049,"Pork, chops",6,0.0,242,4731,0,0.0,0,521,0.0,112
83,O050,"Pork, ham",6,0.0,466,7600,0,0.0,0,1598,0.0,163
84,O051,"Pork, lungs",4,0.0,32.88,834,0,0.0,0,326,0.0,21.91
85,O052,"Pork, heart",4,0.0,46.51,1201,0,0.0,0,725,0.0,38.38
86,O053,"Pork, liver",5,0.0,21.63,678,0,0.0,0,494,0.0,26.57
87,O054,"Pork, stomach",1,0.0,127,2563,0,0.0,0,841,0.0,94.61
88,O055,"Pork, spleen",3,0.0,34.64,785,0,0.0,0,237,0.0,23.79
89,O056,"Pork, kidneys",5,0.0,28.23,817,0,0.0,0,474,0.0,26.28
90,O057,"Pork, tube (small intestine)",1,0.0,190,2984,0,0.0,0,638,0.0,85.9
91,O058,"Hare, shoulder",1,0.0,240,1366,0,0.0,0,1261,0.0,267
92,O059,"Hare, chops",1,0.0,90,523,0,0.0,0,496,0.0,105
93,O060,"Hare, leg",1,0.0,75,439,0,0.0,0,407,0.0,57.78
94,O061,"Rabbit, shoulder",1,0.0,504,1828,0,0.0,0,1242,0.0,365
95,O062,"Rabbit, chops",1,0.0,310,1170,0,0.0,0,737,0.0,252
96,O063,"Rabbit, leg",1,0.0,268,935,0,0.0,0,609,0.0,184
