,code,name,regn,f20d3n6,f20d4n6,f20d5n3,f22d6n3,fasat,fams,fapu,cholc
0,M001,"Egg, poultry, whole, raw",6,25.95,0.00,0.0,75.70,2958,3481,1152,366
1,M002,"Egg, poultry, white, raw",6,0,0,0.0,0,0,0,0,0
2,M003,"Egg, poultry, yolk, raw",6,73.72,0,0.0,180,8580,10068,3238,1076
3,M004,"Egg, poultry, whole, boiled",6,29.73,0,0.0,65.26,3464,3991,1294,365
4,M005,"Egg, poultry, white, boiled",6,0,0,0.0,0,0,0,0,0
5,M006,"Egg, poultry, yolk, boiled",6,74.14,0,0.0,187,8819,10643,3333,1085
6,M007,"Egg, poultry, omlet",3,28.27,380,0.0,46.76,3179,4615,3168,316
7,M008,"Egg, country hen, whole, raw",1,13.01,0,0.0,92.46,3792,5061,1936,355
8,M009,"Egg, country hen, whole, boiled",1,15.29,301,0.0,120,4074,5747,1882,369
9,M010,"Egg, country hen, omlet",1,20.54,329,0.0,124,4886,6424,2317,318
10,M011,"Egg, duck, whole, boiled",1,0,153,35.29,15.04,3598,6098,1745,856
11,M012,"Egg, duck, whole, raw",1,0,133,35.97,16.2,3373,6063,1684,839
12,M013,"Egg, duck, whole, omlet",1,0,185,41.93,18.57,3871,6483,1886,815
13,M014,"Egg, quial, whole, raw",1,0,192,30.2,22.06,2788,4210,2399,833
14,M015,"Egg, quial, whole, boiled",1,0,173,22.05,30.79,2726,4391,2403,855
15,N001,"Chicken, poultry, leg, skinless",4,8.33,0,0.0,0,1157,1560,661,84.25
16,N002,"Chicken, poultry, thigh, skinless",6,7.36,0,0.0,0,1071,1461,520,91.93
17,N003,"Chicken, poultry, breast, skinless",5,7.82,0,0.0,0,816,991,367,61.55
18,N004,"Chicken, poultry, wing, skinless",5,7.31,0,0.0,0,1241,1777,658,54.52
19,N005,"Poultry, chicken, liver",1,0,0,0.0,194,1328,681,1013,268
20,N006,"Poultry, chicken, gizzard",1,0,122,0.0,0,772,716,464,57.24
21,N007,"Country hen, leg, with skin",1,6.24,90,0.0,15.98,534,681,400,87.95
22,N008,"Country hen, thigh, with skin",1,3.63,48,0.0,7.63,610,750,360,91.81
23,N009,"Country hen, breast, with skin",1,0,72,0.0,0,419,453,262,66.03
24,N010,"Country hen, wing, with skin",1,6.75,87,12.9,25.09,688,836,451,55.42
25,N011,"Duck, meat, with skin",1,0,0,0.0,0,345,2215,304,81.76
26,N012,"Emu, meat, skinless",1,0,34,5.94,5.26,200,242,144,72.69
27,N013,"Guinea fowl, meat, with skin",1,0,1,45.45,102,1138,928,995,87.48
28,N014,"Pigeon, meat, with skin",1,0,200,94.93,29.29,1828,2588,1282,107
29,N015,"Quail, meat, skinless",1,0,0,0.0,0,2024,2789,810,77.87
30,N016,"Turkey, leg, with skin",1,0,0,0.0,0,980,938,1058,83.44
31,N017,"Turkey, thigh, with skin",1,0,0,0.0,0,1015,927,1035,85.35
32,N018,"Turkey, breast, with skin",1,0,0,0.0,0,934,884,1055,81.28
33,N019,"Turkey, wing, with skin",1,0,0,0.0,0,897,826,913,80.01
34,O001,"Goat, shoulder",6,0,178,0.0,0,5444,4902,643,82.18
35,O002,"Goat, chops",6,0,59.35,0.0,0,2877,2346,259,88.37
36,O003,"Goat, legs",6,0,172,0.0,0,3665,3038,567,82.52
37,O004,"Goat, brain",5,0,300,0.0,516,2138,1447,939,1340
38,O005,"Goat, tongue",4,0,187,0.0,0,5028,4916,758,206
39,O006,"Goat, lungs",4,0,226,0.0,0,1564,894,374,448
40,O007,"Goat, heart",5,0,125,0.0,0,1939,1025,427,122
41,O008,"Goat, liver",6,0,362,0.0,138,1770,921,924,415
42,O009,"Goat, tripe",5,0,80.27,0.0,0,1682,1154,246,113
43,O010,"Goat, spleen",4,0,199,0.0,0,1200,616,352,243
44,O011,"Goat, kidneys",4,0,233,0.0,0,1143,566,480,419
45,O012,"Goat, tube (small intestine)",3,0,245,0.0,0,4445,2504,619,176
46,O013,"Goat, testis",2,0,284,0.0,0,1215,590,382,118
47,O014,"Sheep, shoulder",5,0,240,0.0,0,6916,5096,1099,74.72
48,O015,"Sheep, chops",4,0,62.73,0.0,0,2773,1916,309,86.14
49,O016,"Sheep, leg",5,0,164,0.0,0,3745,2605,669,84.84
50,O017,"Sheep, brain",1,0,289,0.0,449,2040,1183,866,1336
51,O018,"Sheep, tongue",1,0,69.76,0.0,0,5576,5875,938,210
52,O019,"Sheep, lungs",2,0,167,0.0,0,1138,767,301,431
53,O020,"Sheep, heart",1,0,84.05,13.62,0,1677,873,332,112
