,code,name,regn,f12d0,f14d0,f15d0,f16d0,f18d0,f20d0,f22d0,f24d0,f16d1c
0,P001,Allathi (Elops machnata),1,0,36.99,5.65,205,90.69,3.48,2.17,1.87,49.07
1,P002,Aluva (Parastromateus niger),3,0,46.21,17.84,479,197,9.56,5.53,0,56.73
2,P003,Anchovy (Stolephorus indicus),2,0,14.33,4.16,178,51.19,0,0,0,20.17
3,P004,Ari fish (Aprion virescens ),1,0,19.68,7.17,251,122,5.11,2.52,0,25.05
4,P005,Betki (Lates calcarifer),1,1.82,5.33,0,56.47,22.78,0,0,0,16.28
5,P006,Black snapper (Macolor niger),1,0,52.75,0,312,106,0,0,0,87.36
6,P007,Bombay duck (Harpadon nehereus),2,0,45.49,0,283,70.16,0,0,0,69.09
7,P008,Bommuralu(Muraenesox cinerius),3,0,145,25.20,793,261,10.96,1.72,0,254
8,P009,Cat fish (Tachysurus thalassinus),1,0,39,12.62,485,249,6.85,0,0,86.44
9,P010,Chakla (Rachycentron canadum),5,0,60.90,11.16,392,182,6.68,1.08,0,87.08
10,P011,Chappal (Aluterus monoceros ),1,0,5.76,0,130,63.46,0,0,0,7.31
11,P012,Chelu (Elagatis bipinnulata),2,0,11.18,2.74,148,64.54,1.77,0.65,0.62,18.24
12,P013,Chembali (Lutjanus quinquelineatus),1,0,61.97,8.54,461,155,7.13,5.48,0,92.54
13,P014,Eri meen (Pristipomoides filamentosus),1,0,66.39,19.03,445,189,13.49,5.45,0,74.18
14,P015,Gobro (Epinephelus diacanthus),2,0,22.46,5.1,177,81.09,3.44,0,0,39.29
15,P016,Guitar fish (Rhinobatus prahli),1,0,1.53,1.16,68.68,41.53,0.71,0,0,3.57
16,P017,Hilsa (Tenualosa ilisha),2,17.71,1650,0,6091,1468,35.64,23.62,0,2225
17,P018,Jallal (Arius sp.),1,0,36.18,8.83,323,142,5.39,3.69,0,74.02
18,P019,Jathi vela meen (Lethrinus lentjan),2,1.05,61.34,10.16,559,191,7.98,6.24,0,91.3
19,P020,Kadal bral (Synodus indicus),1,0,54.74,8.22,298,108,5.33,3.34,0,76.91
20,P021,Kadali (Nemipterus mesoprion),1,0,152,23.58,936,469,17.05,12.93,0,154
21,P022,Kalamaara (Leptomelanosoma indicum),2,0,403,35,1242,394,21.37,11.41,0,417
22,P023,Kalava (Epinephelus coioides),1,0,37.86,8.41,267,133,4.99,3.44,0,57.29
23,P024,Kanamayya (Lutjanus rivulatus),2,0,23.79,4.18,125,52.05,3.14,1.19,0,22.96
24,P025,Kannadi paarai (Alectis indicus),3,0,20.27,24.65,291,137,3.57,2.50,0,46.51
25,P026,Karimeen (Etroplus suratensis),1,0,42.45,13.14,355,158,4.47,3.22,0,69.74
26,P027,Karnagawala (Anchoa hepsetus),1,0,11.52,4.51,170,68.25,0,0,0,20.12
27,P028,Kayrai (Thunnus albacores),2,0,102,21.89,664,290,8.01,9.38,0,139
28,P029,Kiriyan (Atule mate),1,0,226,31.67,1275,523,29.07,17.16,0,276
29,P030,Kite fish (Mobula kuhlii),1,0,3.27,8.29,96.98,60.88,0,0,0,6.93
30,P031,Korka (Terapon jarbua),1,0,157,28.23,881,312,18.35,10.26,0,203
31,P032,Kulam paarai (Carangoides fulvoguttatus),1,0,130,25.86,878,366,9.05,11.03,10.74,184
32,P033,Maagaa (Polynemus plebeius),1,0,14.28,3.96,124,54.85,1.82,1.43,0,26.84
33,P034,Mackerel (Rastrelliger kanagurta),3,0,48.67,10.05,351,180,7.34,4.24,3.17,78.69
34,P035,Manda clathi (Naso reticulatus),1,0,28.79,6.56,207,87.83,3.87,2.62,0,55.63
35,P036,Matha (Acanthurus mata),2,0,25,6.94,191,66.74,4.59,1.89,0,22.06
