,code,name,regn,f18d1cn9,f20d1n9,f22d1n9,f24d1c,f18d2cn6,f20d2,f22d2,f18d3n3,f20d3n6
0,P001,Allathi (Elops machnata),1,108,4.33,0,3.19,9.62,1.85,0,0.0,1.93
1,P002,Aluva (Parastromateus niger),3,199,18.37,6.90,6.69,19.37,4.26,0,0.0,2.66
2,P003,Anchovy (Stolephorus indicus),2,28.58,0,0,1.61,7.13,0,0,0.0,0
3,P004,Ari fish (Aprion virescens ),1,126,7.89,3.06,4.42,21.32,3.05,0,0.0,2.33
4,P005,Betki (Lates calcarifer),1,36.98,0,0,0,9.67,4.12,0,0.0,2.69
5,P006,Black snapper (Macolor niger),1,163,0,0,0,22.35,8.43,0,0.0,6.43
6,P007,Bombay duck (Harpadon nehereus),2,102,0,0,0,10.25,0,0,0.0,0
7,P008,Bommuralu (Muraenesox cinerius),3,407,31.72,2.39,6.61,35.74,11.91,0,0.0,9.25
8,P009,Cat fish (Tachysurus thalassinus),1,327,16.84,0,0,22.11,7.03,0,0.0,0
9,P010,Chakla (Rachycentron canadum),5,249,10.42,0.63,4.88,23.29,4.23,0,0.0,0.63
10,P011,Chappal (Aluterus monoceros ),1,67.2,0,0,0,17.09,0,0,0.0,0
11,P012,Chelu (Elagatis bipinnulata),2,81.83,2.28,0.34,0.88,10.42,0.48,0,0.0,0.51
12,P013,Chembali (Lutjanus quinquelineatus),1,254,12.89,5.02,4.73,13.59,5.15,0,0.0,2.88
13,P014,Eri meen (Pristipomoides filamentosus),1,235,15.94,6.33,8.64,33.47,8.58,0,0.0,0
14,P015,Gobro (Epinephelus diacanthus),2,92.53,5.81,0,0,14.46,0,0,0.0,0
15,P016,Guitar fish (Rhinobatus prahli),1,32.65,0.29,0,0.36,7.11,0.91,0,0.0,0.73
16,P017,Hilsa (Tenualosa ilisha),2,3695,101,0,0,136,209,104,0.0,49.1
17,P018,Jallal (Arius sp.),1,217,14.21,2.7,3.45,20.97,5.14,0,0.0,3.55
18,P019,Jathi vela meen (Lethrinus lentjan),2,415,9.74,0,3.33,17.71,4.64,0,0.0,0
19,P020,Kadal bral (Synodus indicus),1,102,6.77,0,6.14,14.47,3.33,0,0.0,0
20,P021,Kadali (Nemipterus mesoprion),1,602,34.85,0,27.45,71.26,12.12,0,0.0,13.25
21,P022,Kalamaara (Leptomelanosoma indicum),2,604,39.48,6.17,12.74,62.64,9.2,0,0.0,10.24
22,P023,Kalava (Epinephelus coioides),1,182,7.24,0,2.76,11.88,3.52,2.06,3.5,2.05
23,P024,Kanamayya (Lutjanus rivulatus),2,75.04,8.85,2.45,3.65,6.06,1.53,0,0.0,0.88
24,P025,Kannadi paarai (Alectis indicus),3,175,9.30,1.52,1.62,7.57,2.11,0,0.0,1.12
25,P026,Karimeen (Etroplus suratensis),1,207,13.41,0,0,52.96,6.76,0,0.0,0
26,P027,Karnagawala (Anchoa hepsetus),1,61.06,0,0,4.08,8.7,0,0,0.0,0
27,P028,Kayrai (Thunnus albacores),2,401,16.02,0,26.88,41.99,10.68,0,0.0,6.4
28,P029,Kiriyan (Atule mate),1,747,21.8,6.86,16.35,52.33,9.83,0,0.0,6.83
29,P030,Kite fish (Mobula kuhlii),1,55.16,5.53,0,0,10.33,4.08,0,0.0,0
30,P031,Korka (Terapon jarbua),1,428,27.37,12.07,15.74,41.31,12.03,0,0.0,5.41
31,P032,Kulam paarai (Carangoides fulvoguttatus),1,458,15.51,6.16,15.29,49.85,8.72,0,0.0,7.43
32,P033,Maagaa (Polynemus plebeius),1,61.92,4,1.12,2.24,9.83,1.73,0,0.0,0
33,P034,Mackerel (Rastrelliger kanagurta),3,123,6.76,2.64,4.78,28.10,1.25,0,0.0,7.56
34,P035,Manda clathi (Naso reticulatus),1,107,6.56,0,2.55,9.67,3.4,0,0.0,2.13
35,P036,Matha (Acanthurus mata),2,67.56,9.82,3.37,3.19,8.97,1.25,0,0.0,0.74
36,P037,Milk fish (Chanos chanos),1,152,12.81,0,4.59,7.77,0,0,0.0,0
37,P038,Moon fish (Mene maculata),1,527,26.86,8.13,34.34,56.87,0,0,0.0,0
38,P039,Mullet (Mugil cephalus),3,125,7.60,0,1.63,16.03,1.85,0,0.0,0
39,P040,Mural (Tylosurus crocodilus crocodilus),1,42.48,0,0,2.82,5.88,0,0,0.0,0
40,P041,Myil meen (Istiophorus platypterus),2,44.24,1.81,0,0,7.49,0.3,0,0.0,0.31
41,P042,Nalla bontha (Epinephelus sp.),1,88.99,4.86,0,1.93,6.8,0,0,0.0,0
42,P043,Narba (Caranx sexfasciatus),2,199,9.95,0,8.93,18.28,2.29,0,0.0,0
43,P044,Paarai (Caranx heberi),1,190,8.06,0,7.16,22.66,5.06,0,0.0,3
44,P045,Padayappa (Canthidermis maculata),1,77.16,0,0,0,8.7,0,0,0.0,0
45,P046,Pali kora (Panna microdon),1,163,9.79,0,8.29,20.89,3.88,0,0.0,2.33
46,P047,Pambada (Lepturacanthus savala),2,564,21.14,4.83,18.76,56.78,5.36,0,0.0,4.81
47,P048,Pandukopa (Pseudosciaena manchurica),1,69.08,3.52,0,0,6.3,0,0,0.0,0
48,P049,Parava (Lactarius lactarius),1,464,9.95,0,9.04,17.88,3.88,0,0.0,0
49,P050,Parcus (Psettodes erumei),1,58.44,2.65,0,0,9.57,0,0,0.0,0
50,P051,Parrot fish (Scarus ghobban),1,113,2.26,0,0.9,2.79,1.01,0,0.0,0.47
51,P052,Perinkilichai (Pinjalo pinjalo),1,79.22,4.7,0,0,9.75,0,0,0.0,0
52,P053,Phopat (Coryphaena hippurus),4,143,4.66,0,0,14.55,1.31,0,0.0,1.03
53,P054,Piranha (Pygopritis sp.),1,1941,24.26,0,0,475,0,0,12.81,0
54,P055,"Pomfret, black (Parastromateus niger)",2,716,98.65,0,0,51.5,37.96,0,0.0,10.52
55,P056,"Pomfret, snub nose (Trachinotus blochii)",2,59.76,4.9,0,1.79,4.81,0,0,0.0,0
56,P057,"Pomfret, white (Pampus argenteus)",2,98.93,40.22,25.27,33.66,14.07,4.2,0,0.0,5.82
57,P058,Pranel (Gerres sp.),1,254,19.02,5.38,0,17.8,14.62,0,0.0,6.98
58,P059,Pulli paarai (Gnathanodon speciosus),1,149,5.51,0,0,15.81,3.54,0,0.0,2.89
59,P060,Queen fish (Scomberoides commersonianus),3,221,8.57,0,9.00,20.40,6.04,0,0.0,3.34
60,P061,Raai fish (Lobotes surinamensis),2,205,20.08,3.51,3.7,18.79,0,0,0.0,0
61,P062,Raai vanthu (Epinephelus chlorostigma),1,268,22.89,4.94,14.47,24.1,5.67,0,0.0,4.35
62,P063,Rani (Pink perch),1,1408,60.7,0,0,58.64,64.54,0,0.0,14.87
63,P064,"Ray fish, bow head, spotted (Rhina ancylostoma)",1,90.15,0,0,0,21.44,0,0,0.0,0
64,P065,Red snapper (Lutjanus argentimaculatus),1,217,11.92,0,6.06,19.08,4.01,0,0.0,0
65,P066,"Red snapper, small (Priacanthus hamrur)",1,278,9.65,0,0,35.43,6.63,0,0.0,0
66,P067,Sadaya (Platax orbicularis),1,377,15.31,0,0,35.21,13.72,0,0.0,0
67,P068,Salmon (Salmo salar),1,1682,55.53,12.79,34.82,119,25.48,0,0.0,17.29
68,P069,Sangada (Nemipterus japonicus),1,343,27.12,4.5,11.87,34.5,12.97,0,0.0,5.42
69,P070,Sankata paarai (Caranx ignobilis),1,1295,41.15,13.3,30.89,80.54,14.64,0,0.0,18.12
70,P071,Sardine (Sardinella longiceps),1,327,13.37,0,0,42.33,16.5,0,0.0,8.29
71,P072,Shark (Carcharhinus sorrah),2,83.76,6.85,0,0,6.05,3.39,0,0.0,0
72,P073,"Shark, hammer head (Sphyrna mokarran)",1,88.26,0,0,0,11.86,0,0,0.0,0
73,P074,"Shark, spotted (Stegostoma fasciatum)",1,97.68,4.04,0,0,8.77,0,0,0.0,0
74,P075,Shelavu (Sphyraena jello),4,219,7.66,1.07,14.41,11.86,1.62,0,0.0,3.56
75,P076,Silan (Silonia silondia),1,3015,99.55,0,0,860,49.53,36.12,0.0,64.19
76,P077,Silk fish (Beryx sp.),1,185,7.35,4.01,7.53,32.87,5.93,0,0.0,2.71
77,P078,Silver carp (Hypophthalmichthys molitrix),1,1283,65.76,0,0,194,256,13.72,0.0,48.7
78,P079,Sole fish (Cynoglossus arel),1,101,0,0,30.56,17.45,0,0,0.0,0
79,P080,Stingray (Dasyatis pastinaca),1,159,0,0,0,38.98,0,0,0.0,0
80,P081,Tarlava (Drepane punctata),2,124,7.65,3.72,0,11.98,1.84,0,0.0,1.38
81,P082,Tholam (Plectorhinchus schotaf),2,367,20.25,2.43,13.22,22.18,6.41,0,0.0,7.23
82,P083,Tilapia (Oreochromis niloticus),1,134,7.52,0,0,49.44,32.45,0,0.0,7.95
83,P084,Tuna (Euthynnus affinis),5,207,8.72,1.69,5.46,23.05,4.76,0,0.0,1.98
84,P085,"Tuna, striped (Katsuwonus pelamis)",1,133,0,0,0,25.61,0,0,0.0,0
85,P086,Valava (Chirocentrus nudus),1,73.6,3.48,0,0,16.91,0,0,0.0,0
86,P087,Vanjaram (Scomberomorus commerson),2,603,26.17,6.59,12.16,59.97,9.87,0,0.0,11.94
87,P088,Vela meen (Aprion virescens),1,685,46.68,0,15.8,16.4,0,0,0.0,0
88,P089,Vora (Siganus javus),2,278,27.36,7.74,10.31,23.58,5.64,0,0.0,4.76
89,P090,Whale shark (Galeocerdo cuvier),1,84.28,5.18,0,2.01,7.65,2.69,0,0.0,1.69
90,P091,Xiphinis (Xiphias gladius),1,130,16.28,6.73,3.72,3.95,1.3,0,0.0,0.89
91,P092,"Eggs, Cat fish (Ompok bimaculatus)",1,905,23.32,0,0,290,98.5,18.91,0.0,72.11
92,Q001 ,Crab (Menippe mercenaria) ,1,111,0,0,0,16.26,0,0,0.0,0
93,Q002,"Crab, sea (Portunus sanguinolentus)",1,41.99,0,0,1.99,5.83,2.42,0,0.0,1.26
94,Q003,"Lobster, brown (Thenus orientalis)",1,49.96,1.25,0,1.65,19.92,2.23,0,0.0,1.4
95,Q004,"Lobster, king size (Thenus orientalis)",1,101,0,0,0,15.75,0,0,0.0,0
96,Q005,Mud crab (Scylla tranquebarica),1,48.75,0,0,0,11.56,3.26,0,0.0,0
97,Q006,Oyster (Crassostrea sp.),1,90,71.16,0,0,55.37,0,0,0.0,7.36
98,Q007,"Tiger prawns, brown (Solenocera crassicornis)",1,48.27,2.4,0,0,12.55,2.04,0,0.0,0.99
99,Q008,"Tiger Prawns, orange (Penaeus monodon)",1,58.66,5.05,0,0,20.99,0,0,0.0,0
100,R001,"Clam, green shell (Perna viridis )",1,18.53,16.55,0,0,19.74,2.38,0,0.0,0
101,R002,"Clam, white shell, ribbed (Meretrix meretrix)",1,60.3,14.05,0,0,16.94,29.48,0,0.0,0
102,R003,Octopus (Octopus vulgaris),1,46.38,0,0,0,9.32,0,0,0.0,0
103,R004,"Squid, black (Loligo sp.)",1,36.2,13.63,0,0,8.46,0,0,0.0,0
104,R005,"Squid, hard shell (Sepia pharaonis)",1,37.9,10.63,0,0,3.25,2.32,0,0.0,0
105,R006,"Squid, red (Loligo duvauceli)",2,61.11,9.77,0,0,17.81,1.87,0,0.0,0
106,R007,"Squid, white, small (Uroteuthis duvauceli)",1,37.64,18.13,0,0,8.22,0,0,0.0,0
107,S001,Cat fish (Tandanus tandanus),2,1428,88.89,0,0,458,132,36.82,0.0,51.98
108,S002,Catla (Catla catla),6,910,53.36,0,0,214,89.97,0,0.0,26.26
109,S003,Freshwater Eel (Anguilla anguilla),1,493,35.62,0,0,190,90.12,20.95,0.0,24.9
110,S004,Gold fish (Carassius auratus),2,715,102,0,0,302,26.52,0,0.0,24.29
111,S005,Pangas (Pangasianodon hypophthalmus),6,510,71.60,0,0,221,57.41,0,0.0,16.97
112,S006,Rohu (Labeo rohita),6,2401,93.13,0,0,531,46.60,0,0.0,44.91
113,S007,Crab (Pachygrapsus sp.),1,111,0,0,0,16.26,0,0,0.0,0
114,S008,"Prawns, big (Macrobrachium rosenbergii)",1,39.93,2.25,0,0,17.75,3.91,0,0.0,0
115,S009,"Prawns, small (Macrobrachium sp.)",3,130,0,0,0,41.37,14.44,0,0.0,0
