,code,name,regn,his,ile,leu,lys,met,cys,phe,thr,trp,val
0,A001,"Amaranth seed, black (Amaranthus cruentus)",1,1.86,2.82,4.83,5.45,1.86,1.6,3.98,3.02,1.5,4.34
1,A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,1.98,2.85,4.94,5.50,1.95,1.51,4.75,2.99,1.69,4.30
2,A003,Bajra (Pennisetum typhoideum),6,2.15,3.45,8.52,3.19,2.11,1.23,4.82,3.55,1.33,4.79
3,A004,Barley (Hordeum vulgare),6,2.13,3.63,6.49,3.42,1.86,2.20,4.88,3.30,1.28,4.78
4,A005,Jowar (Sorghum vulgare),6,2.07,3.45,12.03,2.31,1.52,1.06,5.10,2.96,1.03,4.51
5,A006,"Maize, dry (Zea mays)",6,2.70,3.67,12.24,2.64,2.10,1.55,5.14,3.23,0.57,5.41
6,A007,"Maize, tender, local (Zea mays)",6,2.15,3.55,10.09,2.02,1.67,1.18,3.95,2.97,0.58,3.54
7,A008,"Maize, tender, sweet (Zea mays)",4,2.16,3.45,10.61,2.06,1.76,1.36,3.05,2.88,0.70,3.88
8,A009,Quinoa(Chenopodium quinoa),1,2.98,3.75,6.08,5.55,2.24,1.85,4.35,3.01,1.25,4.55
9,A010,Ragi (Eleusine coracana),5,2.37,3.70,8.86,2.83,2.74,1.48,5.70,3.84,0.91,5.65
10,A011,Rice flakes (Oryza sativa ),6,2.28,3.62,8.05,3.62,2.11,1.65,5.22,3.17,1.11,5.40
11,A012,Rice puffed (Oryza sativa ),6,2.11,3.68,7.75,3.14,2.00,1.34,5.33,3.03,1.07,5.37
12,A013,"Rice, raw, brown (Oryza sativa )",6,2.36,4.08,8.40,3.63,2.39,2.02,5.50,3.38,1.00,6.72
13,A014,"Rice, parboiled, milled (Oryza sativa )",6,2.35,4.14,8.08,3.42,2.48,2.15,5.14,3.24,1.15,6.26
14,A015,"Rice, raw, milled (Oryza sativa )",6,2.45,4.29,8.09,3.70,2.60,1.84,5.36,3.28,1.27,6.06
15,A016,Samai (Panicum miliare),6,2.35,4.14,8.08,2.42,2.21,1.85,6.14,4.24,1.35,5.31
16,A017,Varagu (Setaria italica),5,2.14,4.55,11.96,1.42,2.69,1.92,6.27,3.89,1.32,5.49
17,A018,"Wheat flour, refined (Triticum aestivum)",6,1.95,3.19,6.22,2.05,1.64,2.03,4.29,2.34,1.04,4.01
18,A019,"Wheat flour, atta (Triticum aestivum)",6,2.56,3.78,6.13,2.42,1.77,2.24,5.03,2.58,0.99,5.12
19,A020,"Wheat, whole (Triticum aestivum)",6,2.65,3.83,6.81,3.13,1.75,2.35,4.75,3.01,1.40,5.11
20,A021,"Wheat, bulgur (Triticum aestivum)",6,2.23,3.48,6.61,2.42,1.62,1.96,4.46,2.46,1.11,4.28
21,A022,"Wheat, semolina (Triticum aestivum)",6,2.38,3.43,6.71,2.54,1.57,1.79,4.77,2.71,1.04,4.47
22,A023,"Wheat, vermicelli (Triticum aestivum)",6,1.76,1.56,5.23,1.83,1.17,1.83,4.90,2.26,1.07,3.54
23,A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,1.63,1.46,5.63,1.54,1.15,1.85,4.96,2.25,0.99,3.71
24,B001 ,"Bengal gram, dal (Cicer arietinum) ",6,2.39 ,4.25 ,6.91 ,6.06 ,1.12 ,0.84 ,5.97 ,3.24 ,1.09 ,4.09
25,B002,"Bengal gram, whole (Cicer arietinum)",6,2.51,4.34,7.40,6.59,1.16,1.27,6.26,3.55,0.95,4.58
26,B003,"Black gram, dal (Phaseolus mungo)",6,2.64,3.75,7.93,6.22,1.31,0.49,5.68,2.99,1.07,4.61
27,B004,"Black gram, whole (Phaseolus mungo)",6,2.85,3.42,7.58,6.35,1.17,0.58,5.90,2.87,0.98,4.11
28,B005,"Cowpea, brown (Vigna catjang)",6,2.93,4.10,7.49,6.67,1.38,0.57,5.47,3.80,1.05,4.87
29,B006,"Cowpea, white (Vigna catjang)",1,3.25,4.4,7.96,7.14,1.53,0.6,5.63,4.1,0.92,5.31
30,B007,"Field bean, black (Phaseolus vulgaris)",1,3.21,4.57,8.91,6.79,1.36,0.59,5.88,4.12,0.73,5.24
31,B008,"Field bean, brown (Phaseolus vulgaris)",1,3.23,4.59,8.88,6.75,1.38,0.52,5.72,3.97,0.78,5.16
32,B009,"Field bean, white (Phaseolus vulgaris)",5,2.82,4.41,8.48,6.13,1.40,0.57,5.76,3.97,0.89,4.96
33,B010,"Green gram, dal (Phaseolus aureus)",6,2.55,4.07,7.90,6.09,1.05,0.43,6.20,3.36,1.24,5.21
34,B011,"Green gram, whole (Phaseolus aureus)",6,2.85,4.17,7.45,6.60,1.21,0.74,6.21,3.20,1.02,5.45
35,B012,"Horse gram, whole (Dolicus biflorus)",6,2.70,3.72,6.79,6.24,0.73,0.75,8.08,3.32,1.08,4.16
36,B013,Lentil dal (Lens culinaris),6,1.93,3.74,7.10,6.12,0.54,0.55,5.10,3.31,0.81,5.02
37,B014,"Lentil whole, brown (Lens culinaris)",6,2.07,4.17,7.36,6.78,0.84,1.18,4.61,3.35,0.76,4.85
38,B015,"Lentil whole, yellowish (Lens culinaris)",2,2.26,4.12,7.47,6.43,0.84,1.06,4.67,3.49,0.75,4.75
39,B016,Moth bean (Vigna aconitifolia),6,2.80,4.17,7.85,6.63,0.97,0.43,5.85,3.63,0.92,4.90
40,B017,"Peas, dry (Pisum sativum)",6,2.34,3.87,7.02,7.12,0.68,0.82,4.76,3.65,0.86,4.67
41,B018,"Rajmah, black (Phaseolus vulgaris)",2,2.44,3.91,6.84,6.01,0.79,0.72,5.32,3.91,1.22,4.83
42,B019,"Rajmah, brown (Phaseolus vulgaris)",6,2.71,4.27,7.93,6.67,0.97,0.62,5.91,4.35,1.04,5.21
43,B020,"Rajmah, red (Phaseolus vulgaris)",3,2.70,4.23,7.78,6.71,0.88,0.70,5.90,4.18,1.05,5.07
44,B021,"Red gram, dal (Cajanus cajan)",6,3.16,3.42,6.73,6.16,0.87,0.67,8.76,3.26,0.71,4.38
45,B022,"Red gram, whole (Cajanus cajan)",6,3.28,3.38,6.88,7.07,0.92,0.91,8.71,3.38,0.75,4.17
46,B023,Ricebean (Vigna umbellata ),1,3.23,3.8,7.86,6.75,1.12,1.02,7.56,3.52,0.82,5.23
47,B024,"Soya bean, brown (Glycine max)",6,2.40,4.57,8.27,7.67,1.46,1.56,4.73,3.47,1.59,5.04
48,B025,"Soya bean, white (Glycine max)",1,2.55,4.59,8.14,7.18,1.55,1.44,5.01,3.88,1.68,5.53
49,C001,Agathi leaves (Sesbania grandiflora),1,2.39,2.8,7.58,7.62,1.28,0.85,6.03,5.39,1.77,5.99
50,C002,"Amaranth leaves, green (Amaranthus gangeticus)",6,2.12,4.39,8.04,5.48,1.38,0.82,5.68,4.16,1.01,5.03
51,C003,"Amaranth leaves, red (Amaranthus gangeticus)",1,2.01,4.31,8.2,5.58,1.63,0.96,4.77,4.04,1.2,5.24
52,C004,"Amaranth leaves, red and green (Amaranthus gangeticus)",4,2.15,4.33,8.40,5.26,1.44,1.06,5.88,4.39,1.08,4.98
53,C005,"Amaranth spinosus, leaves, green (Amaranthus spinosus)",4,1.95,4.05,7.66,4.99,1.25,0.71,5.00,4.40,0.89,4.18
54,C006,"Amaranth spinosus, leaves, red and green (Amaranthus spinosus)",2,1.9,3.03,7.57,4.74,1.1,0.75,4.34,4.44,1.17,4.12
55,C007,Basella leaves (Basella alba),2,2.2,3.3,7.68,5.16,0.9,0.79,4.17,4.01,1.88,3.88
56,C008,Bathua leaves (Chenopodium album),2,1.76,4.83,8.99,3.77,1.77,0.89,5.73,4.95,1.08,6.07
57,C009,Beet greens (Beta vulgaris),6,1.59,2.62,5.17,4.34,0.76,0.92,3.63,3.76,0.82,4.27
58,C010,"Betel leaves, big (kolkata) (Piper betle)",6,0.80,2.05,7.87,2.30,0.72,0.42,4.58,4.25,1.00,3.46
59,C011,"Betel leaves, small (Piper betle)",4,0.81,2.59,7.86,2.27,0.76,0.38,4.73,4.57,0.69,3.93
60,C012,Brussels sprouts (Brassica oleracea var. gemmifera),1,1.79,3.58,5.04,3.5,1.34,0.67,3.23,4.3,0.93,4.74
61,C013,"Cabbage, Chinese (Brassica rupa)",1,1.97,5.72,5.69,5.78,1.06,0.94,3.27,4.01,1.24,5.4
62,C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",1,1.62,3.81,6.67,3.62,1.11,0.91,4.56,4.04,1.24,5.64
63,C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",6,1.56,3.56,5.31,3.12,1.06,0.90,2.56,3.76,0.93,4.83
64,C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",2,1.62,3.56,5.31,2.85,0.85,0.63,2.21,2.67,0.82,5.47
65,C017,Cauliflower leaves (Brassica oleracea var. botrytis),6,1.88,3.37,5.36,4.01,0.99,0.68,4.16,4.01,1.12,4.93
66,C018,"Colocasia leaves, green (Colocasia anti-quorum)",6,3.40,3.51,7.45,4.26,1.79,1.07,4.43,4.53,1.01,4.64
67,C019,Drumstick leaves (Moringa oleifera),3,2.06,3.10,6.70,4.38,0.92,0.75,6.45,3.75,1.27,4.38
68,C020,Fenugreek leaves (Trigonella foenum graecum),5,2.40,4.47,7.50,5.88,1.28,0.74,5.52,4.90,0.99,6.27
69,C021,Garden cress (Lepidium sativum),2,1.42,4.51,9.23,4.54,1.95,0.67,4.72,4.95,1.26,6.17
70,C022,"Gogu leaves, green (Hibiscus cannabinus)",4,2.61,3.64,7.60,5.61,1.31,0.73,5.04,4.63,1.07,4.55
71,C023,"Gogu leaves, red (Hibiscus cannabinus)",1,2.72,4.34,8.6,6.03,1.76,0.86,5.65,5.1,1.04,6.02
72,C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",2,1.96,4.31,7.2,4.27,1.37,0.95,4.93,4.45,1.05,5.7
73,C025,Lettuce (Lactuca sativa),3,1.74,3.49,6.90,5.22,0.95,0.87,3.61,4.50,1.23,4.95
74,C026,Mustard leaves (Brassica juncea),3,1.91,3.22,6.57,5.42,0.74,1.02,3.53,4.08,1.31,3.52
75,C027,Pak Choi leaves(Brassica rapa var. Chinensis),1,2.48,3.78,7.98,6.26,1.96,1.12,5.89,5.03,1.23,5.67
76,C028,Parsley (Petroselinum crispum),3,1.76,4.78,7.82,5.75,1.32,0.87,5.31,4.91,1.68,6.19
77,C029,Ponnaganni (Alternanthera sessilis),2,1.87,4.89,8.77,5.01,1.58,0.93,5.41,5.35,1.18,5.95
78,C030,"Pumpkin leaves, tender (Cucurbita maxima)",6,1.63,5.27,8.85,4.90,0.99,0.85,6.40,4.52,1.76,5.82
79,C031,Radish leaves (Raphanus sativus),6,1.96,3.59,6.89,5.34,1.01,0.86,6.00,3.99,1.39,4.26
80,C032,Rumex leaves (Rumex patientia ),2,2.84,3.57,6.82,4.46,0.88,0.59,7.92,4.69,1.24,3.97
81,C033,Spinach (Spinacia oleracea),6,2.18,4.31,8.70,4.68,1.33,0.84,5.38,4.70,1.53,5.83
82,C034,"Tamarind leaves, tender (Tamarindus indica)",3,2.19,4.20,8.70,4.69,1.26,0.63,4.86,4.64,1.47,5.65
83,D001 ,Ash gourd (Benincasa hispida) ,6,2.58 ,4.31 ,5.67 ,3.39 ,1.56 ,0.83 ,3.22 ,3.65 ,0.72 ,5.11
84,D002,"Bamboo shoot, tender (Bambusa vulgaris)",1,1.73,2.19,6.24,4.82,1.04,0.49,5.57,3.9,0.95,3.69
85,D003,"Bean scarlet, tender (Phaseolus coccineus)",5,3.23,3.96,8.31,6.70,1.46,0.62,5.13,4.43,0.88,4.54
86,D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",6,3.53,4.74,7.40,6.13,1.55,0.94,2.60,4.83,1.28,6.49
87,D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",4,3.17,4.71,7.19,6.63,1.49,0.98,3.15,4.72,1.42,6.51
88,D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1,3.71,4.85,7.4,6.45,1.62,0.85,2.98,4.61,1.32,6.76
89,D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",6,1.80,4.98,7.74,4.81,0.94,0.57,3.73,4.18,1.60,6.58
90,D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",5,2.10,5.20,7.80,4.97,0.97,0.60,3.41,4.62,1.67,6.64
91,D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",1,2.16,5.19,7.88,5.02,0.88,0.7,3.71,4.62,1.46,6.98
92,D010,Brinjal-1 (Solanum melongena),1,1.58,3.75,5.49,4.49,0.62,0.66,4.73,2.5,1.12,3.32
93,D011,Brinjal-2 (Solanum melongena),1,1.57,3.23,4.53,4.03,0.8,0.76,4.4,2.54,0.66,4.15
94,D012,Brinjal-3 (Solanum melongena),2,1.98,3.8,5.53,3.87,0.88,0.67,5.42,3.08,0.68,5.2
95,D013,Brinjal-4 (Solanum melongena),4,2.36,3.79,5.18,4.24,0.78,0.79,4.30,2.86,0.78,4.15
96,D014,Brinjal-5 (Solanum melongena),3,1.67,3.99,6.14,3.82,0.95,0.79,4.52,3.23,0.72,5.39
97,D015,Brinjal-6 (Solanum melongena),2,2.31,3.14,5.77,3.67,0.76,0.63,4.6,2.69,0.68,3.86
98,D016,Brinjal-7 (Solanum melongena),1,2.11,3.44,6.18,4.25,0.95,0.99,4.85,3.03,0.7,4.72
99,D017,Brinjal-8(Solanum melongena),3,2.47,4.62,6.84,5.27,0.94,0.76,4.84,2.94,0.60,5.77
100,D018,Brinjal-9(Solanum melongena),2,2.39,4.44,6.51,4.94,1.03,0.81,4.31,2.97,0.75,5.66
101,D019,Brinjal-10 (Solanum melongena),2,1.72,3.38,5.63,3.93,0.59,0.59,4.46,2.71,1.07,4.5
102,D020,Brinjal-11 (Solanum melongena),6,1.79,3.35,5.24,3.15,0.81,0.79,4.75,3.04,0.73,4.36
103,D021,Brinjal-12 (Solanum melongena),2,2.71,3.98,5.68,4.06,1,0.51,4.43,3.33,0.71,5.42
104,D022,Brinjal-13(Solanum melongena),1,2.3,4.12,5.77,4.66,0.76,0.84,5.47,3.43,0.8,5.98
105,D023,Brinjal-14(Solanum melongena),3,2.12,3.98,5.34,4.26,0.84,0.63,4.29,2.84,0.90,4.82
106,D024,Brinjal-15 (Solanum melongena),4,1.64,3.09,5.10,3.55,0.70,0.53,4.51,2.85,0.91,4.48
107,D025,Brinjal-16(Solanum melongena),1,2.21,3.9,6.04,3.23,0.78,0.59,3.52,2.92,0.73,4.84
108,D026,Brinjal-17(Solanum melongena),1,2.24,3.79,5.6,4.7,0.8,0.84,4.35,3.08,0.89,4.97
109,D027,Brinjal-18 (Solanum melongena),3,1.67,3.14,5.45,3.29,0.60,0.49,4.41,2.51,0.89,3.31
110,D028,Brinjal-19(Solanum melongena),3,1.93,3.73,6.23,3.90,0.84,0.63,4.63,2.95,0.83,3.75
111,D029,Brinjal-20(Solanum melongena),5,1.88,3.63,5.70,3.35,0.97,0.77,5.69,3.07,0.86,4.81
112,D030,Brinjal-21(Solanum melongena),2,2.07,3.15,5.44,3.4,0.68,0.71,4.87,3.24,0.97,4.6
113,D031,Brinjal - all varieties (Solanum melongena),6,1.98,3.63,5.61,3.81,0.82,0.71,4.70,2.96,0.80,4.60
114,D032,Broad beans (Vicia faba),3,3.16,4.28,7.63,5.66,0.65,0.55,3.86,3.40,0.88,5.41
115,D033,"Capsicum, green (Capsicum annuum)",6,1.72,3.79,5.68,3.47,1.24,0.98,3.49,4.05,0.96,5.17
116,D034,"Capsicum, red (Capsicum annuum)",4,1.16,3.61,5.40,3.67,1.10,1.13,3.16,4.14,0.92,5.17
117,D035,"Capsicum, yellow (Capsicum annuum)",4,1.13,3.92,5.29,3.80,1.18,1.19,2.98,4.31,0.99,5.24
118,D036,Cauliflower (Brassica oleracea),6,1.80,3.84,6.01,4.13,1.01,0.56,3.88,4.02,1.06,5.81
119,D037,Celery stalk (Apium graveolens),3,1.43,2.93,4.44,3.32,0.90,0.45,2.92,3.71,1.15,4.64
120,D038,Cho-cho-marrow (Sechium edule),4,1.82,4.72,8.64,3.56,1.29,0.70,4.65,4.57,0.86,6.71
121,D039,Cluster beans (Cyamopsis tetragonobola),6,1.75,2.68,4.68,3.09,0.82,1.02,2.99,3.27,0.91,3.96
122,D040,"Colocasia, stem, black (Colocasia antiquorum)",1,2.28,4.1,7.53,4.09,1.22,1.51,4.06,4.28,0.75,5.96
123,D041,"Colocasia, stem, green (Colocasia antiquorum)",5,2.37,4.26,7.20,3.33,1.20,0.80,4.14,4.22,0.73,5.96
124,D042,"Corn, Baby (Zea mays)",6,2.13,4.35,8.03,3.36,1.59,1.27,4.85,4.83,0.96,4.87
125,D043,"Cucumber, green, elongate (Cucumis sativus)",6,1.92,4.14,6.94,3.15,1.06,0.64,3.17,3.13,0.27,6.09
126,D044,"Cucumber, green, short (Cucumis sativus)",6,1.84,3.77,6.11,3.38,0.87,0.79,4.14,3.14,0.66,5.22
127,D045,"Cucumber, orange, round (Cucumis sativus)",2,1.8,4.74,6.43,3.28,0.75,0.76,4.43,3.7,0.52,6.13
128,D046,Drumstick (Moringa oleifera),6,1.95,3.08,5.98,3.09,1.10,0.89,3.43,3.83,0.53,5.02
129,D047,"Field beans, tender, broad (Vicia faba)",2,2.63,4.05,8.19,4.61,0.83,0.59,4.57,3.68,0.75,5.1
130,D048,"Field beans, tender, lean (Vicia faba)",6,2.75,4.30,8.20,5.35,0.94,0.62,4.73,3.76,0.80,5.21
131,D049,"French beans, country (Phaseolus vulgaris)",5,3.01,3.79,7.29,4.77,0.83,0.60,4.04,4.39,0.96,5.38
132,D050,"French beans, hybrid (Phaseolus vulgaris)",2,2.57,4.35,6.71,4.83,1.07,0.53,4.22,4.32,0.8,5.98
133,D051,"Jack fruit, raw (Artocarpus heterophyllus)",5,1.86,4.90,6.60,2.99,0.79,0.65,3.96,4.16,0.53,5.65
134,D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",5,1.69,5.50,7.19,3.73,0.94,0.55,6.22,5.46,0.94,6.86
135,D053,Knol - Khol (Brassica oleracea),6,0.91,3.40,4.04,2.50,0.96,0.71,1.90,3.30,0.78,5.31
136,D054,"Kovai, big (Coccinia cordifolia)",6,1.91,4.10,7.32,7.05,0.94,0.66,3.87,4.17,0.93,4.97
137,D055,"Kovai, small (Coccinia cordifolia)",1,1.83,3.88,7.14,6.38,0.9,0.69,4.16,4.2,0.85,5.05
138,D056,Ladies finger (Abelmoschus esculentus),6,2.42,3.26,5.04,3.79,0.81,0.57,3.44,3.75,0.49,4.46
139,D057,"Mango, green, raw (Mangifera indica)",6,2.83,4.44,7.90,5.34,1.37,0.71,3.75,4.19,1.06,5.79
140,D058,"Onion, stalk (Allium cepa)",6,2.16,4.88,8.05,6.50,1.21,0.46,4.09,4.74,1.07,5.90
141,D059,"Papaya, raw (Carica papaya)",6,0.97,1.57,3.22,3.82,0.63,3.77,3.91,2.85,1.00,3.16
142,D060,Parwar (Trichosanthes dioica),6,1.75,4.41,7.22,5.89,1.33,0.86,3.86,3.82,0.59,5.95
143,D061,"Peas, fresh (Pisum sativum)",6,2.15,3.33,7.63,5.72,0.63,0.64,5.02,4.08,0.84,4.23
144,D062,"Plantain, flower (Musa x paradisiaca)",6,2.31,3.63,7.06,2.81,0.81,0.65,3.68,4.43,0.81,4.75
145,D063,"Plantain, green (Musa x paradisiaca)",6,2.45,2.59,4.98,3.70,0.80,0.67,5.32,2.93,0.68,5.51
146,D064,"Plantain, stem (Musa x paradisiaca)",6,1.91,4.92,4.59,2.99,1.57,0.99,4.50,4.86,0.67,5.84
147,D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",1,2.18,4.54,5.41,3.4,0.96,0.6,2.84,3.47,0.73,5.97
148,D066,"Pumpkin, orange, round (Cucurbita maxima)",6,1.68,5.00,5.32,3.20,1.03,0.68,4.91,3.85,0.77,6.05
149,D067,"Red gram, tender, fresh (Cajanus cajan)",1,3.14,3.31,4.89,6.21,0.41,0.75,8.56,3.87,0.99,4.3
150,D068,Ridge gourd (Luffa acutangula),6,1.87,4.60,5.34,4.78,0.98,0.40,4.21,3.68,0.72,5.95
