,code,name,regn,ala,arg,asp,glu,gly,pro,ser,tyr
0,A001,"Amaranth seed, black (Amaranthus cruentus)",1,4.26,7.77,12.57,16.12,8.5,3.76,7.79,2.85
1,A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,3.83,7.21,12.70,17.39,8.28,3.83,7.27,3.10
2,A003,Bajra (Pennisetum typhoideum),6,7.68,4.54,7.77,17.42,3.52,5.30,4.44,2.67
3,A004,Barley (Hordeum vulgare),6,4.20,5.22,6.51,26.75,4.03,9.79,4.80,2.68
4,A005,Jowar (Sorghum vulgare),6,9.19,3.96,7.09,21.54,3.08,6.99,4.02,3.61
5,A006,"Maize, dry (Zea mays)",6,7.73,4.20,6.55,19.39,3.27,7.88,4.58,3.71
6,A007,"Maize, tender, local (Zea mays)",6,9.90,3.05,9.24,20.05,4.50,7.91,6.07,3.15
7,A008,"Maize, tender, sweet (Zea mays)",4,7.61,3.63,8.55,18.72,4.65,8.60,5.62,3.26
8,A009,Quinoa(Chenopodium quinoa),1,4.35,7.85,8.4,13.75,4.8,5.67,4.56,1.98
9,A010,Ragi (Eleusine coracana),5,6.71,4.33,6.40,20.22,3.59,5.42,4.81,3.37
10,A011,Rice flakes (Oryza sativa ),6,6.34,7.62,9.20,18.60,4.35,4.27,4.78,3.75
11,A012,Rice puffed (Oryza sativa ),6,6.19,7.04,8.79,17.96,4.03,4.04,4.62,4.13
12,A013,"Rice, raw, brown (Oryza sativa )",6,6.60,7.69,8.68,18.75,4.28,4.33,4.64,4.36
13,A014,"Rice, parboiled, milled (Oryza sativa )",6,5.60,7.95,8.51,19.22,4.19,4.04,4.60,4.43
14,A015,"Rice, raw, milled (Oryza sativa )",6,5.51,7.72,8.73,18.92,4.18,4.31,4.95,4.36
15,A016,Samai (Panicum miliare),6,8.60,5.96,5.51,20.22,3.43,6.04,5.60,3.43
16,A017,Varagu (Setaria italica),5,11.00,3.18,5.61,18.25,3.12,7.33,5.50,3.87
17,A018,"Wheat flour, refined (Triticum aestivum)",6,2.98,3.49,4.63,31.57,3.21,9.23,4.77,2.62
18,A019,"Wheat flour, atta (Triticum aestivum)",6,3.88,4.70,5.06,29.61,3.76,10.27,4.73,2.10
19,A020,"Wheat, whole (Triticum aestivum)",6,3.64,5.13,5.44,27.06,4.19,10.25,4.80,3.12
20,A021,"Wheat, bulgur (Triticum aestivum)",6,3.48,5.36,5.15,30.48,4.27,10.49,4.87,2.46
21,A022,"Wheat, semolina (Triticum aestivum)",6,3.46,4.34,4.94,31.05,3.50,9.49,4.44,3.00
22,A023,"Wheat, vermicelli (Triticum aestivum)",6,3.59,2.98,5.39,31.96,4.54,9.89,5.33,2.18
23,A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,3.74,2.84,4.78,34.08,4.35,9.43,5.35,1.92
24,B001 ,"Bengal gram, dal (Cicer arietinum) ",6,4.11 ,8.83 ,11.73 ,16.52 ,3.46 ,3.53 ,4.56 ,2.72
25,B002,"Bengal gram, whole (Cicer arietinum)",6,4.67,8.59,11.78,17.27,3.95,3.74,5.10,2.88
26,B003,"Black gram, dal (Phaseolus mungo)",6,4.73,6.25,11.96,18.38,3.38,3.73,5.54,3.04
27,B004,"Black gram, whole (Phaseolus mungo)",6,4.64,6.06,13.12,19.00,3.80,4.03,5.29,3.06
28,B005,"Cowpea, brown (Vigna catjang)",6,4.24,7.10,10.11,19.02,4.69,4.60,4.44,2.83
29,B006,"Cowpea, white (Vigna catjang)",1,5.06,7.44,11.01,18.2,4.09,4.05,4.8,3.25
30,B007,"Field bean, black (Phaseolus vulgaris)",1,5.47,7.49,10.47,17.14,4.74,4.43,5.76,4
31,B008,"Field bean, brown (Phaseolus vulgaris)",1,5.37,7.71,10.07,17.28,4.25,4.43,5.61,3.85
32,B009,"Field bean, white (Phaseolus vulgaris)",5,5.19,7.01,10.61,16.59,4.04,4.24,5.51,3.84
33,B010,"Green gram, dal (Phaseolus aureus)",6,4.59,6.51,12.10,17.43,3.70,3.67,5.01,2.95
34,B011,"Green gram, whole (Phaseolus aureus)",6,4.94,6.62,10.99,18.59,3.78,4.07,5.50,2.83
35,B012,"Horse gram, whole (Dolicus biflorus)",6,4.60,5.87,11.24,18.54,4.03,3.72,5.19,3.18
36,B013,Lentil dal (Lens culinaris),6,4.45,7.92,12.69,18.31,3.67,3.63,4.90,2.95
37,B014,"Lentil whole, brown (Lens culinaris)",6,5.75,7.44,12.48,17.25,4.78,5.01,5.51,2.40
38,B015,"Lentil whole, yellowish (Lens culinaris)",2,5.59,7.74,12.93,16.48,4.89,4.5,5.68,2.81
39,B016,Moth bean (Vigna aconitifolia),6,5.00,7.68,10.54,16.89,3.68,3.95,5.04,2.92
40,B017,"Peas, dry (Pisum sativum)",6,4.51,8.09,11.34,17.52,4.19,3.73,4.83,3.25
