,code,name,regn,oxalt,oxals,oxali,caconac,citac,fumac,malac,quinac,sucac,tarac
0,A001,"Amaranth seed, black (Amaranthus cruentus)",1,226,37.43,188,0,8.64,0.15,45.78,75.53,1.47,0
1,A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,209,32.30,177,0.14,7.93,0.14,47.16,75.06,1.89,0
2,A003,Bajra (Pennisetum typhoideum),6,53.13,43.49,9.88,0.08,0,1.99,0.86,0,0.02,0
3,A004,Barley (Hordeum vulgare),6,10.98,8.73,2.04,1.43,0,0,0.90,0.52,0.17,3.24
4,A005,Jowar (Sorghum vulgare),6,28.38,24.62,1.72,0,0,1.84,0.51,0,3.88,0
5,A006,"Maize, dry (Zea mays)",6,15.26,14.19,2.73,0,0,0.66,0.93,0.84,1.50,0.94
6,A007,"Maize, tender, local (Zea mays)",6,5.20,3.98,0.92,0.29,0,0.46,0.73,1.83,1.22,4.35
7,A008,"Maize, tender, sweet (Zea mays)",4,1.67,1.45,0.34,0.26,0,0.78,0.64,4.56,1.90,2.24
8,A009,Quinoa (Chenopodium quinoa),1,82.94,42.22,40.72,0,0,25.07,0.23,0,2.07,0
9,A010,Ragi (Eleusine coracana),5,39.58,31.16,8.58,0,0,0.20,0.75,0,1.89,1.60
10,A011,Rice flakes (Oryza sativa ),6,10.97,8.52,2.45,0,0,1.28,0.48,0,1.35,0
11,A012,Rice puffed (Oryza sativa ),6,6.27,5.59,0.68,0,0,0.49,0.45,0,1.30,0
12,A013,"Rice, raw, brown (Oryza sativa )",6,12.06,9.30,1.96,0,0,1.72,0.50,0,1.85,0
13,A014,"Rice, parboiled, milled (Oryza sativa )",6,5.02,3.70,1.10,0,0,0.05,0.49,0,1.61,0
14,A015,"Rice, raw, milled (Oryza sativa )",6,1.92,1.58,0.35,0,0,0.07,0.48,0,1.54,0
15,A016,Samai (Panicum miliare),6,6.74,5.40,1.61,0,0,0.37,0.51,0,2.35,6.07
16,A017,Varagu (Setaria italica),5,3.48,2.57,0.65,0.21,0,0.26,0.45,0,1.87,0
17,A018,"Wheat flour, refined (Triticum aestivum)",6,20.22,11.02,9.20,0,0,1.07,0.02,5.57,1.05,1.07
18,A019,"Wheat flour, atta (Triticum aestivum)",6,52.38,26.20,24.18,0,0,1.50,0.02,6.49,1.15,1.41
19,A020,"Wheat, whole (Triticum aestivum)",6,52.46,25.55,26.96,0,0,1.61,0.03,6.16,1.48,1.72
20,A021,"Wheat, bulgur (Triticum aestivum)",6,40.23,25.27,14.96,0,0,1.57,0.02,6.42,1.54,1.43
21,A022,"Wheat, semolina (Triticum aestivum)",6,28.43,22.74,5.90,0,0,1.04,0.02,5.81,1.09,1.21
22,A023,"Wheat, vermicelli (Triticum aestivum)",6,23.84,18.86,5.57,4.20,0,1.20,0.02,4.86,0.97,0.62
23,A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,21.91,17.55,5.66,2.89,0,1.05,0.02,4.13,0.83,0.64
24,B001 ,"Bengal gram, dal (Cicer arietinum) ",6,6.49 ,5.29 ,1.20 ,0,0,55.58 ,0.52 ,0,0.74,0
25,B002,"Bengal gram, whole (Cicer arietinum)",6,7.14,5.57,1.70,0,0,81.17,0.71,0,1.56,0
26,B003,"Black gram, dal (Phaseolus mungo)",6,43.78,24.50,19.68,0,0,1.65,0.54,0,0.79,0
27,B004,"Black gram, whole (Phaseolus mungo)",6,56.25,34.17,22.09,0,0,18.01,0.60,0,2.16,0
28,B005,"Cowpea, brown (Vigna catjang)",6,14.34,10.83,2.55,0.02,0,1.54,0.68,0,5.38,0
29,B006,"Cowpea, white (Vigna catjang)",1,17.23,1.29,15.94,0.02,0,1.21,0.82,0,1.35,0
30,B007,"Field bean, black (Phaseolus vulgaris)",1,1.28,1.1,0.18,0,0,3.83,0.44,0,6.84,0
31,B008,"Field bean, brown (Phaseolus vulgaris)",1,1.26,1.1,0.16,0,0,2.24,0.52,0,4.52,0
32,B009,"Field bean, white (Phaseolus vulgaris)",5,1.23,0.97,0.31,0,0,3.12,0.89,0,1.67,0
33,B010,"Green gram, dal (Phaseolus aureus)",6,2.46,1.94,0.52,0,0,2.16,1.50,0,1.33,0
34,B011,"Green gram, whole (Phaseolus aureus)",6,12.29,10.57,1.72,0,0,5.98,1.84,0,1.34,0
35,B012,"Horse gram, whole (Dolicus biflorus)",6,181,144,38.36,0,0,37.04,0.37,0,0.68,0
36,B013,Lentil dal (Lens culinaris),6,10.46,8.42,2.04,0,0,2.77,0.18,21.37,0.70,0.12
37,B014,"Lentil whole, brown (Lens culinaris)",6,10.74,8.71,3.04,1.56,0,0.04,0.50,25.17,1.57,10.13
38,B015,"Lentil whole, yellowish (Lens culinaris)",2,13.88,10.76,3.38,1.35,0,0.1,0.68,23.29,1.31,12.95
39,B016,Moth bean (Vigna aconitifolia),6,36.11,28.72,10.15,0,0,2.25,0.71,0,4.25,0
40,B017,"Peas, dry (Pisum sativum)",6,8.89,6.75,2.35,2.98,0,1.32,0.82,83.15,3.48,0
41,B018,"Rajmah, black (Phaseolus vulgaris)",2,48.66,45.46,3.2,0,0,2.72,1.2,0,3.71,0
42,B019,"Rajmah, brown (Phaseolus vulgaris)",6,43.41,33.48,8.16,0,0,2.40,0.73,0,3.48,0
43,B020,"Rajmah, red (Phaseolus vulgaris)",3,41.44,38.84,2.60,0,0,2.19,0.67,0,3.76,0
44,B021,"Red gram, dal (Cajanus cajan)",6,1.41,1.20,0.22,0,0,0.48,0.56,3.28,0.55,2.02
45,B022,"Red gram, whole (Cajanus cajan)",6,1.65,1.33,0.32,0,0,4.13,1.53,4.03,1.55,2.20
46,B023,Ricebean (Vigna umbellata ),1,391,70.36,321,0,0,20.05,3.86,0,0.4,0
47,B024,"Soya bean, brown (Glycine max)",6,122,8.19,114,0,0,31.91,1.34,0,0.82,0
48,B025,"Soya bean, white (Glycine max)",1,119,8.18,111,0,0.08,33.52,1.32,0,0.89,0
49,C001,Agathi leaves (Sesbania grandiflora),1,179,8.06,171,0,2.46,7.26,7.59,0,3.27,0
50,C002,"Amaranth leaves, green (Amaranthus gangeticus)",6,779,198,582,0,2.70,3.64,5.03,0,3.78,0
51,C003,"Amaranth leaves, red (Amaranthus gangeticus)",1,823,185,438,0,2.79,2.99,4.52,0,2.98,0
52,C004,"Amaranth leaves, red and green (Amaranthus gangeticus)",4,676,188,489,0,2.76,2.87,5.97,0,2.39,0
53,C005,"Amaranth spinosus, leaves, green (Amaranthus spinosus)",4,1073,81.78,991,6.11,2.58,11.15,3.84,0,0,0
54,C006,"Amaranth spinosus, leaves, red and green (Amaranthus spinosus)",2,1045,90.2,955,6.19,2.52,15.45,4.67,0,3.39,0
55,C007,Basella leaves (Basella alba),2,170,35.47,133,0,8.18,0.33,1.4,0,4.72,0
56,C008,Bathua leaves (Chenopodium album),2,1077,228,850,3.08,8.64,0.46,5.53,0,1.32,0
57,C009,Beet greens (Beta vulgaris),6,127,34.98,92.38,0,2.27,0.32,3.17,0,62.38,0
58,C010,"Betel leaves, big (kolkata) (Piper betle)",6,493,151,342,0,2.27,0.58,6.25,0.27,10.74,145
59,C011,"Betel leaves, small (Piper betle)",4,577,183,393,0,1.65,0.27,5.39,0.32,12.62,51.07
60,C012,Brussels sprouts (Brassica oleracea var. gemmifera),1,12.4,4.67,7.73,0,2.63,2.24,4.07,0,11.56,0
61,C013,"Cabbage, Chinese (Brassica rupa)",1,16.55,1.85,14.77,0,67.54,0.41,5.65,88.3,85,0
62,C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",1,9.42,0.8,8.62,0.03,45.82,0.81,0.55,58.3,89.66,2.98
63,C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",6,2.88,0.53,2.35,0.04,64.87,0.82,0.22,90.09,90.00,2.04
64,C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",2,2.7,0.26,2.45,0.02,61.73,0.78,0.62,37.25,88.78,2.43
65,C017,Cauliflower leaves (Brassica oleracea var. botrytis),6,172,10.10,162,0,62.21,0.35,1.82,3.45,48.86,4.20
66,C018,"Colocasia leaves, green (Colocasia anti-quorum)",6,701,208,492,0,19.37,3.95,56.27,0,212,0
67,C019,Drumstick leaves (Moringa oleifera),3,120,13.69,107,0,19.22,0,88.40,105,101,0
68,C020,Fenugreek leaves (Trigonella foenum graecum),5,34.29,9.08,25.21,0,32.26,8.41,130,189,16.47,0
69,C021,Garden cress (Lepidium sativum),2,115,30.47,84.15,0,7.13,5.64,85.23,0,152,0
70,C022,"Gogu leaves, green (Hibiscus cannabinus)",4,177,33.01,144,7.51,3.99,11.56,40.77,102,25.25,0
71,C023,"Gogu leaves, red (Hibiscus cannabinus)",1,187,31.86,155,6.86,3.42,11.82,34.63,105,22.4,0
72,C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",2,2.92,1.88,1.04,0,5.47,3.87,38.98,0,26.96,0
73,C025,Lettuce (Lactuca sativa),3,364,72.08,292,0,9.24,1.99,63.28,12.74,60,0
74,C026,Mustard leaves (Brassica juncea),3,1.69,1.49,0.20,0,4.62,4.07,0.68,0,22.73,0
75,C027,Pak Choi leaves (Brassica rapa Chinensis),1,14.35,2.15,12.2,0,35.85,1.01,1.82,4.75,79.88,3.14
76,C028,Parsley (Petroselinum crispum),3,128,11.50,116,113,1.36,0.83,113,0,104,0
