,code,name,regn,chlrac,ferac,apigen,apigen6cgls,apigen7onshps,luteol,kaemf,querce,querce3bdgls,querce3ortns
0,A001,"Amaranth seed, black (Amaranthus cruentus)",1,0.21,2.13,0,0,0,0,0,0,0,0
1,A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,0.10,0.59,0,0,0,0,0,0,0,0
2,A003,Bajra (Pennisetum typhoideum),6,0.08,1.39,0,0,0,1.11,0.14,0,0,0
3,A004,Barley (Hordeum vulgare),6,2.75,0.60,0,0,0,0,0,0,0,0
4,A005,Jowar (Sorghum vulgare),6,4.04,1.59,0.07,0,0,0,0,0,0,0
5,A006,"Maize, dry (Zea mays)",6,1.01,1.43,0,0,0,0,0,0,0,0
6,A007,"Maize, tender, local (Zea mays)",6,0.92,0.38,0,0,0,0,0,0,0,0
7,A008,"Maize, tender, sweet (Zea mays)",4,0.87,1.39,0,0,0,0,0,0,0,0
8,A009,Quinoa(Chenopodium quinoa),1,0,0,0,0,0.13,0.19,3.6,1.9,3.4,4.4
9,A010,Ragi (Eleusine coracana),5,0,0,2.58,0,10.45,0,0,0,0,0
10,A011,Rice flakes (Oryza sativa ),6,0.70,0.07,0,0,0,0,0,0,0,0
11,A012,Rice puffed (Oryza sativa ),6,0.06,0.02,0,0,0,0,0,0,0,0
12,A013,"Rice, raw, brown (Oryza sativa )",6,0.06,0.02,0,0,0,0,0,0,0,0
13,A014,"Rice, parboiled, milled (Oryza sativa )",6,0.28,0.62,0,0,0,0,0,0,0,0
14,A015,"Rice, raw, milled (Oryza sativa )",6,0.65,0.59,0,0,0,0,0,0,0,0
15,A016,Samai (Panicum miliare),6,2.79,0.39,0,0,0,0,0,0,0,0
16,A017,Varagu (Setaria italica),5,0,0,0,0,0,0,0.07,0,0,0
17,A018,"Wheat flour, refined (Triticum aestivum)",6,0.16,0.04,0,0.07,0,0,0,0,0,0
18,A019,"Wheat flour, atta (Triticum aestivum)",6,0.71,0.14,0,0.31,0,0,0,0,0,0
19,A020,"Wheat, whole (Triticum aestivum)",6,0.76,0.15,0,0.30,0,0,0,0,0,0
20,A021,"Wheat, bulgur (Triticum aestivum)",6,0.73,0.15,0,0.26,0,0,0,0,0,0
21,A022,"Wheat, semolina (Triticum aestivum)",6,0.28,0.05,0.03,0.04,0,0,0,0,0,0
22,A023,"Wheat, vermicelli (Triticum aestivum)",6,0.24,0.03,0,0.03,0,0,0,0,0,0
23,A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,0.03,0.03,0,0.03,0,0,0,0,0,0
