,code,name,regn,epicategc,epicatgc3gal,catec,galcatecgal,galcatec,syrgac,sinpac,ellgac,polyph
0,A001,"Amaranth seed, black (Amaranthus cruentus)",1,0,0,0,0,0,0,0,0,12.5
1,A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,0,0,0,0,0,0,0,0,11.75
2,A003,Bajra (Pennisetum typhoideum),6,0,0,0,0,0,0,0,0,67.71
3,A004,Barley (Hordeum vulgare),6,0,0,1.28,0,0,0,0,0,23.47
4,A005,Jowar (Sorghum vulgare),6,0,0,0,0,0,0,0,0,23.25
5,A006,"Maize, dry (Zea mays)",6,0,0,0,0,0,0,0,0,32.92
6,A007,"Maize, tender, local (Zea mays)",6,0,0,0,0,0,0,0,0,19.00
7,A008,"Maize, tender, sweet (Zea mays)",4,0,0,0,0,0,0,0,0,1.54
8,A009,Quinoa(Chenopodium quinoa),1,0,0,0,0,0,0,65.72,0,74
9,A010,Ragi (Eleusine coracana),5,0,0,15.52,0,0,0,0.28,0,135
10,A011,Rice flakes (Oryza sativa ),6,0,0,0,0,0,0.07,0.06,0,3.16
11,A012,Rice puffed (Oryza sativa ),6,0,0,0,0,0,0.03,0.07,0,2.76
12,A013,"Rice, raw, brown (Oryza sativa )",6,0,0,0,0,0,0.03,0.07,0,2.81
13,A014,"Rice, parboiled, milled (Oryza sativa )",6,0,0,0,0,0,0.56,0.11,0,6.93
14,A015,"Rice, raw, milled (Oryza sativa )",6,0,0,0,0,0,0.07,0.08,0,3.14
15,A016,Samai (Panicum miliare),6,0,0,0,0,0,0,0,0,14.24
16,A017,Varagu (Setaria italica),5,0,0,0,0,0,0,0,0,0.53
17,A018,"Wheat flour, refined (Triticum aestivum)",6,0,0,0,0,0,0.02,0.06,0,5.17
18,A019,"Wheat flour, atta (Triticum aestivum)",6,0,0,0,0,0,0.04,0.13,0,13.98
19,A020,"Wheat, whole (Triticum aestivum)",6,0,0,0,0,0,0.07,0.12,0,14.33
20,A021,"Wheat, bulgur (Triticum aestivum)",6,0,0,0,0,0,0.06,0.11,0,9.53
21,A022,"Wheat, semolina (Triticum aestivum)",6,0,0,0,0,0,0.03,0.04,0,6.50
22,A023,"Wheat, vermicelli (Triticum aestivum)",6,0,0,0,0,0,0.03,0.03,0,5.55
23,A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,0,0,0,0,0,0.02,0.02,0,7.37
24,B001 ,"Bengal gram, dal (Cicer arietinum) ",6,0,0,0,0,0,5.68 ,0,0,14.13
25,B002,"Bengal gram, whole (Cicer arietinum)",6,0,0,0,0,0,6.00,0,0,64.28
26,B003,"Black gram, dal (Phaseolus mungo)",6,0,0,0,0,0,0,0.26,0,32.43
27,B004,"Black gram, whole (Phaseolus mungo)",6,0,0,0,0,0,0,1.55,0,168
28,B005,"Cowpea, brown (Vigna catjang)",6,0,0,0,0,0,0,0,0,59.65
29,B006,"Cowpea, white (Vigna catjang)",1,0,0,0,0,0,0,0,0,63.57
30,B007,"Field bean, black (Phaseolus vulgaris)",1,0,0,0,0,0,0,0,0,180
31,B008,"Field bean, brown (Phaseolus vulgaris)",1,0,0,0,0,0,0,0,0,172
32,B009,"Field bean, white (Phaseolus vulgaris)",5,0,0,0,0,0,0,0,0,170
33,B010,"Green gram, dal (Phaseolus aureus)",6,0,0,0,0,0,0,0,0,6.44
34,B011,"Green gram, whole (Phaseolus aureus)",6,0,0,0,0,0,0,0,0,90.74
35,B012,"Horse gram, whole (Dolicus biflorus)",6,0,0,0,0,0,0,0,0,332
36,B013,Lentil dal (Lens culinaris),6,0.06,0,0.11,0,0.03,0,7.17,4.10,14.94
37,B014,"Lentil whole, brown (Lens culinaris)",6,0.20,0,0.34,0,0.13,0,13.77,8.18,274
