,code,name,regn,rafs,stas,vers,ajgs,camt,stgstr,stostrb,phytac,sapon
0,A001,"Amaranth seed, black (Amaranthus cruentus)",1,0,0,0,0,1.75,8.24,61.36,393,1.42
1,A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,0,0,0,0,1.58,8.51,60.15,341,1.28
2,A003,Bajra (Pennisetum typhoideum),6,0.08,0.01,0,0,15.84,4.97,75.87,485,0
3,A004,Barley (Hordeum vulgare),6,0.06,0.01,0,0,6.16,1.17,42.83,386,0
4,A005,Jowar (Sorghum vulgare),6,0.02,0.01,0,0,21.59,5.31,38.27,549,0
5,A006,"Maize, dry (Zea mays)",6,0,0,0,0,12.49,4.22,87.70,646,0
6,A007,"Maize, tender, local (Zea mays)",6,0,0,0,0,5.78,2.91,43.81,148,0
7,A008,"Maize, tender, sweet (Zea mays)",4,0,0,0,0,5.63,2.63,41.71,221,0
8,A009,Quinoa (Chenopodium quinoa),1,0,0,0,0,0.91,1.89,46.1,120,0
9,A010,Ragi (Eleusine coracana),5,0.02,0,0,0,5.67,2.55,57.36,306,0
10,A011,Rice flakes (Oryza sativa ),6,0,0,0,0,3.48,2.15,21.26,474,0
11,A012,Rice puffed (Oryza sativa ),6,0,0,0,0,2.72,1.52,16.61,115,0
12,A013,"Rice, raw, brown (Oryza sativa )",6,0.08,0,0,0,3.22,1.73,17.21,742,0
13,A014,"Rice, parboiled, milled (Oryza sativa )",6,0.08,0,0,0,2.83,1.85,20.68,274,0
14,A015,"Rice, raw, milled (Oryza sativa )",6,0,0,0,0,2.68,1.75,21.86,266,0
15,A016,Samai (Panicum miliare),6,0.01,0,0,0,10.70,3.07,73.44,265,0.44
16,A017,Varagu (Setaria italica),5,0.02,0,0,0,3.08,4.40,37.03,452,0
17,A018,"Wheat flour, refined (Triticum aestivum)",6,0.35,0,0,0,3.77,0.53,25.63,123,0
18,A019,"Wheat flour, atta (Triticum aestivum)",6,0.47,0.04,0,0,6.21,0.77,36.60,632,0
19,A020,"Wheat, whole (Triticum aestivum)",6,0.47,0.05,0,0,9.73,1.42,55.25,638,0
20,A021,"Wheat, bulgur (Triticum aestivum)",6,0.35,0,0,0,4.14,0.75,25.41,679,0
21,A022,"Wheat, semolina (Triticum aestivum)",6,0.47,0.05,0,0,10.36,1.36,54.28,549,0
22,A023,"Wheat, vermicelli (Triticum aestivum)",6,0,0,0,0,2.80,0.40,22.37,168,0
23,A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,0,0,0,0,3.23,0.47,25.58,165,0
24,B001 ,"Bengal gram, dal (Cicer arietinum) ",6,0.23 ,0.61 ,0,0,8.03 ,3.61 ,90.28 ,450 ,1.10
25,B002,"Bengal gram, whole (Cicer arietinum)",6,0.23,0.58,0,0,7.10,6.26,85.27,578,1.70
26,B003,"Black gram, dal (Phaseolus mungo)",6,0.03,0.17,1.13,0.06,3.45,11.21,42.37,579,1.20
27,B004,"Black gram, whole (Phaseolus mungo)",6,0.02,0.17,1.00,0.04,3.08,13.39,41.57,679,1.82
28,B005,"Cowpea, brown (Vigna catjang)",6,0.14,1.24,0.01,0,6.56,32.19,62.19,550,2.99
29,B006,"Cowpea, white (Vigna catjang)",1,0.12,1.13,0.01,0,6.86,32.64,65.43,573,2.98
30,B007,"Field bean, black (Phaseolus vulgaris)",1,0.12,0.38,0.01,0,2.51,42.15,51.63,759,1.63
31,B008,"Field bean, brown (Phaseolus vulgaris)",1,0.16,0.31,0.01,0,2.8,46.17,51.14,773,1.71
32,B009,"Field bean, white (Phaseolus vulgaris)",5,0.13,0.33,0.01,0,2.47,43.19,53.83,791,1.75
33,B010,"Green gram, dal (Phaseolus aureus)",6,0.07,0.32,0.90,0.02,3.29,12.19,55.33,170,1.08
34,B011,"Green gram, whole (Phaseolus aureus)",6,0.11,0.30,1.57,0.03,3.03,12.38,51.77,375,1.28
35,B012,"Horse gram, whole (Dolicus biflorus)",6,0.04,1.59,0,0,3.41,11.57,47.56,339,2.30
36,B013,Lentil dal (Lens culinaris),6,0.07,0.57,0.08,0,5.74,3.32,75.75,218,1.63
37,B014,"Lentil whole, brown (Lens culinaris)",6,0.21,0.92,0.02,0,4.66,4.94,74.08,564,1.95
38,B015,"Lentil whole, yellowish (Lens culinaris)",2,0.24,0.96,0.04,0,4.47,4.96,73.59,585,0.89
39,B016,Moth bean (Vigna aconitifolia),6,0.18,1.62,0.02,0,10.40,27.32,93.84,609,3.12
40,B017,"Peas, dry (Pisum sativum)",6,0.10,0.61,0.17,0,6.13,2.91,84.85,413,1.40
41,B018,"Rajmah, black (Phaseolus vulgaris)",2,0.1,1.44,0.02,0,2.59,16.5,63.2,470,2.3
42,B019,"Rajmah, brown (Phaseolus vulgaris)",6,0.05,1.41,0.02,0,2.50,16.44,64.18,481,2.85
43,B020,"Rajmah, red (Phaseolus vulgaris)",3,0.07,1.42,0.03,0,2.60,16.23,64.67,465,2.79
44,B021,"Red gram, dal (Cajanus cajan)",6,0.33,0.81,0.67,0,7.39,9.46,68.59,277,1.56
45,B022,"Red gram, whole (Cajanus cajan)",6,0.24,0.64,0.61,0,6.60,10.49,69.10,604,1.89
46,B023,Ricebean (Vigna umbellata ),1,0.05,5,0,0,0.85,3.13,25.45,486,0
47,B024,"Soya bean, brown (Glycine max)",6,0.33,2.01,0.04,0,14.48,10.38,88.47,443,7.39
48,B025,"Soya bean, white (Glycine max)",1,0.31,1.81,0.05,0,14.4,10.4,88.09,460,7.51
49,C001,Agathi leaves (Sesbania grandiflora),1,0,0,0,0,4.42,1.37,5.94,63.33,0.69
50,C002,"Amaranth leaves, green (Amaranthus gangeticus)",6,0,0,0,0,1.07,2.69,16.76,5.42,0
51,C003,"Amaranth leaves, red (Amaranthus gangeticus)",1,0,0,0,0,1.08,2.85,16.34,4.9,0
52,C004,"Amaranth leaves, red and green mix (Amaranthus gangeticus)",4,0,0,0,0,1.06,2.71,16.91,4.89,0
53,C005,"Amaranth spinosus, leaves, green (Amaranthus spinosus)",4,0,0,0,0,0.72,5.71,33.33,7.40,0
54,C006,"Amaranth spinosus, leaves, red and green mix (Amaranthus spinosus)",2,0,0,0,0,0.77,5.54,32.38,7.15,0
55,C007,Basella leaves (Basella alba),2,0,0,0,0,1.17,2.25,9.91,49.57,0.06
56,C008,Bathua leaves (Chenopodium album),2,0,0,0,0,0.57,3.01,8.99,18.48,0.63
57,C009,Beet greens (Beta vulgaris),6,0,0,0,0,0.86,3.21,15.56,19.01,0.43
58,C010,"Betel leaves, big (kolkata) (Piper betle)",6,0.01,0,0,0,4.09,3.53,32.83,57.98,0.42
59,C011,"Betel leaves, small (Piper betle)",4,0.01,0,0,0,3.86,3.39,31.61,45.34,0.40
60,C012,Brussels sprouts (Brassica oleracea var. gemmifera),1,0,0,0,0,4.01,0.93,38.2,18.32,0.25
61,C013,"Cabbage, Chinese (Brassica rupa)",1,0,0,0,0,2.06,0.13,17.27,16.85,0
62,C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",1,0.06,0,0,0,2.55,0.28,16.43,12.08,0
63,C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",6,0,0,0,0,2.46,0.27,16.10,11.77,0
64,C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",2,0,0,0,0,2.54,0.25,15.8,12.81,0
65,C017,Cauliflower leaves (Brassica oleracea var. botrytis),6,0.04,0,0,0,1.96,0.44,15.55,13.60,0
