,code,name,regn,tf4d0,tf6d0,tf8d0,tf10d0,tf12d0,tf14d0,tf16d0,tf18d0,tf20d0,tf22d0,tf24d0
0,T001,Coconut oil,1,0,0,2.76,5.18,49.57,21.12,9.26,2.97,0,0,0
1,T002,Corn oil,1,0,0,0,0,0,0,12.94,2.12,0.68,0.39,0.47
2,T003,Cotton seed oil,1,0,0,0,0,0,0.91,23.4,2.79,0.42,0.34,0.31
3,T004,Gingelly oil,6,0,0,0,0,0,0,9.34,5.75,0.67,0.25,0.22
4,T005,Groundnut oil,5,0,0,0,0,0,0,10.27,3.38,1.39,2.66,1.25
5,T006,Mustard oil,6,0,0,0,0,0,0,2.18,1.17,0.98,1.39,0
6,T007,Palm oil,4,0,0,0,0,0,0,39.79,4.24,0,0,0
7,T008,Rice bran oil,5,0,0,0,0,0,0.29,19.51,2.03,1.03,0.33,0.51
8,T009,Safflower oil,1,0,0,0,0,0,0.18,6.24,2.35,0.26,0.17,0
9,T010,Safflower oil (blended),4,0,0,0,0,0,0,15.71,2.28,0.83,0.31,0.40
10,T011,Soyabean oil,6,0,0,0,0,0,0,11.51,4.08,0.37,0,0
11,T012,Sunflower oil,6,0,0,0,0,0,0,6.43,3.69,0.32,0.66,0.29
12,T013,Ghee,6,0.22,0.30,0.47,1.87,2.81,11.81,39.13,13.89,0.52,0,0
13,T014,Vanaspati,6,0,0,0,0,0.37,1.19,53.10,5.98,0.81,0,0
