,code,name,regn,tf14d1,tf16d1c,tf18d1tn9,tf18d1cn9,tf20d1n9f,tf22d1n9,tf18d2cn6,tf18d3n3,tfasat,tfams,tfapu
0,T001,Coconut oil,1,0,0,0,7.24,0,0,1.90,0,90.86,7.24,1.90
1,T002,Corn oil,1,0,1.7,0,31.97,0,0,48.97,0.76,16.6,33.67,49.74
2,T003,Cotton seed oil,1,0,1.84,0,17.82,0,0,51.81,0.35,28.17,19.66,52.16
3,T004,Gingelly oil,6,0,0.27,0,40.87,0.27,0,41.96,0.39,16.25,41.41,42.34
4,T005,Groundnut oil,5,0,0,0,53.89,0,0,27.17,0,18.94,53.89,27.17
5,T006,Mustard oil,6,0,0.16,0,10.18,5.45,51.30,15.55,11.64,5.72,67.09,27.19
6,T007,Palm oil,4,0,0.27,0,43.26,0,0,11.18,0.30,44.98,43.53,11.49
7,T008,Rice bran oil,5,0,0.28,0,43.84,0,0,31.56,0.56,23.76,44.12,32.12
8,T009,Safflower oil,1,0,0.24,0,13.80,0.17,0,76.58,0.13,9.19,14.04,76.78
9,T010,Safflower oil (blended),4,0,0.24,0,37.37,0,0,42.09,0.78,19.53,37.61,42.86
10,T011,Soyabean oil,6,0,0,0,24.06,0,0,54.78,5.20,15.96,24.06,59.98
11,T012,Sunflower oil,6,0,0,0,25.96,0,0,62.65,0,11.39,25.96,62.65
12,T013,Ghee,6,0.95,1.86,0.44,23.19,0,0,2.00,0.55,71.02,26.44,2.54
13,T014,Vanaspati,6,0,0,4.68,29.19,0,0,4.69,0,61.44,33.87,4.69
