code,factor
water,1
protcnt,1
ash,1
fatce,1
fibtg,1
fibins,1
fibsol,1
choavldf,1
enerc,1
thia,1e-3
ribf,1e-3
nia,1e-3
pantac,1e-3
vitb6c,1e-3
biot,1e-6
folsum,1e-6
vitc,1e-3
retol,1e-6
ergcal,1e-6
chocal,1e-6
doh25,1e-6
tocpha,1e-3
tocphb,1e-3
tocphg,1e-3
tocphd,1e-3
toctra,1e-3
toctrb,1e-3
toctrg,1e-3
toctrd,1e-3
vite,1e-3
vitk1,1e-6
vitk2,1e-6
lutn,1e-6
zea,1e-6
lycpn,1e-6
crypxb,1e-6
cartg,1e-6
carta,1e-6
cartb,1e-6
cartoid,1e-6
al,1e-3
as,1e-6
cd,1e-3
ca,1e-3
cr,1e-3
co,1e-3
cu,1e-3
fe,1e-3
pb,1e-3
li,1e-3
mg,1e-3
mn,1e-3
hg,1e-6
mo,1e-3
ni,1e-3
p,1e-3
k,1e-3
se,1e-6
na,1e-3
zn,1e-3
cho,1
starch,1
frus,1
glus,1
sucs,1
mals,1
fsugar,1
lactose,1
f10d0,1e-3
f12d0,1e-3
f14d0,1e-3
f16d0,1e-3
f18d0,1e-3
f20d0,1e-3
f22d0,1e-3
f24d0,1e-3
f14d1,1e-3
f16d1c,1e-3
f18d1cn9,1e-3
f20d1n9f,1e-3
f22d1n9,1e-3
f24d1c,1e-3
f18d2cn6,1e-3
f20d2,1e-3
f18d3n3,1e-3
f20d4n6,1e-3
fasat,1e-3
fams,1e-3
fapu,1e-3
f11d0,1e-3
f15d0,1e-3
f16d1,1e-3
f18d1,1e-3
f20d1,1e-3
f22d1,1e-3
f24d1,1e-3
f20d3n6,1e-3
f20d5n3,1e-3
f22d6n3,1e-3
cholc,1e-3
f20d1n9,1e-3
f22d2,1e-3
f22d5n3,1e-3
his,0.01*protcnt
ile,0.01*protcnt
leu,0.01*protcnt
lys,0.01*protcnt
met,0.01*protcnt
cys,0.01*protcnt
phe,0.01*protcnt
thr,0.01*protcnt
trp,0.01*protcnt
val,0.01*protcnt
ala,0.01*protcnt
arg,0.01*protcnt
asp,0.01*protcnt
glu,0.01*protcnt
gly,0.01*protcnt
pro,0.01*protcnt
ser,0.01*protcnt
tyr,0.01*protcnt
oxalt,1e-3
oxals,1e-3
oxali,1e-3
caconac,1e-3
citac,1e-3
fumac,1e-3
malac,1e-3
quinac,1e-3
sucac,1e-3
tarac,1e-3
dhbenzac34,1e-3
hbenzal3,1e-3
pcathac,1e-3
vanlac,1e-3
gallac,1e-3
cinmac,1e-3
coumaco,1e-3
coumacp,1e-3
caffac,1e-3
chlrac,1e-3
ferac,1e-3
apigen,1e-3
apigen6cgls,1e-3
apigen7onshps,1e-3
luteol,1e-3
kaemf,1e-3
querce,1e-3
querce3bdgls,1e-3
querce3ortns,1e-3
querce3bgls,1e-3
isormt,1e-3
myrct,1e-3
rsvrtol,1e-3
hespt,1e-3
narng,1e-3
hespd,1e-3
daidzn,1e-3
gnstein,1e-3
epicatec,1e-3
epicategc,1e-3
epicatgc3gal,1e-3
catec,1e-3
galcatecgal,1e-3
galcatec,1e-3
syrgac,1e-3
sinpac,1e-3
ellgac,1e-3
polyph,1e-3
rafs,1
stas,1
vers,1
ajgs,1
camt,1e-3
stgstr,1e-3
stostrb,1e-3
phytac,1e-3
sapon,1
tf4d0,1
tf6d0,1
tf8d0,1
tf10d0,1
tf12d0,1
tf14d0,1
tf16d0,1
tf18d0,1
tf20d0,1
tf22d0,1
tf24d0,1
tf14d1,1
tf16d1c,1
tf18d1tn9,1
tf18d1cn9,1
tf20d1n9f,1
tf22d1n9,1
tf18d2cn6,1
tf18d3n3,1
tfasat,1
tfams,1
tfapu,1
