state,active cases
Andaman & Nicobar,
Andhra Pradesh,957
Arunachal Pradesh,957
Assam,6818
Bihar,2431
Chandigarh,
Chhattisgarh,2347
Dadra and Nagar Haveli and Daman and Diu,179
Delhi,
Goa,
Gujarat,3736
Haryana,4244
Himachal Pradesh,382
Jammu & Kashmir,3256
Jharkhand,2313
Karnataka,3892
Kerala,5376
Ladakh,3256
Madhya Pradesh,2883
Maharashtra,3658
Manipur,
Meghalaya,1628
Mizoram,
Nagaland,1167
Odisha,1766
Puducherry,
Punjab,5758
Rajasthan,2343
Sikkim,1526
Tamil Nadu,4788
Telangana,3257
Tripura,2330
Uttarakhand,2773
Uttar Pradesh,2313
West Bengal,3203
